,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
942,PRESERVED_SPECIMEN,Aiouea tonduzii,MG153354,GBIF,,Manuel Vargas,,7.75,-77.666667,Panamá,1988.0,1,1,1,,WGS84,2019,"McPherson, G."
943,PRESERVED_SPECIMEN,Aiouea tonduzii,MG153356,GBIF,,Manuel Vargas,,8.666667,-79.833333,Panamá,1988.0,1,1,1,,WGS84,2019,"McPherson, G."
945,PRESERVED_SPECIMEN,Aiouea tonduzii,MG153355,GBIF,,Manuel Vargas,,7.75,-77.666667,Panamá,1988.0,1,1,1,,WGS84,2019,"McPherson, G."
946,PRESERVED_SPECIMEN,Aiouea tonduzii,MG153352,GBIF,,Manuel Vargas,,9.25,-79.0,Panamá,1986.0,1,1,1,,WGS84,2019,"McPherson, G."
6675,PRESERVED_SPECIMEN,Aiouea tonduzii,,GBIF,11735,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
6814,PRESERVED_SPECIMEN,Aiouea tonduzii,,GBIF,11735,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
7016,PRESERVED_SPECIMEN,Aiouea tonduzii,V0061777F,GBIF,11735,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
7260,PRESERVED_SPECIMEN,Aiouea tonduzii,,GBIF,11735,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
7949,PRESERVED_SPECIMEN,Aiouea tonduzii,100143256,GBIF,Flores B3244,Manuel Vargas,,8.678889,-79.938333,Parque Nacional Altos de Campana. Sendero Zamora.,2002.0,1,1,1,,WGS84,2019,Nayda Flores|Blanca Araúz
8321,PRESERVED_SPECIMEN,Aiouea tonduzii,100323702,GBIF,Rodríguez González 7189,Manuel Vargas,,9.497778,-83.796667,R.F. Los Santos. Cuenca del Savegre. Páramo. Los Angeles 4 km Norte.,2001.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|Armando Estrada|José Á. González R.|Rafael Chacón|Daniel Acevedo
8345,PRESERVED_SPECIMEN,Aiouea tonduzii,100338817,GBIF,Croat 26774A,Manuel Vargas,,8.805278,-82.406389,"East of Boquete along steep, forested slopes and in wooded pastures on Cerro Azul near Quebrada Jaramillo.",1974.0,1,1,1,,WGS84,2019,Thomas B. Croat
8347,PRESERVED_SPECIMEN,Aiouea tonduzii,100339025,GBIF,Wheelwright 59A,Manuel Vargas,,10.3,-84.8,"Monteverde, lower montane wet forest.",1981.0,1,1,1,,WGS84,2019,N. T. Wheelwright
9124,PRESERVED_SPECIMEN,Aiouea tonduzii,100518334,GBIF,Rodríguez González 10164,Manuel Vargas,,9.084722,-83.06860999999999,"Potrero Grande, entre Helechales y Tres Colinas, ca. de 1.5 km. antes de Tres Colinas. Bosque junto al camino.",2006.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
10418,PRESERVED_SPECIMEN,Aiouea tonduzii,V0061776F,GBIF,11735,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
12928,PRESERVED_SPECIMEN,Aiouea tonduzii,1561576,GBIF,,Manuel Vargas,,10.3,-84.800004,"Monteverde community, Pacific slope.",1990.0,1,1,1,,WGS84,2019,William Haber
13446,PRESERVED_SPECIMEN,Aiouea tonduzii,1576405,GBIF,,Manuel Vargas,,10.313889,-84.825,Cerro Plano. Finca de Marcos Vargas.,1991.0,1,1,1,,WGS84,2019,Erick Bello
13608,PRESERVED_SPECIMEN,Aiouea tonduzii,1538069,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
13611,PRESERVED_SPECIMEN,Aiouea tonduzii,1538068,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
13613,PRESERVED_SPECIMEN,Aiouea tonduzii,1538067,GBIF,,Manuel Vargas,,8.897719,-82.758371,Mellizas. Finca Santa Marta. Pie Cerro Quijada del Diablo.,1997.0,1,1,1,,WGS84,2019,Enia Navarro
13834,PRESERVED_SPECIMEN,Aiouea tonduzii,1596096,GBIF,,Manuel Vargas,,10.233333,-84.716667,"Arancibia, Leonel Hernandez.",1989.0,1,1,1,,WGS84,2019,Erick Bello
13839,PRESERVED_SPECIMEN,Aiouea tonduzii,1596105,GBIF,,Manuel Vargas,,10.3,-84.81666700000001,Santa Elena de Monteverde.,1989.0,1,1,1,,WGS84,2019,Erick Bello
13851,PRESERVED_SPECIMEN,Aiouea tonduzii,1596145,GBIF,,Manuel Vargas,,10.266667,-84.783333,"Monteverde, San Luis Valley, Finca El Buen Amigo. 4 km SSE of Monteverde.",1991.0,1,1,1,,WGS84,2019,Erick Bello
13866,PRESERVED_SPECIMEN,Aiouea tonduzii,1596189,GBIF,,Manuel Vargas,,10.316667,-84.81944399999999,Cerro Plano. Finca de Sociedad Valverde & Arguedas.,1991.0,1,1,1,,WGS84,2019,Erick Bello
13867,PRESERVED_SPECIMEN,Aiouea tonduzii,1596187,GBIF,,Manuel Vargas,,10.316667,-84.81944399999999,Cerro Plano. Finca de Sociedad Valverde & Arguedas.,1991.0,1,1,1,,WGS84,2019,Erick Bello
13870,PRESERVED_SPECIMEN,Aiouea tonduzii,1596210,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1991.0,1,1,1,,WGS84,2019,Carlos Chavez
13871,PRESERVED_SPECIMEN,Aiouea tonduzii,1596196,GBIF,,Manuel Vargas,,9.330556,-83.288889,"Sabanas de Murur-Bisuk, cabeceras del Rio Ceibo. El Carmen.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
13872,PRESERVED_SPECIMEN,Aiouea tonduzii,1596161,GBIF,,Manuel Vargas,,10.329167,-84.829167,Altos de Santa Elena.,1992.0,1,1,1,,WGS84,2019,Erick Bello
13883,PRESERVED_SPECIMEN,Aiouea tonduzii,1596356,GBIF,,Manuel Vargas,,9.891667,-84.18333299999999,"Salitral. Pabellon, 4 Km Sur Santa Ana. Finca entre Pabellon y Matinilla.",1994.0,1,1,1,,WGS84,2019,Quirico Jiménez
13897,PRESERVED_SPECIMEN,Aiouea tonduzii,1596445,GBIF,,Manuel Vargas,,10.3,-84.800003,"Monteverde, comunidad. Pacific slope.",1989.0,1,1,1,,WGS84,2019,William Haber
13906,PRESERVED_SPECIMEN,Aiouea tonduzii,1596450,GBIF,,Manuel Vargas,,10.3,-84.800005,"Monteverde community, Pacific slope.",1989.0,1,1,1,,WGS84,2019,William Haber
13913,PRESERVED_SPECIMEN,Aiouea tonduzii,1596454,GBIF,,Manuel Vargas,,10.3,-84.800001,"Monteverde, Pacific slope, moist forest patches and farms.",1990.0,1,1,1,,WGS84,2019,William Haber
13919,PRESERVED_SPECIMEN,Aiouea tonduzii,1596451,GBIF,,Manuel Vargas,,10.35,-84.8,"Upper San Gerardo Valley, 5 km N Monteverde, Atlantic slope/Continental divide.",1989.0,1,1,1,,WGS84,2019,William Haber
14334,PRESERVED_SPECIMEN,Aiouea tonduzii,1605484,GBIF,,Manuel Vargas,,10.416667,-84.916667,Monteverde. 2 km S of Chiripa. Forest patch and edges. Premonane wet forest.,1995.0,1,1,1,,WGS84,2019,Darin Penneys
14546,PRESERVED_SPECIMEN,Aiouea tonduzii,1581621,GBIF,,Manuel Vargas,,10.316667,-84.81666700000001,Entre Monteverde y Santa Elena.,1991.0,1,1,1,,WGS84,2019,Carlos Guindon
14586,PRESERVED_SPECIMEN,Aiouea tonduzii,1582517,GBIF,,Manuel Vargas,,10.316667,-84.833333,"De Santa Elena por el camino viejo hacia La Cruz, por la entrada a los potreros de Heigold y bosque. Zona de Monteverde.",1991.0,1,1,1,,WGS84,2019,Carlos Guindon
14807,PRESERVED_SPECIMEN,Aiouea tonduzii,2823224,GBIF,,Manuel Vargas,,9.465278,-83.559722,Cementario de la maquina a Llano Bonito.,1998.0,1,1,1,,WGS84,2019,Evelio Alfaro
