,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1526,PRESERVED_SPECIMEN,Ardisia dunlapiana,179051,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena.3 km W of Rincón. Along trail leading north from the house of Don Quecho, W of BOSCOSA STATION.Tall undistrbed forest in elevated, well drained terrain",1994.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
1528,PRESERVED_SPECIMEN,Ardisia dunlapiana,185803,GBIF,,Manuel Vargas,,8.68,-83.21,"Bosque de Los Austriacos, Primary forest, reseach plot-La Gamba",1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
1529,PRESERVED_SPECIMEN,Ardisia dunlapiana,185833,GBIF,,Manuel Vargas,,8.68,-83.21,"Bosque de Los Austriacos, Primary forest, reseach plot-La Gamba",1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
1544,PRESERVED_SPECIMEN,Ardisia dunlapiana,213985,GBIF,,Manuel Vargas,,8.68,-83.21,"Parque Nacional Cuatro Esquinas, Sección Bosque de los Austriacos, W on the way from Sendero Bajaro to the Fila-way",1998.0,1,1,1,,WGS84,2019,"Huber, Werner"
1547,PRESERVED_SPECIMEN,Ardisia dunlapiana,232592,GBIF,,Manuel Vargas,,8.68,-83.21,"P. N. Piedras Blancas P.N.Piedras Blancas, way from La Gamba to Golfito.",2000.0,1,1,1,,WGS84,2019,"Huber, Werner"
5795,PRESERVED_SPECIMEN,Ardisia dunlapiana,902784,GBIF,Segura Castillo 93,Manuel Vargas,,8.76,-83.25,"P.N. Corcovado; Valle de Coto Colorado. Estación Esquinas, sendero a la Calathea",1993.0,1,1,1,,WGS84,2019,Marianela Segura|F. J. Quesada
6500,PRESERVED_SPECIMEN,Ardisia dunlapiana,401542,GBIF,Kernan 1216,Manuel Vargas,,8.46,-83.58,"Parque Nacional Corcovado Sirena, Los Patos Forest",1989.0,1,1,1,,WGS84,2019,Christopher Kernan
6516,PRESERVED_SPECIMEN,Ardisia dunlapiana,402033,GBIF,Hammel 16974,Manuel Vargas,,8.66,-83.56,"Reserva Forestal Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón; in bottom of S end of valley along Río Riyito.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Gerardo Herrera Ch.|María Marta Chavarría|Ángel Solís
6522,PRESERVED_SPECIMEN,Ardisia dunlapiana,402173,GBIF,Marín Alpízar 107,Manuel Vargas,,8.68,-83.56,"Rancho Quemado, Estación Forestal, Finca Eloy Cubero",1991.0,1,1,1,,WGS84,2019,Juan Marín
7471,PRESERVED_SPECIMEN,Ardisia dunlapiana,V0065761F,GBIF,5274,Manuel Vargas,,10.0,-84.8333,,1949.0,1,1,1,,WGS84,2019,P. H. Allen
