,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1716,PRESERVED_SPECIMEN,Blakea chlorantha,98243,GBIF,,Manuel Vargas,,10.13,-84.55,Cerros de La Palma.,1984.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
1717,PRESERVED_SPECIMEN,Blakea chlorantha,104063,GBIF,,Manuel Vargas,,10.28,-84.78,R.B. Monteverde Sendero Brillante.,2002.0,1,1,1,,WGS84,2019,"Penneys, Darin S."
1721,PRESERVED_SPECIMEN,Blakea chlorantha,133716,GBIF,,Manuel Vargas,,10.31,-84.78,"Río Caño Negro, Monteverde Cerro Negro y Cabeceras, Río San Gerardo.",1987.0,1,1,1,,WGS84,2019,"Haber, William"
1722,PRESERVED_SPECIMEN,Blakea chlorantha,133717,GBIF,,Manuel Vargas,,10.3,-84.78,"R. B. Monteverde Cerro Chomogo hasta El Valle, División Continental.",1987.0,1,1,1,,WGS84,2019,"Haber, William"
1723,PRESERVED_SPECIMEN,Blakea chlorantha,150831,GBIF,,Manuel Vargas,,10.28,-84.76,R. B. Monteverde C. Ojo de Agua. Bosque pluvial montano bajo.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
1724,PRESERVED_SPECIMEN,Blakea chlorantha,170992,GBIF,,Manuel Vargas,,10.2,-84.61,R. F. San Ramon 3 km al suroeste de la estación. Sendero Volcán Muerto.,1994.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
1729,PRESERVED_SPECIMEN,Blakea chlorantha,179262,GBIF,,Manuel Vargas,,10.93,-85.46,"P. N. Guanacaste Volcán Cacao. Estación  Mengo, fila con vegetación ominada por Drimys, Podocarpus, Clusia y Weinmania.",1989.0,1,1,1,,WGS84,2019,"Chacón, Isidro A."
1730,PRESERVED_SPECIMEN,Blakea chlorantha,179820,GBIF,,Manuel Vargas,,10.96,-85.43,"P. N. Guanacaste Santa Cecilia. Estación Pitilla, Cuenca superior río Orosí.",1990.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
1736,PRESERVED_SPECIMEN,Blakea chlorantha,183439,GBIF,,Manuel Vargas,,10.92,-85.47,P. N. Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2019,"Chávez, Carlos"
1753,PRESERVED_SPECIMEN,Blakea chlorantha,217838,GBIF,,Manuel Vargas,,10.91,-85.46,P. N. Guanacaste Cordillera de Guanacaste. Volcán Cacao. Sendero hasta la cima del volcán.,1996.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
5792,PRESERVED_SPECIMEN,Blakea chlorantha,902715,GBIF,Herrera Chacón 3912,Manuel Vargas,,10.96,-85.43,"P.N. Guanacaste; Cordillera de Guanacaste. Estación Pitilla, cuenca superior de Río Orosí.",1990.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.|Jorge F. Corrales
7922,PRESERVED_SPECIMEN,Blakea chlorantha,100142005,GBIF,Grayum 13023,Manuel Vargas,,10.966667,-85.45,"Along divide between upper Río Mena and basin of Río Colón (Las Haciendas), NE of Cerro Orosilito, Cordillera de Guanacaste.",2008.0,1,1,1,,WGS84,2019,Michael H. Grayum
8687,PRESERVED_SPECIMEN,Blakea chlorantha,100487653,GBIF,Rodríguez González 6196,Manuel Vargas,,10.180556,-84.34444,Toro Amarillo.  Camino de tierra entre Robles y carretera que lleva a Bajos del Toro.,2000.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
