,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
110,PRESERVED_SPECIMEN,Blakea henripittieri,U.1388464,GBIF,,Manuel Vargas,,4.5990470000000006,-77.080917,"Antioquia. Municipio de Urrao, vereda Calles, Rio Calles, Parque Nacional Natural 'Las Orquideas'. 1400 a 11500 m.s.n.m.",1995.0,1,1,1,,WGS84,2019,Fonnegra Gomez R; et al.
190,PRESERVED_SPECIMEN,Blakea henripittieri,586221,GBIF,7276,Manuel Vargas,,8.75,-82.25,"Near Fortuna Dam, along trail near forestry station towards river.",1985.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
191,PRESERVED_SPECIMEN,Blakea henripittieri,586223,GBIF,7202,Manuel Vargas,,8.75,-82.25,Along trail on divide separating Chiriqui and Bocas del Toro,1985.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
192,PRESERVED_SPECIMEN,Blakea henripittieri,586272,GBIF,16701,Manuel Vargas,,10.333333,-84.033333,Hoquetas; 12-15 km SW of Horquetas; Finca Rara Avis.  Transect SE across Rara Avis to boundary along Tío Sardinal to S corner of property on  boundary with Braulio Carrillo Park.  In trees along Quebrada Danta.,1988.0,1,1,1,,WGS84,2019,"Hammel, B.; Gómez, C.; Kress, W. J.; Robles, R."
193,PRESERVED_SPECIMEN,Blakea henripittieri,586275,GBIF,219,Manuel Vargas,,10.15,-83.93333299999999,Parque Nac. Braulio Carrillo Quebrada González.,1988.0,1,1,1,,WGS84,2019,"Umaña, Gina; Chavarría, M. M."
194,PRESERVED_SPECIMEN,Blakea henripittieri,586219,GBIF,12588,Manuel Vargas,,8.75,-82.25,"Near Fortuna Dam, along Quebrada Arena towards reservoir from highway.",1988.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
195,PRESERVED_SPECIMEN,Blakea henripittieri,586261,GBIF,348,Manuel Vargas,,8.236944,-84.606111,"Reserva Forestal de San Ramón, Río San Lorenzito, aguas abajo pariendo de la estación.",1986.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
196,PRESERVED_SPECIMEN,Blakea henripittieri,586271,GBIF,6194,Manuel Vargas,,9.405555999999999,-83.225,"P.N. Cordillera de Talamanca.  Cordillera de Talamanca.  Río Coén, 600 m aguas arriba unión Río Lori.  Entre Ujarrás y San José Cabécar.",1993.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
197,PRESERVED_SPECIMEN,Blakea henripittieri,586220,GBIF,11683,Manuel Vargas,,8.75,-82.25,"Vicinity of Fortuna Dam, along Quebrada Arena, just south of continental divide.",1987.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
198,PRESERVED_SPECIMEN,Blakea henripittieri,586228,GBIF,6241,Manuel Vargas,,8.751111,-82.251111,"Edwin Fabrega Dam and Reserve in Fortuna, along the continental divide trail bordering Chiriquí Province.",1989.0,1,1,1,,WGS84,2019,"Almeda, F.; de Nevers , G. ; McPherson, G."
199,PRESERVED_SPECIMEN,Blakea henripittieri,586254,GBIF,5828,Manuel Vargas,,9.716667,-83.783333,"Along trail leading eastward into mountains from road into Tapantí reserve, ca. 1 km S of jct. of Quebrada Salto and Río Grande de Orosi.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael H.; French, J. C."
200,PRESERVED_SPECIMEN,Blakea henripittieri,586229,GBIF,7539,Manuel Vargas,,8.751111,-82.251111,"Edwin Fabrega Dam and Reserve in Fortuna, along the continental divide trail 12.9 km N of Sitio de Presa (Dam site) offices above the Dam.",1996.0,1,1,1,,WGS84,2019,"Almeda, F.; Daniel, T. F.; Valdespino, I.; Luteyn, J. L."
201,PRESERVED_SPECIMEN,Blakea henripittieri,586222,GBIF,7786,Manuel Vargas,,8.75,-82.25,"Near Fortuna Dam, along Quebrada de Arena, just south of continental divide",1985.0,1,1,1,,WGS84,2019,"McPherson, Gordon"
202,PRESERVED_SPECIMEN,Blakea henripittieri,586253,GBIF,6285,Manuel Vargas,,9.716667,-83.783333,"Along trail leading eastward into mountains from road into Tapantí reserve, ca. 1 km S of jct. of Quebrada Salto and Río Grande de Orosi.",1986.0,1,1,1,,WGS84,2019,"Grayum, M. H.; Sleeper, P.; Dickie, J.; Smith, A. R.; Béliz, T."
203,PRESERVED_SPECIMEN,Blakea henripittieri,586266,GBIF,362,Manuel Vargas,,9.755556,-83.783333,Cantón de Paraiso.  P.N. Tapantí.  Valle del Reventazón.  Sendero Quebrada Palmito.,1994.0,1,1,1,,WGS84,2019,"Martínez, Kattia"
204,PRESERVED_SPECIMEN,Blakea henripittieri,586263,GBIF,219,Manuel Vargas,,10.15,-83.93333299999999,Parque Nac. Braulio Carrillo.  Quebrada González.,1988.0,1,1,1,,WGS84,2019,"Umaña, Gina; Chavarría, M. M."
205,PRESERVED_SPECIMEN,Blakea henripittieri,586258,GBIF,79022,Manuel Vargas,,9.755556,-83.783333,"Parque Nacional Tapanti, along road from main gate to hydroelectric plant, 3-4 km from main gate.",1996.0,1,1,1,,WGS84,2019,"Croat, Thomas B."
206,PRESERVED_SPECIMEN,Blakea henripittieri,586273,GBIF,46,Manuel Vargas,,10.266667,-84.083333,"Parque Nac. Braulio Carrillo, La Virgen, Sarapiquí.  Sendero Transecto.",1988.0,1,1,1,,WGS84,2019,"Ballestero, Miguel"
207,PRESERVED_SPECIMEN,Blakea henripittieri,586259,GBIF,353,Manuel Vargas,,9.702778,-83.788889,"Cantón de Paraiso.  P.N. Tapantí.  Valle del Reventazón.  Estación Tapantí, Río Grande de Orosi.  Riveras del Río.  Sector Dos Amigos.",1994.0,1,1,1,,WGS84,2019,"Mora, Gerardo"
208,PRESERVED_SPECIMEN,Blakea henripittieri,586260,GBIF,126,Manuel Vargas,,9.75,-83.783333,"Cantón de Paraiso.  P.N. Tapantí.  Valle del Reventazón.  Tapantí, Sendero Dos Amigos.",1994.0,1,1,1,,WGS84,2019,"Quesada, Freddy"
209,PRESERVED_SPECIMEN,Blakea henripittieri,586265,GBIF,4515,Manuel Vargas,,10.305556,-84.752778,R.B. Monteverde.  Cordillera de Tilarán.  Río Peñas Blancas.  Refugio Aleman's Quebrada Rojas.,1992.0,1,1,1,,WGS84,2019,"Bello, Erick"
256,PRESERVED_SPECIMEN,Blakea henripittieri,11018,GBIF,24587,Manuel Vargas,,6.496233,-76.250473,"Trail from Encarnación to Parque Nacional Natural Las Orquídeas, W slope of cordillera occidental",1979.0,1,1,1,,WGS84,2019,Gentry A. | Rentería E.
323,PRESERVED_SPECIMEN,Blakea henripittieri,153352,GBIF,557,Manuel Vargas,,1.26977,-78.09644,"Corregimiento Altaquer, vereda El Barro, cerca de la vía Pasto - Tumaco",2004.0,1,1,1,,WGS84,2019,Salinas N. | Farfán J. | García E.
338,PRESERVED_SPECIMEN,Blakea henripittieri,162380,GBIF,1732,Manuel Vargas,,7.000833,-75.1575,"Vereda Los Sauces, cerca de las quebradas El Oso y Los Sauces",2007.0,1,1,1,,WGS84,2019,David H. | Rivas A. | Hernández H.
339,PRESERVED_SPECIMEN,Blakea henripittieri,162386,GBIF,2240,Manuel Vargas,,7.016667,-75.583333,Carretera a San Fermín - Briceño,2007.0,1,1,1,,WGS84,2019,David H. | Londoño L. | Mazo C.
340,PRESERVED_SPECIMEN,Blakea henripittieri,162378,GBIF,1668,Manuel Vargas,,7.004722,-75.16583299999999,"Vereda Los Sauces, sector cerca a la reserva Proaves, ascendiendo por la quebrada del acueducto",2007.0,1,1,1,,WGS84,2019,David H. | Rivas A. | Hernández H.
380,PRESERVED_SPECIMEN,Blakea henripittieri,179082,GBIF,3709,Manuel Vargas,,7.016667,-75.583333,Carretera a San Fermín - Briceño,2011.0,1,1,1,,WGS84,2019,David H. | Cardona F. | Loaiza D. | Álvarez A.
446,PRESERVED_SPECIMEN,Blakea henripittieri,33225,GBIF,2419,Manuel Vargas,,5.296397,-76.366199,"Corregimiento Playa de Oro, entre Playa de Oro y Tabor",1986.0,1,1,1,,WGS84,2019,Espina J. | Mosquera M.
455,PRESERVED_SPECIMEN,Blakea henripittieri,37554,GBIF,2756,Manuel Vargas,,6.566667,-76.5,"Parque Nacional Natural Las Orquídeas, vereda Venados, sector de Dos Bocas, confluencia del río Venados y Calles",1986.0,1,1,1,,WGS84,2019,Callejas R. | Roldán F. | Castaño C.
477,PRESERVED_SPECIMEN,Blakea henripittieri,52206,GBIF,6189,Manuel Vargas,,7.079483,-75.46263499999999,"Municipios de Yarumal y Briceño, vereda San Fermín, 1 km de la vía Ventanas",1988.0,1,1,1,,WGS84,2019,Callejas R. | Roldán F. | Arbeláez A.
495,PRESERVED_SPECIMEN,Blakea henripittieri,60437,GBIF,2,Manuel Vargas,,5.6836400000000005,-76.62326,Carretera a Pacurita aproximadamente 2 km,1988.0,1,1,1,,WGS84,2019,Valencia M.
511,PRESERVED_SPECIMEN,Blakea henripittieri,6956,GBIF,200,Manuel Vargas,,5.63238,-76.642099,"Carretera entre Quibdó y Yuto, km 9",1977.0,1,1,1,,WGS84,2019,Santa J. | Arboleda O.
527,PRESERVED_SPECIMEN,Blakea henripittieri,83379,GBIF,10724,Manuel Vargas,,7.0899399999999995,-75.47093000000001,"Vereda San Fermín, sitio alto de Ventanas municipio de Yarumal, en la vía que conduce al municipio de Briceño, 2 km NE de la vía Medellín - Valdivia",1992.0,1,1,1,,WGS84,2019,Callejas R. | Taylor C. | Roldán F. | Gómez A.
531,PRESERVED_SPECIMEN,Blakea henripittieri,85097,GBIF,135,Manuel Vargas,,1.166667,-77.966667,Reserva Natural La Planada a km 7 de Chucunés,1992.0,1,1,1,,WGS84,2019,Giraldo R.
532,PRESERVED_SPECIMEN,Blakea henripittieri,85555,GBIF,156,Manuel Vargas,,1.166667,-77.966667,Reserva Natural La Planada a km 7 de Chucunés,1992.0,1,1,1,,WGS84,2019,Giraldo R.
574,PRESERVED_SPECIMEN,Blakea henripittieri,95716,GBIF,5515,Manuel Vargas,,6.5248099999999996,-76.270925,"Parque Nacional Natural Las Orquídeas, vereda Calles, río Calles",1995.0,1,1,1,,WGS84,2019,Fonnegra R. | Curso de Palinología.
5031,PRESERVED_SPECIMEN,Blakea henripittieri,49684,GBIF,,Manuel Vargas,,9.7,-83.76,Very steep slopes with open forest and many epiphytes about 10 km south of Tapantí along the new road on the east slope above the río Grande de Orosí.,1971.0,1,1,1,,WGS84,2019,"Burger, William"
5033,PRESERVED_SPECIMEN,Blakea henripittieri,64151,GBIF,,Manuel Vargas,,9.78,-83.68,Forest above río Gato.,,1,1,1,,WGS84,2019,"Lent, Roy W."
5036,PRESERVED_SPECIMEN,Blakea henripittieri,124718,GBIF,,Manuel Vargas,,10.2,-84.61,"U.C.R. Forest Preserve. Cord. Tilarán. Atlantic slope  cloud forest, along the río San Lorenzo, below the fila Volcán Muerto.",1982.0,1,1,1,,WGS84,2019,"Barringer, Kerry A."
5039,PRESERVED_SPECIMEN,Blakea henripittieri,129446,GBIF,,Manuel Vargas,,10.15,-83.93,P.N. Braulio Carrillo Quebrada González.,1988.0,1,1,1,,WGS84,2019,"Umaña, Gina"
5040,PRESERVED_SPECIMEN,Blakea henripittieri,133328,GBIF,,Manuel Vargas,,9.71,-83.78,"Alon trail leading eastward into mountains from road into Tapantí reserve, ca. 1 km S of jct of quebrada Salto and río Grande de Orosí.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael"
5041,PRESERVED_SPECIMEN,Blakea henripittieri,134632,GBIF,,Manuel Vargas,,9.71,-83.78,"Along trail leading eastward into mountains from road into Tapantí reserve, ca. 1 km S of jct of quebrada Saltoand río Grande de Orosí.",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
5042,PRESERVED_SPECIMEN,Blakea henripittieri,135940,GBIF,,Manuel Vargas,,10.21,-84.61,Campamento Río San Lorencito.,1988.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
5044,PRESERVED_SPECIMEN,Blakea henripittieri,140029,GBIF,,Manuel Vargas,,10.23,-84.08,"9 km SE of Virgen del Socorro, 9 km E of Isla Bonita. Lower montane rainforest.",1988.0,1,1,1,,WGS84,2019,B. Loiselle
