,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
92,PRESERVED_SPECIMEN,Brunellia standleyana,U.1236500,GBIF,,Manuel Vargas,,10.155,-84.575,"Prov. Alajuela. 15 km NW of San Ramon by air. Cerro Azahar, headwaters of Rio San Pedro.",1983.0,1,1,1,,WGS84,2019,Liesner RL; et al.
938,PRESERVED_SPECIMEN,Brunellia standleyana,MG137997,GBIF,,Manuel Vargas,,10.216667,-84.533333,Provincia Alajeula,1983.0,1,1,1,,WGS84,2019,"Liesner, R.L.; Judziewicz, E.J."
1786,PRESERVED_SPECIMEN,Brunellia standleyana,100314,GBIF,,Manuel Vargas,,10.21,-84.53,"17-20 km NNW of San Ramón by road on way to San Lorenzo, 4 to 7 km N of Balsa. Disturbed Primary forest. Ca. 750 m alt.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
1787,PRESERVED_SPECIMEN,Brunellia standleyana,100563,GBIF,,Manuel Vargas,,10.15,-84.56,"15 km NW of San Ramón by air. Cerro Azahar, headwaters of Río San Pedro.By road 9 km NW os San Ramón to Piedades Norte, then 3 more km NW to La PAz, then left on jeep road 1.7 cluster od houses, then left again on jeep road 3-5 km.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
1797,PRESERVED_SPECIMEN,Brunellia standleyana,154659,GBIF,,Manuel Vargas,,9.82,-83.76,P.N. Tapantí Sendero Pava.,1991.0,1,1,1,,WGS84,2019,"Delprete, Piero"
1820,PRESERVED_SPECIMEN,Brunellia standleyana,183468,GBIF,,Manuel Vargas,,9.7,-84.21,"Cerro El Cornelio, 3 km NO Hacienda Tiquires, fladas de Fila Aguabuena.",,1,1,1,,WGS84,2019,"Jiménez, Quírico"
1830,PRESERVED_SPECIMEN,Brunellia standleyana,199468,GBIF,,Manuel Vargas,,10.21,-84.58,R.B. Alberto Manuel Brenes R.F. San Ramón. Cordillera del Tilarán. Sendero Madre Piedra.,1993.0,1,1,1,,WGS84,2019,"Martínez, Kattia"
1831,PRESERVED_SPECIMEN,Brunellia standleyana,207162,GBIF,,Manuel Vargas,,10.21,-84.58,R.B. Alberto Manuel Brenes R.F San Ramón. Cordillera de Tilarán. Estación Río San Lorenzo.,1994.0,1,1,1,,WGS84,2019,"Fuentes, Zobeida"
1835,PRESERVED_SPECIMEN,Brunellia standleyana,228356,GBIF,,Manuel Vargas,,9.7,-83.94,R. F. Los Santos Entre el Empalme y Cañon. Sobre carretera Interamericana. Km 56-57,1997.0,1,1,1,,WGS84,2019,"Rodríguez, Alexánder"
1838,PRESERVED_SPECIMEN,Brunellia standleyana,232688,GBIF,,Manuel Vargas,,10.06,-83.98,P.N. Braulio Carrillo Cuenca del Sarapiquí. Camino al Bajo de la Hondura.,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
8858,PRESERVED_SPECIMEN,Brunellia standleyana,100492192,GBIF,Morales Quirós 9411,Manuel Vargas,,10.214722,-84.60778,Reserva Forestal San Ramon.,2003.0,1,1,1,,WGS84,2019,J. F. Morales
13107,PRESERVED_SPECIMEN,Brunellia standleyana,1564981,GBIF,,Manuel Vargas,,9.7,-83.783333,Along road from bridge over Rio Grande Orosi (near jct. with R. Villegas) to Rio Humo.,1994.0,1,1,1,,WGS84,2019,Michael H. Grayum
13110,PRESERVED_SPECIMEN,Brunellia standleyana,1565211,GBIF,,Manuel Vargas,,10.316667,-84.716668,Rio Penas Blancas. Finca de Eladio Cruz.,1989.0,1,1,1,,WGS84,2019,Erick Bello
13746,PRESERVED_SPECIMEN,Brunellia standleyana,1593418,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,1994.0,1,1,1,,WGS84,2019,Zobeida Fuentes
14426,PRESERVED_SPECIMEN,Brunellia standleyana,1578939,GBIF,,Manuel Vargas,,10.216667,-84.588889,Sendero Madre Piedra.,1993.0,1,1,1,,WGS84,2019,Kattia Martinez
17434,PRESERVED_SPECIMEN,Brunellia standleyana,3368226,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
17435,PRESERVED_SPECIMEN,Brunellia standleyana,3368223,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
17437,PRESERVED_SPECIMEN,Brunellia standleyana,3368224,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
17440,PRESERVED_SPECIMEN,Brunellia standleyana,3368225,GBIF,,Manuel Vargas,,10.061111,-83.986111,"Zurqui Station, around Bajo La Hondura.",2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
19961,PRESERVED_SPECIMEN,Brunellia standleyana,3941042,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
19965,PRESERVED_SPECIMEN,Brunellia standleyana,3941041,GBIF,,Manuel Vargas,,10.236667,-84.11416700000001,"Virgen del Socorro, Finca Oscar Murillo.",2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
20433,PRESERVED_SPECIMEN,Brunellia standleyana,4026991,GBIF,,Manuel Vargas,,10.236388999999999,-84.117778,"9km NE de Vara Blanca, Finca Murillo, Transecto INBio-OET-ALAS.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Jose González
20480,PRESERVED_SPECIMEN,Brunellia standleyana,4001087,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
20481,PRESERVED_SPECIMEN,Brunellia standleyana,4001085,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
20482,PRESERVED_SPECIMEN,Brunellia standleyana,4001088,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
20483,PRESERVED_SPECIMEN,Brunellia standleyana,4001086,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
20484,PRESERVED_SPECIMEN,Brunellia standleyana,4001089,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
20485,PRESERVED_SPECIMEN,Brunellia standleyana,4001084,GBIF,,Manuel Vargas,,10.214722,-84.607778,Laderas al este de la estacion.,2003.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Ricardo Callejas Posada
26984,PRESERVED_SPECIMEN,Brunellia standleyana,694,GBIF,,Manuel Vargas,,8.782333,-82.96005600000001,,,1,1,1,,WGS84,2019,
30554,PRESERVED_SPECIMEN,Brunellia standleyana,804716,GBIF,de Nevers 5147,Manuel Vargas,,9.333333,-78.966667,"El Llano-Cartí Road. [Coordinates on original label: 9º19'N, 78º55'W].",1985.0,1,1,1,,WGS84,2019,Greg C. de Nevers|Heraclio Herrera
34203,PRESERVED_SPECIMEN,Brunellia standleyana,2797573,GBIF,Acosta Vargas 384,Manuel Vargas,,10.061110000000001,-83.98611,"Parque Nacional Braulio Carrillo, Cuenca del Sarapiquí, camino al Bajo de la Hondura",2000.0,1,1,1,,WGS84,2019,Luis Acosta|Víctor H. Ramírez
37391,PRESERVED_SPECIMEN,Brunellia standleyana,64186,GBIF,Bello Carranza 1527,Manuel Vargas,,10.31,-84.71,"Reserva Biológica Monteverde, Río Peñas Blancas. Finca de Eladio Cruz.",1989.0,1,1,1,,WGS84,2019,Erick Bello C.
37396,PRESERVED_SPECIMEN,Brunellia standleyana,64254,GBIF,Grayum 3750,Manuel Vargas,,9.7,-83.8,"Along road from ridge over Río Grande de Orosi (near junction with Río Villegas) to Río Humo, Cordillera de Talamanca",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum|Brian Jacobs|Pamela J. Sleeper
37404,PRESERVED_SPECIMEN,Brunellia standleyana,64342,GBIF,Liesner 15625,Manuel Vargas,,10.15,-84.58,"15 km northwest of San Ramón by air, Cerro Azahar, headwaters of Río San Pedro",1983.0,1,1,1,,WGS84,2019,Ronald L. Liesner|Emmet J. Judziewicz|Jorge Gómez-Laurito|Blanca Pérez G.|Alonso Carvajal U.
37405,PRESERVED_SPECIMEN,Brunellia standleyana,64349,GBIF,Liesner 14705,Manuel Vargas,,10.21,-84.53,"17-20 km north-northwest of San Ramón by road on way to San Lorenzo, 4 to 7 km north of Balsa,",1983.0,1,1,1,,WGS84,2019,Ronald L. Liesner|Emmet J. Judziewicz
45499,PRESERVED_SPECIMEN,Brunellia standleyana,1182019,GBIF,Stone 3307,Manuel Vargas,,10.14,-84.49,"On the road to Los Angeles, 17 km northwest of iglesia in San Ramón",1972.0,1,1,1,,WGS84,2019,Donald E. Stone
45500,PRESERVED_SPECIMEN,Brunellia standleyana,1182048,GBIF,Lent 3035,Manuel Vargas,,10.05,-84.016667,Pasture near Río Pará Blanco.,1972.0,1,1,1,,WGS84,2019,Roy W. Lent
45501,PRESERVED_SPECIMEN,Brunellia standleyana,1182020,GBIF,Bawa 387,Manuel Vargas,,10.45,-84.0,Around Puerto Viejo,1970.0,1,1,1,,WGS84,2019,K. S. Bawa
45502,PRESERVED_SPECIMEN,Brunellia standleyana,1182021,GBIF,Skutch 3429,Manuel Vargas,,10.17,-84.15,"Vara Blanca de Sarapiquí, north slope of Central Cordillera, between Poás and Barba volcanoes",1938.0,1,1,1,,WGS84,2019,Alexander F. Skutch
45504,PRESERVED_SPECIMEN,Brunellia standleyana,1182044,GBIF,Skutch 3778,Manuel Vargas,,10.17,-84.15,"Vicinity of Vara Blanco, north slope of Central Cordillera; between Poas and Barba volcanoes.",1938.0,1,1,1,,WGS84,2019,Alexander F. Skutch
47162,PRESERVED_SPECIMEN,Brunellia standleyana,1364868,GBIF,Martínez Sequeira 123,Manuel Vargas,,10.21,-84.58,"Reserva Forestal San Ramón, Cordillera de Tilarán, Sendero Madre Piedra",1993.0,1,1,1,,WGS84,2019,Kattia Martínez|Curso de Botánica
