,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1896,PRESERVED_SPECIMEN,Bunchosia costaricensis,223380,GBIF,,Manuel Vargas,,10.92,-85.46,"P. N. Guanacaste estación Cacao, sendero Maritza. Cordillera de Guanacaste.",1995.0,1,1,1,,WGS84,2019,"Angulo, Luis"
1906,PRESERVED_SPECIMEN,Bunchosia costaricensis,237763,GBIF,,Manuel Vargas,,10.67,-84.99,"P.N. Volcán Tenorio Alto Masis. Colecta en bosque secundario, a orilla de quebrada.",2000.0,1,1,1,,WGS84,2019,"Chaves, Jose Luis"
6677,PRESERVED_SPECIMEN,Bunchosia costaricensis,V0077439F,GBIF,8013,Manuel Vargas,,10.0114,-83.9519,,1893.0,1,1,1,,WGS84,2019,A. Tonduz
6760,PRESERVED_SPECIMEN,Bunchosia costaricensis,V0077438F,GBIF,8013,Manuel Vargas,,10.0114,-83.9519,,1893.0,1,1,1,,WGS84,2019,A. Tonduz
13001,PRESERVED_SPECIMEN,Bunchosia costaricensis,1561904,GBIF,,Manuel Vargas,,9.922222,-84.266667,Bajo Morales.,1993.0,1,1,1,,WGS84,2019,Quirico Jiménez
13482,PRESERVED_SPECIMEN,Bunchosia costaricensis,1578253,GBIF,,Manuel Vargas,,10.275833,-84.795834,"San Luis; Buen Amigo, Trapiche. Monteverde.",1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
13975,PRESERVED_SPECIMEN,Bunchosia costaricensis,1596761,GBIF,,Manuel Vargas,,10.272222,-84.825001,"Finca Buen Amigo, San Luis. Monteverde. Camino a Veracruz.",1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
13987,PRESERVED_SPECIMEN,Bunchosia costaricensis,1596951,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Sendero El Espejo.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
14114,PRESERVED_SPECIMEN,Bunchosia costaricensis,1600625,GBIF,,Manuel Vargas,,10.304167,-84.811111,"Monteverde. Joe Stuckey farm, 1 km S of Rio Guacimal bridge.",1994.0,1,1,1,,WGS84,2019,William Haber
14541,PRESERVED_SPECIMEN,Bunchosia costaricensis,1581557,GBIF,,Manuel Vargas,,10.3,-84.8,"Monteverde, cliff edge on Pacific slope, Bajo Tigre trail.",1990.0,1,1,1,,WGS84,2019,William Haber
14549,PRESERVED_SPECIMEN,Bunchosia costaricensis,1581657,GBIF,,Manuel Vargas,,10.276389,-84.795833,San Luis. Camino a Veracruz. Monteverde.,1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
14617,PRESERVED_SPECIMEN,Bunchosia costaricensis,1583218,GBIF,,Manuel Vargas,,10.275833,-84.795834,San Luis; Finca Buen Amigo. Monteverde.,1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
