,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8255,PRESERVED_SPECIMEN,Bunchosia grayumii,100269018,GBIF,Almeda 6812,Manuel Vargas,,9.67,-83.04,Reserva Biológica Hitoy Cerere. From Río Cerere to Cerro Bobókara.,1991.0,1,1,1,,WGS84,2019,Frank Almeda|Thomas F. Daniel|Bruce M. Bartholomew
8935,PRESERVED_SPECIMEN,Bunchosia grayumii,100499473,GBIF,Jiménez Ardón 101,Manuel Vargas,,9.566667,-82.63889,San Miguel de Sixaola. Finca ASACODE.,1999.0,1,1,1,,WGS84,2019,Allan Jiménez
8937,PRESERVED_SPECIMEN,Bunchosia grayumii,100499490,GBIF,Monro 6566,Manuel Vargas,,9.811,-83.073611,"No protegida. Cuenca del Bananito. Point 1, forest close to edge of field adjoining Bananito Lodge.",2010.0,1,1,1,,WGS84,2019,Alex K. Monro|Nelson Zamora|Daniel Solano
8990,PRESERVED_SPECIMEN,Bunchosia grayumii,100500949,GBIF,Mora 1515,Manuel Vargas,,9.928915,-83.43786999999999,"P.N. Barbilla, Cuenca del Matina, Sector Quebrada San Miguel. Camino a Moravia de Chirripo.",2000.0,1,1,1,,WGS84,2019,E. Mora|E. Rojas
9059,PRESERVED_SPECIMEN,Bunchosia grayumii,100502774,GBIF,Rodríguez González 11683,Manuel Vargas,,10.408333,-84.60556,"San Ramon, Pe?as Blancas, Chachagua. Finca Propiedad de la Asociacion de Desarrollo. Alrededores de Quebrada Chachaguita, en cercanias del pueblo.",2007.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
13974,PRESERVED_SPECIMEN,Bunchosia grayumii,1596747,GBIF,,Manuel Vargas,,9.675,-83.022222,"Bosque primario, Bosque secundario.",1992.0,1,1,1,,WGS84,2019,Gerardo Carballo
13977,PRESERVED_SPECIMEN,Bunchosia grayumii,1596746,GBIF,,Manuel Vargas,,9.675,-83.022222,Estación Hitoy Cerere,1990.0,1,1,1,,WGS84,2019,Gerardo Carballo
14278,PRESERVED_SPECIMEN,Bunchosia grayumii,1604087,GBIF,,Manuel Vargas,,9.55,-83.016667,Senderos Revienta-pechos y Espavel.,1992.0,1,1,1,,WGS84,2019,Gerardo Carballo
14847,PRESERVED_SPECIMEN,Bunchosia grayumii,2824236,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
14849,PRESERVED_SPECIMEN,Bunchosia grayumii,2824237,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
14851,PRESERVED_SPECIMEN,Bunchosia grayumii,2824235,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
14943,PRESERVED_SPECIMEN,Bunchosia grayumii,2826539,GBIF,,Manuel Vargas,,9.575,-82.666667,"San Miguel, Ascode, alrededores de la estacion.",1997.0,1,1,1,,WGS84,2019,Jose González; Isidro Chacón ; Erick Salazar
15425,PRESERVED_SPECIMEN,Bunchosia grayumii,2851171,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Allan Jiménez; Nelson A. Zamora Villalobos ; Jose González ; Evelio Alfaro ; Edgar Mora
15426,PRESERVED_SPECIMEN,Bunchosia grayumii,2851173,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Allan Jiménez; Nelson A. Zamora Villalobos ; Jose González ; Evelio Alfaro ; Edgar Mora
15427,PRESERVED_SPECIMEN,Bunchosia grayumii,2851172,GBIF,,Manuel Vargas,,9.566667,-82.638889,San Miguel de Sixaola.,1999.0,1,1,1,,WGS84,2019,Allan Jiménez; Nelson A. Zamora Villalobos ; Jose González ; Evelio Alfaro ; Edgar Mora
16974,PRESERVED_SPECIMEN,Bunchosia grayumii,3094297,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
16975,PRESERVED_SPECIMEN,Bunchosia grayumii,3094296,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
17310,PRESERVED_SPECIMEN,Bunchosia grayumii,3131836,GBIF,,Manuel Vargas,,9.928915,-83.437874,"Turrialba, Pque Nal Barbilla, 2 Km S. Río Barbilla, Camino a Moravia",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
17311,PRESERVED_SPECIMEN,Bunchosia grayumii,3131834,GBIF,,Manuel Vargas,,9.928915,-83.437874,"Turrialba, Pque Nal Barbilla, 2 Km S. Río Barbilla, Camino a Moravia",2000.0,1,1,1,,WGS84,2019,Edgar Mora; Elias Rojas
