,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1965,PRESERVED_SPECIMEN,Chrysochlamys skutchii,124414,GBIF,,Manuel Vargas,,8.71,-83.53,"Rincón, Fila Casa Loma.",1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
1966,PRESERVED_SPECIMEN,Chrysochlamys skutchii,136129,GBIF,,Manuel Vargas,,8.45,-83.56,P. N. Corcovado Los Patos Forest.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
1967,PRESERVED_SPECIMEN,Chrysochlamys skutchii,144690,GBIF,,Manuel Vargas,,8.55,-83.58,"R. F. Golfo Dulce Rancho Quemado, ca. 15 Km W of Rincón, on ridge at NW end of valley, near Fila Ganado.",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
1968,PRESERVED_SPECIMEN,Chrysochlamys skutchii,156922,GBIF,,Manuel Vargas,,8.45,-83.56,P. N. Corcovado El Tigre. Cerro Mueller.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
1969,PRESERVED_SPECIMEN,Chrysochlamys skutchii,156974,GBIF,,Manuel Vargas,,8.71,-83.53,P. N. Corcovado Fila Casa Loma,1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
1970,PRESERVED_SPECIMEN,Chrysochlamys skutchii,163975,GBIF,,Manuel Vargas,,8.62,-83.68,"P. N. Corcovado Los Palnes. La Gloria,",1991.0,1,1,1,,WGS84,2019,"González, Roxana"
1971,PRESERVED_SPECIMEN,Chrysochlamys skutchii,172506,GBIF,,Manuel Vargas,,8.71,-83.51,"P. N. Corcovado Agua Buena. 3.5Km W of Rincón. Along trail leading nort from the of don Quecho, W of BOSCOSA station. Tall, undisturbed forest in elevated",1992.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
1972,PRESERVED_SPECIMEN,Chrysochlamys skutchii,178058,GBIF,,Manuel Vargas,,8.53,-83.46,P. N. Corcovado Cima del Cerro Rincón.,1990.0,1,1,1,,WGS84,2019,"Morales, Carlos O."
1973,PRESERVED_SPECIMEN,Chrysochlamys skutchii,186441,GBIF,,Manuel Vargas,,8.68,-83.21,R. Privada La Gamba. Bosque de los Austriacos,,1,1,1,,WGS84,2019,"Huber, Werner"
1974,PRESERVED_SPECIMEN,Chrysochlamys skutchii,186809,GBIF,,Manuel Vargas,,8.68,-83.21,R. Privada La Gamba. Bosque de los Austriacos,,1,1,1,,WGS84,2019,"Huber, Werner"
1975,PRESERVED_SPECIMEN,Chrysochlamys skutchii,201614,GBIF,,Manuel Vargas,,8.56,-83.5,P. N. Corcovado Estación Los Patos.,1995.0,1,1,1,,WGS84,2019,"Moraga, Marcos"
1976,PRESERVED_SPECIMEN,Chrysochlamys skutchii,202487,GBIF,,Manuel Vargas,,8.65,-83.55,"R. F. Golfo Dulce Rancho Quemado, Chiquerón. Finsa de Abelino Obando.",1993.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
1977,PRESERVED_SPECIMEN,Chrysochlamys skutchii,205346,GBIF,,Manuel Vargas,,8.62,-83.68,"P. N. Corcovado Los Planes Bosque comunal, La Gloria",1991.0,1,1,1,,WGS84,2019,"Induni, Gustavo"
1978,PRESERVED_SPECIMEN,Chrysochlamys skutchii,211327,GBIF,,Manuel Vargas,,9.54,-83.99,Cerro Nene. Llanos de Santa María. Finca de Henry Marín.,1997.0,1,1,1,,WGS84,2019,"Valverde, Oscar"
1979,PRESERVED_SPECIMEN,Chrysochlamys skutchii,223235,GBIF,,Manuel Vargas,,9.45,-83.85,R. F. Los Santos Savegre Abajo. Finca de Neftalí Cordero.,1998.0,1,1,1,,WGS84,2019,"Estrada, Armando"
1980,PRESERVED_SPECIMEN,Chrysochlamys skutchii,227876,GBIF,,Manuel Vargas,,9.46,-83.79,R. F. Los Santos Los  Angeles. Finca La Laguna.,1997.0,1,1,1,,WGS84,2019,"Valverde, Oscar"
12399,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1513615,GBIF,,Manuel Vargas,,9.698611,-84.175556,"Colorado, bosque primario en la falda E de Fila San Jeronimo.",1994.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
12601,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1555899,GBIF,,Manuel Vargas,,8.525,-83.466667,"Golfito, Jiménez, P.N. Corcovado, Cerro Rincón.",1990.0,1,1,1,,WGS84,2019,Carlos Morales
12812,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1559952,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,Los Planes. (La Gloria),1991.0,1,1,1,,WGS84,2019,Roxana Gonzalez
13433,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1575611,GBIF,,Manuel Vargas,,8.659722,-83.554167,"Rancho Quemado, Chiqueron, Finca de Abelino Obando.",1993.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
13700,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1590886,GBIF,,Manuel Vargas,,8.569167,-83.506389,"Estacion Los Patos, cerca de la estacion Bosque primario.",1995.0,1,1,1,,WGS84,2019,Marcos Moraga
14106,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1599305,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,Los Planes. Ribera del Rio Claro.,1991.0,1,1,1,,WGS84,2019,Gustavo Induni
14538,PRESERVED_SPECIMEN,Chrysochlamys skutchii,1581564,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,"Los Planes. Bosque comunal, La Gloria.",1991.0,1,1,1,,WGS84,2019,Gustavo Induni
14985,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2816217,GBIF,,Manuel Vargas,,8.527778,-83.44166700000001,"Valle del Rio Tigre, por la Fila Matajambre desde caserio Dos Brazos",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
14986,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2816218,GBIF,,Manuel Vargas,,8.527778,-83.44166700000001,"Valle del Rio Tigre, por la Fila Matajambre desde caserio Dos Brazos",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
14987,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2816216,GBIF,,Manuel Vargas,,8.527778,-83.44166700000001,"Valle del Rio Tigre, por la Fila Matajambre desde caserio Dos Brazos",1997.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
15370,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2849947,GBIF,,Manuel Vargas,,8.683333,-83.216667,"Fila Gamba, 3 Km NE camino entre Golfito y Villa Briceno.",1997.0,1,1,1,,WGS84,2019,Werner Huber; A. Weissenhofer
16377,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2924267,GBIF,,Manuel Vargas,,8.504541,-83.471399,Cerro Mueller,1988.0,1,1,1,,WGS84,2019,C. Kernan
16726,PRESERVED_SPECIMEN,Chrysochlamys skutchii,2911321,GBIF,,Manuel Vargas,,8.716667,-83.533333,"Rincon, Fila Casa Loma.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
16945,PRESERVED_SPECIMEN,Chrysochlamys skutchii,3093607,GBIF,,Manuel Vargas,,8.518104,-83.469575,P.N. Corcovado. Cerro Rincon. Quebraditas.,1998.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
16947,PRESERVED_SPECIMEN,Chrysochlamys skutchii,3093609,GBIF,,Manuel Vargas,,8.518104,-83.469575,P.N. Corcovado. Cerro Rincon. Quebraditas.,1998.0,1,1,1,,WGS84,2019,Alejandro Azofeifa Zúñiga
18303,PRESERVED_SPECIMEN,Chrysochlamys skutchii,3487750,GBIF,,Manuel Vargas,,8.686111,-83.222222,Cerros frente a la estación.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Edgar Mora ; Gerardo Soto ; Geovanny Sancho
23459,PRESERVED_SPECIMEN,Chrysochlamys skutchii,4311077,GBIF,,Manuel Vargas,,9.0205,-83.49758299999999,Cuesta del Burro. 9 km de la entrada.,2012.0,1,1,1,,WGS84,2019,Barry Hammel; Chris. Davidson ; Isabel Pérez
23461,PRESERVED_SPECIMEN,Chrysochlamys skutchii,4311076,GBIF,,Manuel Vargas,,9.0205,-83.49758299999999,Cuesta del Burro. 9 km de la entrada.,2012.0,1,1,1,,WGS84,2019,Barry Hammel; Chris. Davidson ; Isabel Pérez
