,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2068,PRESERVED_SPECIMEN,Clusia torresii,131609,GBIF,,Manuel Vargas,,9.7,-84.18,Candelaria. Fila Aguabuena.,1988.0,1,1,1,,WGS84,2019,"Chavarría, María Marta"
2074,PRESERVED_SPECIMEN,Clusia torresii,177798,GBIF,,Manuel Vargas,,9.62,-83.95,El Cedral.  Lomas Sur Santa María.,1994.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2075,PRESERVED_SPECIMEN,Clusia torresii,192642,GBIF,,Manuel Vargas,,9.84,-84.11,Z.P. Cerros de Escazú Cedral. Falda Noroeste del Alto Hierba Buena. Cuenca del Río Saurez( Cucubres),1992.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2076,PRESERVED_SPECIMEN,Clusia torresii,193155,GBIF,,Manuel Vargas,,9.83,-84.08,Cedral. Bosque secundario en la cuenca de la Quebrada Honda.,1991.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2077,PRESERVED_SPECIMEN,Clusia torresii,213575,GBIF,,Manuel Vargas,,9.85,-84.1,Camino a Lourdes.,1998.0,1,1,1,,WGS84,2019,"Valverde, Oscar"
2080,PRESERVED_SPECIMEN,Clusia torresii,227534,GBIF,,Manuel Vargas,,9.49,-83.78,R. F. Los Santos Los  Angeles.,2001.0,1,1,1,,WGS84,2019,"Estrada, Armando"
2081,PRESERVED_SPECIMEN,Clusia torresii,229854,GBIF,,Manuel Vargas,,9.95,-83.44,Margen derecha del Río Barbilla. Entre las quebradas San Miguel y Jesús.,1996.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2082,PRESERVED_SPECIMEN,Clusia torresii,229970,GBIF,,Manuel Vargas,,10.25,-84.69,Rincón. Los planes de Monestel.,1996.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2085,PRESERVED_SPECIMEN,Clusia torresii,231468,GBIF,,Manuel Vargas,,10.67,-84.99,"P. N. V. Tenorio Cuenca del Río Frío. Alto Masís. Colecta en bosque secundario,  a orilla de quebrada.",2000.0,1,1,1,,WGS84,2019,José Luis Chaves
2089,PRESERVED_SPECIMEN,Clusia torresii,237711,GBIF,,Manuel Vargas,,10.06,-84.02,P.N. Braulio Carrillo Santa Elena,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
2090,PRESERVED_SPECIMEN,Clusia torresii,237712,GBIF,,Manuel Vargas,,10.06,-84.02,P.N. Braulio Carrillo Santa Elena,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
5618,PRESERVED_SPECIMEN,Clusia torresii,687016,GBIF,,Manuel Vargas,,17.166944,-92.31694399999999,Banco de Grava,1983.0,1,1,1,,WGS84,2019,A. Shilom Ton
5843,PRESERVED_SPECIMEN,Clusia torresii,904042,GBIF,Rodríguez Ramírez 134,Manuel Vargas,,10.61,-84.99,Z.P. Tenorio; Cordillera de Tilarán. Tierras Morenas; Río San Lorenzo.,1993.0,1,1,1,,WGS84,2019,Gladys Rodríguez|Quírico Jiménez
