,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2122,PRESERVED_SPECIMEN,Conostegia rhodopetala,73430,GBIF,,Manuel Vargas,,10.33,-84.78,Trail leading to Cerro Amigos. Ridge trail leading to TV towers.,2002.0,1,1,1,,WGS84,2019,"Penneys, Darin S."
2124,PRESERVED_SPECIMEN,Conostegia rhodopetala,110621,GBIF,,Manuel Vargas,,10.05,-84.01,Open pasture and remnants of lower montane rain forest formations on tidges and steeps along the río Pará Blanca. (Pacific drainage). Cerros de Zurquí. Heredia and San José provinces.,1978.0,1,1,1,,WGS84,2019,"Burger, William"
2126,PRESERVED_SPECIMEN,Conostegia rhodopetala,119891,GBIF,,Manuel Vargas,,10.26,-84.8,"R. B. Monteverde In Valley of río San Luis, in woods along river from pastures up to waterfall.",1985.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
2142,PRESERVED_SPECIMEN,Conostegia rhodopetala,162966,GBIF,,Manuel Vargas,,10.3,-84.78,"R. B. Monteverde Road to divide from field station and near La Ventana, Pacific slope, wet and rain forest.",1991.0,1,1,1,,WGS84,2019,"Haber, William"
2146,PRESERVED_SPECIMEN,Conostegia rhodopetala,172542,GBIF,,Manuel Vargas,,10.3,-84.8,"R. B. Monteverde Pacific slopes wet and rain forest, road from field station to divide.",1991.0,1,1,1,,WGS84,2019,"Haber, William"
2147,PRESERVED_SPECIMEN,Conostegia rhodopetala,176320,GBIF,,Manuel Vargas,,9.69,-83.76,"P. N. Tapantí Cordillera de Talamanca, río Grande de Orosí, Tapantí, bosque alterado por crecientes del río Villegas, cerca de la toma de agua.",1994.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2149,PRESERVED_SPECIMEN,Conostegia rhodopetala,183360,GBIF,,Manuel Vargas,,10.21,-84.3,Bajos del Toro Amarillo. Orillas del Río Segundo.,1989.0,1,1,1,,WGS84,2019,"Umaña, Gina"
2150,PRESERVED_SPECIMEN,Conostegia rhodopetala,183787,GBIF,,Manuel Vargas,,10.21,-84.3,Bajos del Toro Amarillo. Orillas de Río Segundo.,1989.0,1,1,1,,WGS84,2019,"Umaña, Gina"
2152,PRESERVED_SPECIMEN,Conostegia rhodopetala,194324,GBIF,,Manuel Vargas,,10.18,-84.15,Vara Blanca. San Rafael. Orilla de río Sarapiquí.,1992.0,1,1,1,,WGS84,2019,"Ballestero, Miguel"
2156,PRESERVED_SPECIMEN,Conostegia rhodopetala,204157,GBIF,,Manuel Vargas,,9.77,-83.54,Vereh. Siguiendo la Fila entre Río Vereh y río Jicotea.,1995.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2157,PRESERVED_SPECIMEN,Conostegia rhodopetala,204604,GBIF,,Manuel Vargas,,10.28,-84.76,R. B. Monteverde Ojo de Agua. Finca de Leonel Hernández.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
2158,PRESERVED_SPECIMEN,Conostegia rhodopetala,204738,GBIF,,Manuel Vargas,,10.28,-84.66,Entre Fila Divisoria de agua (Rincón de Cedral) y cerro Bekom.,1996.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2161,PRESERVED_SPECIMEN,Conostegia rhodopetala,214108,GBIF,,Manuel Vargas,,9.35,-83.22,"P.I. La Amistad Cordillera de Talamanca. Río Lori, 300 m aguas arriba unión quebrada Kuisa, entre Ujarrás y San José Cabécar.",1993.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2164,PRESERVED_SPECIMEN,Conostegia rhodopetala,221593,GBIF,,Manuel Vargas,,9.39,-83.08,"Bratsi. Amibri, Alto Lari, Kivut. Siguiendo los ríos Dapari y Lari, margen izquierda de éste.",1992.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2168,PRESERVED_SPECIMEN,Conostegia rhodopetala,223962,GBIF,,Manuel Vargas,,10.21,-84.3,Bajos del Toro  Amarillo.  Orilla de Río Segundo,1989.0,1,1,1,,WGS84,2019,"Umaña, Gina"
2170,PRESERVED_SPECIMEN,Conostegia rhodopetala,228246,GBIF,,Manuel Vargas,,9.53,-83.83,R. F. Los Santos Providencia. Del cruce entre La Piedra y Providencia 4.7  km. SW; camino a San Gerardo de Dota.,2001.0,1,1,1,,WGS84,2019,"Estrada, Armando"
2171,PRESERVED_SPECIMEN,Conostegia rhodopetala,231535,GBIF,,Manuel Vargas,,10.07,-83.98,P.N. Braulio Carrillo Cuenca del Sarapiquí. La Ventana. Camino Viejo al bajo la Hondura.,1998.0,1,1,1,,WGS84,2019,"Rodríguez, Alexánder"
2172,PRESERVED_SPECIMEN,Conostegia rhodopetala,231672,GBIF,,Manuel Vargas,,10.06,-83.98,P.N. Braulio Carrillo Cuenca del Sarapiquí. Camino al Bajo de la Hondura.,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
5879,PRESERVED_SPECIMEN,Conostegia rhodopetala,904730,GBIF,Herrera Chacón 5372,Manuel Vargas,,9.397222,-83.086111,"Bratsi, Amubri, Alto Lari, Kivut. Siguiendo la fila entre los Rios Dapari y Lari, margen izquierda de este.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
5904,PRESERVED_SPECIMEN,Conostegia rhodopetala,905322,GBIF,Herrera Chacón 6010,Manuel Vargas,,9.359722,-83.229167,"P.N. Cordillera de Talamanca; Cordillera de Talamanca. Río Lori, 300 m aguas arriba unión Queb. Kuisa. Entre Ujarrás y San José Cabécar.",1993.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
6844,PRESERVED_SPECIMEN,Conostegia rhodopetala,V0063502F,GBIF,1234,Manuel Vargas,,10.0114,-83.9519,,1898.0,1,1,1,,WGS84,2019,A. Tonduz
8038,PRESERVED_SPECIMEN,Conostegia rhodopetala,100155521,GBIF,Kriebel Haehner 577,Manuel Vargas,,10.256944,-84.17222199999999,No protegida. Cuenca del Sarapiquí. Virgen del Socorro.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8049,PRESERVED_SPECIMEN,Conostegia rhodopetala,100156179,GBIF,Alfaro Vindas 2021,Manuel Vargas,,8.950833,-82.743889,"Z.P. Las Tablas. Cuenca Terraba-Sierpe. Sitio Las Tablas, colectado en potrero y orillas del bosque.",1999.0,1,1,1,,WGS84,2019,Evelio Alfaro
8063,PRESERVED_SPECIMEN,Conostegia rhodopetala,100158679,GBIF,Kriebel Haehner 473,Manuel Vargas,,10.116667,-83.975,"P.N. Braulio Carrillo. Cuenca del Sarapiquí. P.N. Braulio Carrillo, sobre carretera.",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
