,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2274,PRESERVED_SPECIMEN,Couratari scottmorii,130072,GBIF,,Manuel Vargas,,8.67,-83.56,"Rancho Quemado, Rincón de Osa.",1988.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2275,PRESERVED_SPECIMEN,Couratari scottmorii,130866,GBIF,,Manuel Vargas,,8.67,-83.56,"Rancho Quemado, Rincón de Osa.",1988.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2278,PRESERVED_SPECIMEN,Couratari scottmorii,144606,GBIF,,Manuel Vargas,,8.66,-83.56,"R. F. Golfo Dulce Osa Península, Rancho Quemado; in forest and forest edges at S end of valley.",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
2284,PRESERVED_SPECIMEN,Couratari scottmorii,156651,GBIF,,Manuel Vargas,,8.7,-83.52,"Aguabuena, cuenca superior de Quebrada El Campo. Rincón.",1990.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2290,PRESERVED_SPECIMEN,Couratari scottmorii,165156,GBIF,,Manuel Vargas,,8.68,-83.56,Rancho  Quemado. Estón Forestal. Finca Eloy Cubero.,1991.0,1,1,1,,WGS84,2019,"Marín, Juan"
2291,PRESERVED_SPECIMEN,Couratari scottmorii,165813,GBIF,,Manuel Vargas,,8.7,-83.52,R. F. Golfo Dulce Aguabuena. La Cuenca. Rincón de Osa.,1991.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2297,PRESERVED_SPECIMEN,Couratari scottmorii,169335,GBIF,,Manuel Vargas,,8.71,-83.58,"R. F. Golfo Dulce Península de Osa; ca. Laguna Chocuaco; Rancho Quemado; bosque primario en la Fila Rancho, al norte del pueblo.",1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2299,PRESERVED_SPECIMEN,Couratari scottmorii,169891,GBIF,,Manuel Vargas,,8.69,-83.55,R. F. Golfo Dulce Rancho Quemado. Rincón de Osa.,1991.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2300,PRESERVED_SPECIMEN,Couratari scottmorii,173469,GBIF,,Manuel Vargas,,8.7,-83.48,R. F. Golfo Dulce Península de Osa; Bahía Rincón; Rincón.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2309,PRESERVED_SPECIMEN,Couratari scottmorii,185235,GBIF,,Manuel Vargas,,8.7,-83.51,R. F. Golfo Dulce Península de Osa. Aguabuena.,1993.0,1,1,1,,WGS84,2019,"Ramírez, Victor H."
