,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
651,UNKNOWN,Crateva palmeri,14861,GBIF,,Manuel Vargas,,23.327778,-106.25,Cofradía.,1940.0,1,1,1,,WGS84,2019,H.S. Gentry
652,UNKNOWN,Crateva palmeri,14862,GBIF,,Manuel Vargas,,18.267778,-100.65,Pungarabato.,1934.0,1,1,1,,WGS84,2019,B.D. Hinton
653,UNKNOWN,Crateva palmeri,195253,GBIF,,Manuel Vargas,,16.780556,-99.783333,Copacabana.,1970.0,1,1,1,,WGS84,2019,L.W. Boege
654,UNKNOWN,Crateva palmeri,361715,GBIF,,Manuel Vargas,,19.311111,-103.8,"Colima a Minatitlán, por Peñitas, 10 km al ONO de Colima.",1982.0,1,1,1,,WGS84,2019,
655,UNKNOWN,Crateva palmeri,445355,GBIF,,Manuel Vargas,,19.916667,-103.7,1 km al S de San Martín.,1987.0,1,1,1,,WGS84,2019,A. Flores M.
656,UNKNOWN,Crateva palmeri,513612,GBIF,,Manuel Vargas,,24.786944000000002,-107.08333300000001,"El Espinal, aproximadamente 90 km de Culiacán.",1989.0,1,1,1,,WGS84,2019,
657,UNKNOWN,Crateva palmeri,547333,GBIF,,Manuel Vargas,,24.876110999999998,-106.96666699999999,"Los Mayos, a 70 km de Culiacán, rumbo a Tamazula.",1988.0,1,1,1,,WGS84,2019,R. Vega A. y J.A. Hernández V.
658,UNKNOWN,Crateva palmeri,55767,GBIF,,Manuel Vargas,,17.566111,-101.05,Temixco.,1943.0,1,1,1,,WGS84,2019,J.R. Bruff
659,UNKNOWN,Crateva palmeri,57297,GBIF,,Manuel Vargas,,17.566111,-101.05,Temixco.,1943.0,1,1,1,,WGS84,2019,J.R. Bruff
660,UNKNOWN,Crateva palmeri,57298,GBIF,,Manuel Vargas,,17.566111,-101.05,Temixco.,1943.0,1,1,1,,WGS84,2019,J.R. Bruff
661,UNKNOWN,Crateva palmeri,601118,GBIF,,Manuel Vargas,,22.243333,-104.9,Agua Caliente.,1990.0,1,1,1,,WGS84,2019,O. Bravo B.
662,UNKNOWN,Crateva palmeri,722347,GBIF,,Manuel Vargas,,18.696111,-103.65,Coahuayana de Hidalgo.,1985.0,1,1,1,,WGS84,2019,
663,UNKNOWN,Crateva palmeri,79479,GBIF,,Manuel Vargas,,15.391667000000002,-92.616667,Monte Ovando.,1945.0,1,1,1,,WGS84,2019,E. Matuda
664,UNKNOWN,Crateva palmeri,803789,GBIF,,Manuel Vargas,,19.191667000000002,-104.633333,Arroyo Seco.,1990.0,1,1,1,,WGS84,2019,
665,UNKNOWN,Crateva palmeri,980219,GBIF,,Manuel Vargas,,21.01,-102.1,Tolimán. Barranca del Huisichi.,1996.0,1,1,1,,WGS84,2019,J.A. Machuca y M. Cházaro B.
666,UNKNOWN,Crateva palmeri,990923,GBIF,,Manuel Vargas,,22.054444,-104.91666699999999,"Cerro El Limón, margén izquierdo río San Pedro.",1996.0,1,1,1,,WGS84,2019,J. Sosa L. y M. Zavala M.
2289,PRESERVED_SPECIMEN,Crateva palmeri,162992,GBIF,,Manuel Vargas,,10.33,-85.35,P.N. Palo Verde Estación Palo Verde.Bosque secundario tropical seco.Potreros,1990.0,1,1,1,,WGS84,2019,"Acevedo, Daniel"
2293,PRESERVED_SPECIMEN,Crateva palmeri,168706,GBIF,,Manuel Vargas,,10.35,-85.33,P.N. Palo Verde Estación Palo Verde. Sendero Guayacan,,1,1,1,,WGS84,2019,"Chavarría, Ulises"
2306,PRESERVED_SPECIMEN,Crateva palmeri,182262,GBIF,,Manuel Vargas,,10.34,-85.33,"P.N. Palo Verde Bosque secundario junto a la Laguna Palo Verde, aprox. 1 km O de la pista",1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
5611,PRESERVED_SPECIMEN,Crateva palmeri,021817,GBIF,,Manuel Vargas,,25.987778,-109.04833300000001,Pie de sierra de Barobampo,1999.0,1,1,1,,WGS84,2019,RVA; JAGG
5612,PRESERVED_SPECIMEN,Crateva palmeri,001921,GBIF,,Manuel Vargas,,24.122778,-106.894444,"El Espinal, a 90 km  de Culiacan.",1989.0,1,1,1,,WGS84,2019,RVA; IFVL; MAL
5613,PRESERVED_SPECIMEN,Crateva palmeri,008319,GBIF,,Manuel Vargas,,24.995832999999998,-107.80416699999999,Cerros de Caimanero a 5 km al O del poblado.,1987.0,1,1,1,,WGS84,2019,RVA; GBB
5622,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,9924,Manuel Vargas,,17.91444,-101.79389,About 1-2 km north of Hwy 200 along road to Chutla de Nava,2005.0,1,1,1,,WGS84,2019,Mitch Provance
7311,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,11315,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2019,W. C. Burger & et al.
7957,PRESERVED_SPECIMEN,Crateva palmeri,100143640,GBIF,González Ramírez 2378,Manuel Vargas,,10.253333,-85.317222,"H. Palustrino Corral de Piedra. Cuenca del Tempisque. Quebrada Honda. Camino que rodea el Cerro Corral de Piedra, hasta el estero del mismo nombre, charrales y bosques intervenidos.",2002.0,1,1,1,,WGS84,2019,José Á. González R.|Y. Cardenas
8238,PRESERVED_SPECIMEN,Crateva palmeri,100256150,GBIF,Stevens 29607,Manuel Vargas,,12.404167,-85.845833,Km 63 of Carretera al Rama; dry forest,2010.0,1,1,1,,WGS84,2019,W. D. Stevens|O.M. Montiel J.
8409,PRESERVED_SPECIMEN,Crateva palmeri,100391349,GBIF,Stevens 31689,Manuel Vargas,,12.628611,-86.04305500000001,1.2 km E of Carretera Norte on road along N shore of Laguna Tecomapa; dry forest between road and lake,2011.0,1,1,1,,WGS84,2019,W. D. Stevens|O.M. Montiel J.
8744,PRESERVED_SPECIMEN,Crateva palmeri,100489326,GBIF,Santamaría-Aguilar 1031,Manuel Vargas,,9.938858,-84.894153,No protegida.  Golfo de Nicoya Externo.  Isla San Lucas.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría|J. F. Morales|Armando Soto|Frank González
9128,PRESERVED_SPECIMEN,Crateva palmeri,100519824,GBIF,Rueda 18706,Manuel Vargas,,13.233332999999998,-86.35,"Reserva Natural de Miraflor, comunidad de Fátima, Río Naranjo de Fátima",2012.0,1,1,1,,WGS84,2019,R.M. Rueda|I. Coronado G.|J. Reyes
9295,PRESERVED_SPECIMEN,Crateva palmeri,100563205,GBIF,Stevens 33603,Manuel Vargas,,13.610889000000002,-86.451444,2.7 km E of Panamerican Highway (at 0.2 km S of Río Coco bridge just S of Ocotal) along road through Yaraje to El Zapote.,2012.0,1,1,1,,WGS84,2019,W. D. Stevens|O.M. Montiel J.
9297,PRESERVED_SPECIMEN,Crateva palmeri,100563689,GBIF,Stevens 33800,Manuel Vargas,,11.087278,-85.715944,6.9 km SW of Puente El Ostional along road to Costa Rica border; dry forest on shale slopes and rocky shore,2012.0,1,1,1,,WGS84,2019,W. D. Stevens|O.M. Montiel J.
9318,PRESERVED_SPECIMEN,Crateva palmeri,100574201,GBIF,Palmer 1285,Manuel Vargas,,18.934722,-103.965,Armería.,1891.0,1,1,1,,WGS84,2019,Edward Palmer
10098,PRESERVED_SPECIMEN,Crateva palmeri,MA-01-00734345,GBIF,2378,Manuel Vargas,,10.2533,-85.3172,"Guanacaste: Nicoya. H. Palustrino Corral de Piedra. Cuenca del Tempisque. Quebrada Honda. Camino que rodea el Cerro Corral de Piedra, hastae el estero del mismo nombre,",2002.0,1,1,1,,WGS84,2019,J. González & al.
10766,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,154,Manuel Vargas,,19.379170000000002,-104.98333000000001,"Rancho Cuixmala, along Rio Cuixmala, near headquarters",1991.0,1,1,1,,WGS84,2019,"B.M. Rothschild; Ma. Guadalupe Ayala, S.Vazquez C."
10767,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,3241,Manuel Vargas,,19.46667,-104.93333,"Rancho Cuixmala, road to Parque El Caiman, south side of Rio Cuitzmala, c. 2 km E of the Puerto Vallarta - Barra de Navidad (MEX 200) Hwy",1991.0,1,1,1,,WGS84,2019,E.J. Lott; et al.
10768,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,10490,Manuel Vargas,,19.383329999999997,-104.98167,Rancho Cuixmala; immediately north of Rio Cuitzmala and west of Hwy 200 (Puerto Vallarta - Barra la Navidad Hwy).,1991.0,1,1,1,,WGS84,2019,"A.C. Sanders; D. Charlton, B. Phillips, B. Rothschild"
10769,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,31136,Manuel Vargas,,19.65833,-104.075,"Upper (outer) floodplain, in the deep valley of Río Ajuquila, on the NE edge of Zenzontla, 22 km SE of El Grullo",1994.0,1,1,1,,WGS84,2019,H.H. Iltis; F.J. Santana M.
10770,PRESERVED_SPECIMEN,Crateva palmeri,,GBIF,5640,Manuel Vargas,,19.66056,-104.08028,6 km al E de Tuxcacuesco. Zenzontla,,1,1,1,,WGS84,2019,F.J. Santana M.; B.F. Benz
10950,PRESERVED_SPECIMEN,Crateva palmeri,ASU0038874,GBIF,5467,Manuel Vargas,,18.333333,-100.65,"Pungarabato, Coyuca.",1934.0,1,1,1,,WGS84,2019,Geo. B. Hinton
11251,PRESERVED_SPECIMEN,Crateva palmeri,G-G-147522/4,GBIF,,Manuel Vargas,,10.25333,-85.31721999999999,"Guanacaste - Guanacaste: Nicoya. H. Palustrino Corral de Piedra. Cuenca del Tempisque. Quebrada Honda. Camino que rodea el Cerro Corral de Piedra, hasta el estero del mismo nombre, charrales y bosques intervenidos/Provincia de Guanacaste",2002.0,1,1,1,,WGS84,2019,"González, J. & Y. Cárdenas"
11992,PRESERVED_SPECIMEN,Crateva palmeri,1528456,GBIF,,Manuel Vargas,,10.433333,-85.261111,Bagactzi.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
11993,PRESERVED_SPECIMEN,Crateva palmeri,1528454,GBIF,,Manuel Vargas,,10.433333,-85.261111,Bagactzi.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
11994,PRESERVED_SPECIMEN,Crateva palmeri,1528455,GBIF,,Manuel Vargas,,10.433333,-85.261111,Bagactzi.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
11995,PRESERVED_SPECIMEN,Crateva palmeri,1528453,GBIF,,Manuel Vargas,,10.433333,-85.261111,Bagactzi.,1996.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
12656,PRESERVED_SPECIMEN,Crateva palmeri,1557121,GBIF,,Manuel Vargas,,10.35,-85.333333,Sendero Guayacan.,1991.0,1,1,1,,WGS84,2019,Ulises Chavarría
12762,PRESERVED_SPECIMEN,Crateva palmeri,1559682,GBIF,,Manuel Vargas,,10.333333,-85.352778,"Estacion Palo Verde. Bosque secundario, tropical seco. Potreros.",1990.0,1,1,1,,WGS84,2019,Daniel Acevedo
17195,PRESERVED_SPECIMEN,Crateva palmeri,3108811,GBIF,,Manuel Vargas,,10.408333,-85.35,"Llano de Cortes, 5 Km antes de entrada a Palo Verde, suelo semi-inundado.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
17196,PRESERVED_SPECIMEN,Crateva palmeri,3108809,GBIF,,Manuel Vargas,,10.408333,-85.35,"Llano de Cortes, 5 Km antes de entrada a Palo Verde, suelo semi-inundado.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
17197,PRESERVED_SPECIMEN,Crateva palmeri,3108810,GBIF,,Manuel Vargas,,10.408333,-85.35,"Llano de Cortes, 5 Km antes de entrada a Palo Verde, suelo semi-inundado.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Victor Ramírez
18005,PRESERVED_SPECIMEN,Crateva palmeri,3429823,GBIF,,Manuel Vargas,,10.348185,-85.361473,"P.N. Palo Verde, Camino a Puerto Chamorro",2000.0,1,1,1,,WGS84,2019,L. Acosta; Geovanny Sancho ; Gerardo Soto
18790,PRESERVED_SPECIMEN,Crateva palmeri,3751677,GBIF,,Manuel Vargas,,10.253385,-85.31735400000001,"Nicoya, Humedal Corral de Piedra.",2002.0,1,1,1,,WGS84,2019,Jose González; Yow Cárdenas
18791,PRESERVED_SPECIMEN,Crateva palmeri,3751680,GBIF,,Manuel Vargas,,10.253385,-85.31735400000001,"Nicoya, Humedal Corral de Piedra.",2002.0,1,1,1,,WGS84,2019,Jose González; Yow Cárdenas
18792,PRESERVED_SPECIMEN,Crateva palmeri,3751676,GBIF,,Manuel Vargas,,10.253385,-85.31735400000001,"Nicoya, Humedal Corral de Piedra.",2002.0,1,1,1,,WGS84,2019,Jose González; Yow Cárdenas
18793,PRESERVED_SPECIMEN,Crateva palmeri,3751678,GBIF,,Manuel Vargas,,10.253385,-85.31735400000001,"Nicoya, Humedal Corral de Piedra.",2002.0,1,1,1,,WGS84,2019,Jose González; Yow Cárdenas
