,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
1278,PRESERVED_SPECIMEN,Croton decalobus,V0477960F,GBIF,13007,Manuel Vargas,,14.8364,-86.4556,,1963.0,1,1,1,,WGS84,2019,A. Molina R.
1280,PRESERVED_SPECIMEN,Croton decalobus,V0477965F,GBIF,1308,Manuel Vargas,,10.0114,-83.9519,,1935.0,1,1,1,,WGS84,2019,M. Valerio
1291,PRESERVED_SPECIMEN,Croton decalobus,V0477961F,GBIF,39,Manuel Vargas,,10.0114,-83.9519,,1933.0,1,1,1,,WGS84,2019,A. M. Brenes
1293,PRESERVED_SPECIMEN,Croton decalobus,V0477963F,GBIF,716,Manuel Vargas,,10.0114,-83.9519,,1946.0,1,1,1,,WGS84,2019,J. A. Echeverria
1295,PRESERVED_SPECIMEN,Croton decalobus,V0477962F,GBIF,2824,Manuel Vargas,,10.0114,-83.9519,,1932.0,1,1,1,,WGS84,2019,H. E. Stork
1311,PRESERVED_SPECIMEN,Croton decalobus,V0477958F,GBIF,59903,Manuel Vargas,,15.7422,-90.1792,,1938.0,1,1,1,,WGS84,2019,P. C. Standley
1339,PRESERVED_SPECIMEN,Croton decalobus,V0477959F,GBIF,11722,Manuel Vargas,,14.8364,-86.4556,,1963.0,1,1,1,,WGS84,2019,A. Molina R.
1355,PRESERVED_SPECIMEN,Croton decalobus,V0477964F,GBIF,233,Manuel Vargas,,10.0114,-83.9519,,1935.0,1,1,1,,WGS84,2019,F. Solís
2391,PRESERVED_SPECIMEN,Croton decalobus,184359,GBIF,,Manuel Vargas,,9.93,-84.16,"Valle del Tárcoles. Alto Las Palomas, parche de bosque secundario lado izquierdo de la carretera.",1994.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2416,PRESERVED_SPECIMEN,Croton decalobus,206890,GBIF,,Manuel Vargas,,9.93,-84.16,Valle del Tárcoles. Subiendo por camino.,1994.0,1,1,1,,WGS84,2019,"Fernández, Álvaro"
7306,PRESERVED_SPECIMEN,Croton decalobus,V0056027F,GBIF,1425,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2019,E. R. von Friedrichsthal
7749,PRESERVED_SPECIMEN,Croton decalobus,1159654,GBIF,,Manuel Vargas,,18.8111,-96.7215,Cuitláhuac;  Cuitlahuac,1937.0,1,1,1,,WGS84,2019,Eizi Matuda
7995,PRESERVED_SPECIMEN,Croton decalobus,100149038,GBIF,Kriebel Haehner 230,Manuel Vargas,,9.933056,-84.233056,No protegida. Cuenca del Tárcoles. Represa de Brasil de Mora.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8745,PRESERVED_SPECIMEN,Croton decalobus,100489396,GBIF,Santamaría-Aguilar 2436,Manuel Vargas,,9.971667,-84.08333,"No protegida. Cuenca del Tárcoles. Cerca del Río Tibas, SE de Santo Domingo.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría|Armando Soto|Ted R. Bradley
8981,PRESERVED_SPECIMEN,Croton decalobus,100500602,GBIF,Solano Peralta 2368,Manuel Vargas,,9.938889,-84.19444,No protegida. Cuenca del Tárcoles. Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
11232,PRESERVED_SPECIMEN,Croton decalobus,G-DC-223295/1,GBIF,,Manuel Vargas,,15.70222,-90.35611,Guatemala - Guatemala,,1,1,1,,WGS84,2019,"Friedrichsthal, E. (Coll. HERBIER DE CANDOLLE)"
11360,HUMAN_OBSERVATION,Croton decalobus,10247639,GBIF,,Manuel Vargas,,16.882012,-93.4575,,2018.0,1,1,1,,WGS84,2019,Neptalí Ramírez Marcial
13235,PRESERVED_SPECIMEN,Croton decalobus,1569024,GBIF,,Manuel Vargas,,9.976389,-84.184722,"Camino que conduce a los Playones. Puente de Mulas, Estacion Electrica Electriona.",1994.0,1,1,1,,WGS84,2019,Jose González
13268,PRESERVED_SPECIMEN,Croton decalobus,1569783,GBIF,,Manuel Vargas,,9.976389,-84.184722,"Camino que conduce a los Playones. Puente de Mulas, Estacion Electrica Electriona.",1994.0,1,1,1,,WGS84,2019,Jose González
13373,PRESERVED_SPECIMEN,Croton decalobus,1573372,GBIF,,Manuel Vargas,,9.933333,-84.166667,Alto Las Palomas. Parche de bosque secundario lado izq. carretera.,1994.0,1,1,1,,WGS84,2019,Quirico Jiménez
13670,PRESERVED_SPECIMEN,Croton decalobus,1589249,GBIF,,Manuel Vargas,,9.933333,-84.166667,Subiendo por camino.,1994.0,1,1,1,,WGS84,2019,Alvaro Fernandez
18444,PRESERVED_SPECIMEN,Croton decalobus,3519681,GBIF,,Manuel Vargas,,9.933013,-84.233027,"Brazil, Santa Ana",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
18445,PRESERVED_SPECIMEN,Croton decalobus,3519678,GBIF,,Manuel Vargas,,9.933013,-84.233027,"Brazil, Santa Ana",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
18446,PRESERVED_SPECIMEN,Croton decalobus,3519680,GBIF,,Manuel Vargas,,9.933013,-84.233027,"Brazil, Santa Ana",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
18447,PRESERVED_SPECIMEN,Croton decalobus,3519679,GBIF,,Manuel Vargas,,9.933013,-84.233027,"Brazil, Santa Ana",2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
19752,PRESERVED_SPECIMEN,Croton decalobus,3913581,GBIF,,Manuel Vargas,,9.933333,-84.166667,Alto Las Palomas. Parche de bosque secundario lado izq. carretera.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
19753,PRESERVED_SPECIMEN,Croton decalobus,3913610,GBIF,,Manuel Vargas,,9.933333,-84.166667,Alto Las Palomas. Parche de bosque secundario lado izq. carretera.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20087,PRESERVED_SPECIMEN,Croton decalobus,3950193,GBIF,,Manuel Vargas,,9.920767,-84.153243,"Monasterio, Cerros de Escazú.",2004.0,1,1,1,,WGS84,2019,Daniel Santamaría
20088,PRESERVED_SPECIMEN,Croton decalobus,3950192,GBIF,,Manuel Vargas,,9.920767,-84.153243,"Monasterio, Cerros de Escazú.",2004.0,1,1,1,,WGS84,2019,Daniel Santamaría
20530,PRESERVED_SPECIMEN,Croton decalobus,4006037,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Ted Bradley; Armando Soto ; Daniel Santamaría
20792,PRESERVED_SPECIMEN,Croton decalobus,4031572,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Armando Soto ; Ted Bradley
20793,PRESERVED_SPECIMEN,Croton decalobus,4031573,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Armando Soto ; Ted Bradley
20794,PRESERVED_SPECIMEN,Croton decalobus,4031571,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Armando Soto ; Ted Bradley
20811,PRESERVED_SPECIMEN,Croton decalobus,4042565,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Armando Soto; Daniel Santamaría ; Ted Bradley
20812,PRESERVED_SPECIMEN,Croton decalobus,4042564,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Armando Soto; Daniel Santamaría ; Ted Bradley
20813,PRESERVED_SPECIMEN,Croton decalobus,4042563,GBIF,,Manuel Vargas,,9.971667,-84.083333,Cañón Río Tures y confluencia con el Río Virilla.,2005.0,1,1,1,,WGS84,2019,Armando Soto; Daniel Santamaría ; Ted Bradley
21136,PRESERVED_SPECIMEN,Croton decalobus,4092227,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
21137,PRESERVED_SPECIMEN,Croton decalobus,4092226,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
21139,PRESERVED_SPECIMEN,Croton decalobus,4092230,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
21140,PRESERVED_SPECIMEN,Croton decalobus,4092229,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
21141,PRESERVED_SPECIMEN,Croton decalobus,4092228,GBIF,,Manuel Vargas,,9.938889,-84.19444399999999,Centro de Conservación Santa Ana.,2005.0,1,1,1,,WGS84,2019,Daniel Solano
23263,PRESERVED_SPECIMEN,Croton decalobus,4287924,GBIF,,Manuel Vargas,,10.788694,-85.34916700000001,"P.N. Rincón de la Vieja, sendero hacia el cráter.",2011.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano ; I. Ch. Oh
23265,PRESERVED_SPECIMEN,Croton decalobus,4287921,GBIF,,Manuel Vargas,,10.788694,-85.34916700000001,"P.N. Rincón de la Vieja, sendero hacia el cráter.",2011.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano ; I. Ch. Oh
23266,PRESERVED_SPECIMEN,Croton decalobus,4287920,GBIF,,Manuel Vargas,,10.788694,-85.34916700000001,"P.N. Rincón de la Vieja, sendero hacia el cráter.",2011.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano ; I. Ch. Oh
23267,PRESERVED_SPECIMEN,Croton decalobus,4287922,GBIF,,Manuel Vargas,,10.788694,-85.34916700000001,"P.N. Rincón de la Vieja, sendero hacia el cráter.",2011.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano ; I. Ch. Oh
23270,PRESERVED_SPECIMEN,Croton decalobus,4287923,GBIF,,Manuel Vargas,,10.788694,-85.34916700000001,"P.N. Rincón de la Vieja, sendero hacia el cráter.",2011.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Guillermo Villalobos ; Federico Solano ; I. Ch. Oh
27343,PRESERVED_SPECIMEN,Croton decalobus,101159387,GBIF,Webster 17984,Manuel Vargas,,16.05,-92.033333,3 mi SE of La Trinitaria.,1972.0,1,1,1,,WGS84,2019,Grady L. Webster|Steven P. Lynch
29038,PRESERVED_SPECIMEN,Croton decalobus,2652778,GBIF,Jiménez Madrigal 177,Manuel Vargas,,9.93,-84.16,"Valle del Tárcoles, Alto Las Palomas, parche de bosque secundario intervenido lado izq. carretera, creciendo en bosque secundario",1994.0,1,1,1,,WGS84,2019,Quírico Jiménez|Alexánder Rodríguez|Armando Estrada
30735,PRESERVED_SPECIMEN,Croton decalobus,887892,GBIF,Jiménez Madrigal 1577,Manuel Vargas,,9.93,-84.16,"Valle del Tárcoles, Alto Las Palomas, parche de bosque secundario intervenido lado izq. carretera, creciendo en bosque secundario",1994.0,1,1,1,,WGS84,2019,Quírico Jiménez|Alexánder Rodríguez|Armando Estrada
30992,PRESERVED_SPECIMEN,Croton decalobus,894462,GBIF,González Ramírez 268,Manuel Vargas,,9.97,-84.18,"Valle Central. Camino que conduce a los Playones. Puente de Mulas, Estación Eléctrica Electriona. Creciendo en talud rocoo asido a las fisuras de las rocas, junto a camino que comunica San Vicente con la represa de Puente Mulas.",1994.0,1,1,1,,WGS84,2019,José Á. González R.|E. Zamora
30993,PRESERVED_SPECIMEN,Croton decalobus,894441,GBIF,González Ramírez 260,Manuel Vargas,,9.97,-84.18,"Valle Central. Camino que conduce a los Playones. Puente de Mulas, Estación Eléctrica Electriona. Creciendo en ladera de suelo inestable y pedregoso en la margen norte del Rio Virilla cerca de su confluencia con el Bermudez.",1994.0,1,1,1,,WGS84,2019,José Á. González R.|E. Zamora
35167,PRESERVED_SPECIMEN,Croton decalobus,3119228,GBIF,Matuda 1461,Manuel Vargas,,18.81,-96.72,Cuitlahuac,1937.0,1,1,1,,WGS84,2019,Eizi Matuda
38236,UNKNOWN,Croton decalobus,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.05,-92.033333,5 km SE of La Trinitaria,1972.0,1,1,1,,WGS84,2019,A. Alvarez Alvarez
47292,PRESERVED_SPECIMEN,Croton decalobus,1374196,GBIF,Fernández Zúñiga 1365,Manuel Vargas,,9.93,-84.16,"Valle del Tarcoles, subiendo por camino",1994.0,1,1,1,,WGS84,2019,Álvaro Fernández
47479,PRESERVED_SPECIMEN,Croton decalobus,1399183,GBIF,Webster 11811,Manuel Vargas,,14.50111,-90.71166,Ca. 4 miles W of Antigua. Disturbed oak-pine forest on limestone,1962.0,1,1,1,,WGS84,2019,Grady L. Webster|William P. Adams|Kim I. Miller|Lillian W. Miller
50277,PRESERVED_SPECIMEN,Croton decalobus,2043942,GBIF,Short 142,Manuel Vargas,,10.76,-85.28,Parque Nacioal Rincón de la Vieja. Track from Estación Biológica Santa Maria to Pailas,1996.0,1,1,1,,WGS84,2019,Marian J. Short|Peter J. Stafford
