,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2382,PRESERVED_SPECIMEN,Croton tenuicaudatus,177830,GBIF,,Manuel Vargas,,10.3,-84.6,"6 Km al sur de La Tigra, confluencias entre Q. Colorado y Río Esperanza.",1994.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2420,PRESERVED_SPECIMEN,Croton tenuicaudatus,210788,GBIF,,Manuel Vargas,,9.29,-83.77,Tinamaste.Finca de los suizos.,1997.0,1,1,1,,WGS84,2019,"Estrada, Armando"
2425,PRESERVED_SPECIMEN,Croton tenuicaudatus,213689,GBIF,,Manuel Vargas,,8.68,-83.21,"P.N. Esquinas. Bosque de los Austriacos, near Quebrada Gamba, near La Gamba.",1998.0,1,1,1,,WGS84,2019,"Huber, Werner"
2426,PRESERVED_SPECIMEN,Croton tenuicaudatus,213874,GBIF,,Manuel Vargas,,9.49,-84.01,Z.P. Cerro Nara Faldas de Cerro Nara.,,1,1,1,,WGS84,2019,"Estrada, Armando"
2433,PRESERVED_SPECIMEN,Croton tenuicaudatus,222489,GBIF,,Manuel Vargas,,9.43,-83.85,R. F. Los Santos Savegre Abajo. Cerro El Zoncho.,1999.0,1,1,1,,WGS84,2019,"Estrada, Armando"
2439,PRESERVED_SPECIMEN,Croton tenuicaudatus,232732,GBIF,,Manuel Vargas,,8.68,-83.21,"P.N. Piedras Blancas. Sendero a Río Bonito, near La Gamba.",2002.0,1,1,1,,WGS84,2019,"Arauz Suarez, Eduardo G."
5539,PRESERVED_SPECIMEN,Croton tenuicaudatus,1050514,GBIF,,Manuel Vargas,,8.680556,-82.61444399999999,At bridge 1 km east of Cuesta de Piedra. Also seen nearby east of there around Cordillera and in the valley east of there along paved road,2013.0,1,1,1,,WGS84,2019,G. Lee
6895,PRESERVED_SPECIMEN,Croton tenuicaudatus,,GBIF,190,Manuel Vargas,,8.5,-82.25,,1985.0,1,1,1,,WGS84,2019,R. J. Hampshire & C. Whitefoord
9317,PRESERVED_SPECIMEN,Croton tenuicaudatus,100574218,GBIF,Aguilar Fernández 11374,Manuel Vargas,,8.697778,-83.593055,"Distrito: Sierpe; Reserva Forestal Golfo Dulce; Rancho Quemado, camino a Drake, parte mas elevada del camino.",2008.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
9937,PRESERVED_SPECIMEN,Croton tenuicaudatus,0024657,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas/Golfito; P.N. Piedras Blancas, way from La Gamba to Golfito. 8°41'N - 83°13'W, 100 m.",2001.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
9941,PRESERVED_SPECIMEN,Croton tenuicaudatus,0028417,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas/Golfito; P.N. Piedras Blancas, Village of La Gamba, Sendero La Bolsa, 8°41' N - 83°13' W, alt. 70 m.",2002.0,1,1,1,,WGS84,2019,"Arauz S.,E.G."
12834,PRESERVED_SPECIMEN,Croton tenuicaudatus,1560605,GBIF,,Manuel Vargas,,8.673611,-83.188889,3 Km al norte del aeropuerto. Sendero natural.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
21807,PRESERVED_SPECIMEN,Croton tenuicaudatus,4112446,GBIF,,Manuel Vargas,,9.560556,-84.124167,"Tarrazú, San Carlos. Bajo La virgen. Finca Ríos Paraiso. Camino a cerros de Quepos.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Jose González ; Armando Estrada ; Alonso Quesada
21808,PRESERVED_SPECIMEN,Croton tenuicaudatus,4112447,GBIF,,Manuel Vargas,,9.560556,-84.124167,"Tarrazú, San Carlos. Bajo La virgen. Finca Ríos Paraiso. Camino a cerros de Quepos.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Jose González ; Armando Estrada ; Alonso Quesada
23699,PRESERVED_SPECIMEN,Croton tenuicaudatus,4372671,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
23706,PRESERVED_SPECIMEN,Croton tenuicaudatus,4372673,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
23708,PRESERVED_SPECIMEN,Croton tenuicaudatus,4372672,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; D. Solorzano
24285,PRESERVED_SPECIMEN,Croton tenuicaudatus,0020870,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas/Golfito; P.N. Piedras Blancas, way from La Gamba to La Bolsa. 8°41'N - 83°13'W, 50 m.",2000.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
24287,PRESERVED_SPECIMEN,Croton tenuicaudatus,0026353,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas/Golfito; P.N. Piedras Blancas, Sendero Fila (near the Tropenstation La Gamba). 8°41' N, 83°13' W, alt. 200 m.",2002.0,1,1,1,,WGS84,2019,"Arauz S.,E.G."
24289,PRESERVED_SPECIMEN,Croton tenuicaudatus,0027024,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas/Golfito; P.N. Piedras Blancas, P.N. Esquinas, Sendero a Río Bonito (near La Gamba)., 8°41' N, 83°13' W, alt. 100 m.",2002.0,1,1,1,,WGS84,2019,"Arauz S.,E.G."
24290,PRESERVED_SPECIMEN,Croton tenuicaudatus,0082509,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Parque Nacional Esquinas, Puntarenas - Golfito. Seccion ""Bosque de los Austriacos"", 8°41' N - 83°13' W, near the Quebrada Gamba, near La Gamba, 60 m.",1998.0,1,1,1,,WGS84,2019,"Huber,W. & Weissenhofer,A."
