,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8700,PRESERVED_SPECIMEN,Dichapetalum moralesii,100487934,GBIF,Rodríguez González 8902,Manuel Vargas,,10.452778,-84.65833,"San Carlos, Fortuna. R. B. Arenal Mundo Aventura.",2004.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
9432,PRESERVED_SPECIMEN,Dichapetalum moralesii,100657547,GBIF,Vargas Salazar 3356,Manuel Vargas,,10.161278,-83.938305,P.N. Braulio Carrillo.  Cuenca del Sarapiquí.  Quebrada Gonzales sector.  Las Palmas trail.,2008.0,1,1,1,,WGS84,2019,Luis Diego Vargas|D. Castillo|J. Noh
11262,PRESERVED_SPECIMEN,Dichapetalum moralesii,G-G-150634/15,GBIF,,Manuel Vargas,,10.70278,-85.04444000000001,Alajuela - Alajuela: Upala. P. N. Volcán Tenorio. Cuenca del Zapote. Estación Biológica Heliconia; colectado en bosque a orilla de Sendero Laguna Danta/Provincia de Alajuela,2001.0,1,1,1,,WGS84,2019,"Chaves, J.-L. & A. López"
12053,PRESERVED_SPECIMEN,Dichapetalum moralesii,1530610,GBIF,,Manuel Vargas,,10.164249,-83.940024,"Quebrada González, Braulio Carrillo",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Sandy Salas
12056,PRESERVED_SPECIMEN,Dichapetalum moralesii,1530611,GBIF,,Manuel Vargas,,10.164249,-83.940024,"Quebrada González, Braulio Carrillo",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Sandy Salas
12058,PRESERVED_SPECIMEN,Dichapetalum moralesii,1530612,GBIF,,Manuel Vargas,,10.164249,-83.940024,"Quebrada González, Braulio Carrillo",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Sandy Salas
12059,PRESERVED_SPECIMEN,Dichapetalum moralesii,1530613,GBIF,,Manuel Vargas,,10.164249,-83.940024,"Quebrada González, Braulio Carrillo",1997.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Sandy Salas
12395,PRESERVED_SPECIMEN,Dichapetalum moralesii,1513547,GBIF,,Manuel Vargas,,10.536944,-84.29083299999999,(Pital). Bosque remanente 1 km N de La Legua.,1996.0,1,1,1,,WGS84,2019,Barry Hammel
14422,PRESERVED_SPECIMEN,Dichapetalum moralesii,1578800,GBIF,,Manuel Vargas,,10.65,-84.18333299999999,Pital. Yucatan. Finca de Carlos Loria Murillo.,1994.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González
14613,PRESERVED_SPECIMEN,Dichapetalum moralesii,1583128,GBIF,,Manuel Vargas,,10.643889,-83.736111,Sardinas.,1993.0,1,1,1,,WGS84,2019,F. Araya
16032,PRESERVED_SPECIMEN,Dichapetalum moralesii,2838685,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Estacion Quebrada Gonzalez. Sendero La Garrapata.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Priscila Hurtado ; Sandy Salas
16033,PRESERVED_SPECIMEN,Dichapetalum moralesii,2838686,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Estacion Quebrada Gonzalez. Sendero La Garrapata.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Priscila Hurtado ; Sandy Salas
16035,PRESERVED_SPECIMEN,Dichapetalum moralesii,2838687,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Estacion Quebrada Gonzalez. Sendero La Garrapata.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Priscila Hurtado ; Sandy Salas
16036,PRESERVED_SPECIMEN,Dichapetalum moralesii,2838688,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,Estacion Quebrada Gonzalez. Sendero La Garrapata.,1998.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Priscila Hurtado ; Sandy Salas
17240,PRESERVED_SPECIMEN,Dichapetalum moralesii,3110652,GBIF,,Manuel Vargas,,10.155555999999999,-83.94166700000001,"Alrededores del Puesto Carrillo, Quebrada Gonzalez.",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez ; Esteban Uren~a ; Miriam Hernandez
