,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2498,PRESERVED_SPECIMEN,Dichapetalum morenoi,169757,GBIF,,Manuel Vargas,,9.77,-84.53,"P.N. Carara Puesto Carara, sendero a la unión de los ríos Sur y Carara, a 1 km del Puesto.",1993.0,1,1,1,,WGS84,2019,"Zamora, Nelson"
2499,PRESERVED_SPECIMEN,Dichapetalum morenoi,174951,GBIF,,Manuel Vargas,,10.92,-85.49,P.N. Guanacaste Estación Maritza.,1992.0,1,1,1,,WGS84,2019,"Espinoza, Roberto"
2506,PRESERVED_SPECIMEN,Dichapetalum morenoi,179485,GBIF,,Manuel Vargas,,9.76,-84.53,P.N. Carara Mature moist forest río Carara near Carara guard post.,1993.0,1,1,1,,WGS84,2019,"Gentry, Alwyn H."
2509,PRESERVED_SPECIMEN,Dichapetalum morenoi,214286,GBIF,,Manuel Vargas,,9.88,-85.39,Península de Nicota. Islita. Finca de Abel Rodríguez.,1994.0,1,1,1,,WGS84,2019,"Estrada, Armando"
2510,PRESERVED_SPECIMEN,Dichapetalum morenoi,220663,GBIF,,Manuel Vargas,,8.73,-83.45,R. F. Golfo Dulce Bahía Chal. La Parcela. Cuenca Térraba- Sierpe.,1996.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2512,PRESERVED_SPECIMEN,Dichapetalum morenoi,231662,GBIF,,Manuel Vargas,,10.96,-85.49,P. N. Guanacaste Cuenca del Sapoá. Sector Maritza. Colecta en bosque alrededor de la estación.,2000.0,1,1,1,,WGS84,2019,"Acosta, Luis"
5768,PRESERVED_SPECIMEN,Dichapetalum morenoi,902164,GBIF,Zamora Villalobos 2097,Manuel Vargas,,9.77777,-84.53333,"R.B. Carara; Valle del Tárcoles. Puesto Carara, sendero a la unión de los Ríos Sucio y Carara, a 1 Km del puesto.",1993.0,1,1,1,,WGS84,2019,Nelson Zamora|Curso II de Parataxónomos
8736,PRESERVED_SPECIMEN,Dichapetalum morenoi,100488939,GBIF,Hammel 24537,Manuel Vargas,,10.098889,-85.62722,Cerro Vista al Mar.,2008.0,1,1,1,,WGS84,2019,Barry E. Hammel|Isabel Pérez
8737,PRESERVED_SPECIMEN,Dichapetalum morenoi,100488942,GBIF,Hammel 24542,Manuel Vargas,,10.036111,-85.69221999999999,Camino entre Vista al Mar y Ostional.,2008.0,1,1,1,,WGS84,2019,Barry E. Hammel|Isabel Pérez
8880,PRESERVED_SPECIMEN,Dichapetalum morenoi,100492734,GBIF,González Arce 3130,Manuel Vargas,,10.132909,-85.53806999999999,Quiriman.,2004.0,1,1,1,,WGS84,2019,Luis A. González|A. Garita
11818,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526016,GBIF,,Manuel Vargas,,10.143333,-85.63,Fila Vista del Mar. Camino a las Torres de Telecomunicaciones.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
11820,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526013,GBIF,,Manuel Vargas,,10.143333,-85.63,Fila Vista del Mar. Camino a las Torres de Telecomunicaciones.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
11821,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526014,GBIF,,Manuel Vargas,,10.143333,-85.63,Fila Vista del Mar. Camino a las Torres de Telecomunicaciones.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
11822,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526015,GBIF,,Manuel Vargas,,10.143333,-85.63,Fila Vista del Mar. Camino a las Torres de Telecomunicaciones.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
11827,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526140,GBIF,,Manuel Vargas,,10.173055999999999,-85.593611,Siguiendo de la Quebrada Brasil hasta el Salto.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
11830,PRESERVED_SPECIMEN,Dichapetalum morenoi,1526141,GBIF,,Manuel Vargas,,10.173055999999999,-85.593611,Siguiendo de la Quebrada Brasil hasta el Salto.,1996.0,1,1,1,,WGS84,2019,Ulises Chavarría; Andrea Albertin ; Jose González
