,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
927,UNKNOWN,Diphysa humilis,998037,GBIF,,Manuel Vargas,,15.844722,-95.99305600000001,"Barra de la Cruz,  a 2.5 km WNW LR, cerro enfrente al N del Portillo, dominando la carretera costera",1999.0,1,1,1,,WGS84,2019,"Salas-Morales, Silvia Hortensia copn J. Castrejón R."
2521,PRESERVED_SPECIMEN,Diphysa humilis,214284,GBIF,,Manuel Vargas,,10.82,-85.64,P. N. Santa Rosa Camino a Playa Naranjo.,1996.0,1,1,1,,WGS84,2019,"Espinoza, Roberto"
2524,PRESERVED_SPECIMEN,Diphysa humilis,221929,GBIF,,Manuel Vargas,,9.77,-84.17,"Valle del Candelaria, Río Candelaria, en el cruce sobre el camino a la Mesa. Cuenca del Pirris-Damas.",1997.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2525,PRESERVED_SPECIMEN,Diphysa humilis,229716,GBIF,,Manuel Vargas,,9.77,-84.19,Margenes del Río Candelaria.,,1,1,1,,WGS84,2019,"Quesada, Alonso"
5553,PRESERVED_SPECIMEN,Diphysa humilis,,GBIF,,Manuel Vargas,,10.86,-85.57,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Camino a Rosa Maria",2009.0,1,1,1,,WGS84,2019,Roberto Espinoza
5578,PRESERVED_SPECIMEN,Diphysa humilis,,GBIF,,Manuel Vargas,,10.86,-85.57,"Costa Rica:Area de Conservacion Guanacaste, Sector Santa Rosa, Camino a Rosa Maria",2009.0,1,1,1,,WGS84,2019,Roberto Espinoza
8344,PRESERVED_SPECIMEN,Diphysa humilis,100336824,GBIF,Stevens 30294,Manuel Vargas,,13.267778,-86.354722,"N of Estelí on Panamerican Highway, Km 171, above Río Estelí; dry forest patch on steep slope between highway and river",2010.0,1,1,1,,WGS84,2019,W. D. Stevens|O.M. Montiel J.
8543,PRESERVED_SPECIMEN,Diphysa humilis,100438284,GBIF,Bustamante Bustamante 222,Manuel Vargas,,9.7875,-84.186111,"No protegida.  Cuenca del Pirrís-Damas.  El Resbalón, San Ignacio de Acosta.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
9287,PRESERVED_SPECIMEN,Diphysa humilis,100561213,GBIF,Haber 11905,Manuel Vargas,,10.266667,-84.85,No protegida. Cuencas del Lagarto y Guacimal. 10 km west of Santa Elena on road to Inter-American Hwy.,1995.0,1,1,1,,WGS84,2019,William A. Haber
9299,PRESERVED_SPECIMEN,Diphysa humilis,100564161,GBIF,Stevens 33981,Manuel Vargas,,12.189722,-85.374444,"Hacienda Veracruz, just upriver from ford of Río Pirre, SW of Cerro La Batea; steep banks between river and potreros, gallery forest and potreros with scattered rhyolitic outcrops",2013.0,1,1,1,,WGS84,2019,W. D. Stevens
9990,PRESERVED_SPECIMEN,Diphysa humilis,MS-00292,GBIF,,Manuel Vargas,,13.816670000000002,-89.93333,"Depto. Ahuachapán, San Francisco Menéndez, P.N. El Imposible, en El Quebrachito.",1996.0,1,1,1,,WGS84,2019,"Sandoval,M. & Sandoval,E."
9991,PRESERVED_SPECIMEN,Diphysa humilis,RAC01094,GBIF,,Manuel Vargas,,13.916670000000002,-88.08333,"Depto. Morazán, A.P.Río Sapo; cuenca Río Talchiga.",2004.0,1,1,1,,WGS84,2019,"Carballo,R.A., Chicas,M. & Amaya,S."
9992,PRESERVED_SPECIMEN,Diphysa humilis,ES-00147,GBIF,,Manuel Vargas,,13.816670000000002,-89.93333,"Depto. Ahuachapán, P.N. El Imposible, Hda. San Benito, al N del Corral viejo.",1991.0,1,1,1,,WGS84,2019,"Sandoval,E. & Chinchilla,F."
9993,PRESERVED_SPECIMEN,Diphysa humilis,RAC01028,GBIF,,Manuel Vargas,,13.916670000000002,-88.1,"Depto. Morazán, A.P.Río Sapo, Cuenca de Quebrada seca.",2004.0,1,1,1,,WGS84,2019,"Carballo,R.A., Borja,A., Gómez,S. & Chicas,M."
9994,PRESERVED_SPECIMEN,Diphysa humilis,AM-02813,GBIF,,Manuel Vargas,,13.935,-88.10722,"Depto. Morazán, Río Sapo.",1999.0,1,1,1,,WGS84,2019,"Monro,A.K., Sidwell,K., Villacorta,R. & Renderos,M."
9995,PRESERVED_SPECIMEN,Diphysa humilis,RV-02763,GBIF,,Manuel Vargas,,13.85,-88.1,"Depto. Morazán, Río Sapo.",1999.0,1,1,1,,WGS84,2019,"Villacorta,R., Monro,A., Sidwell,K. & Renderos,M."
9996,PRESERVED_SPECIMEN,Diphysa humilis,JBL01108,GBIF,,Manuel Vargas,,13.816670000000002,-89.93333,"Depto. Ahuachapán, P.N. El Imposible, Pata de gallina.",1990.0,1,1,1,,WGS84,2019,"Sermeño,A."
10304,PRESERVED_SPECIMEN,Diphysa humilis,V0076293F,GBIF,4665,Manuel Vargas,,10.0114,-83.9519,,1847.0,1,1,1,,WGS84,2019,A. S. Oersted
11606,PRESERVED_SPECIMEN,Diphysa humilis,1518423,GBIF,,Manuel Vargas,,9.775556,-84.1725,"Cuenca del Rio Grande de Candelaria. Bosques remanentes en el Rio La Meza, por la Meza, cerca del puente.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11611,PRESERVED_SPECIMEN,Diphysa humilis,1518425,GBIF,,Manuel Vargas,,9.775556,-84.1725,"Cuenca del Rio Grande de Candelaria. Bosques remanentes en el Rio La Meza, por la Meza, cerca del puente.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11612,PRESERVED_SPECIMEN,Diphysa humilis,1518424,GBIF,,Manuel Vargas,,9.775556,-84.1725,"Cuenca del Rio Grande de Candelaria. Bosques remanentes en el Rio La Meza, por la Meza, cerca del puente.",1997.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11810,PRESERVED_SPECIMEN,Diphysa humilis,1525920,GBIF,,Manuel Vargas,,10.333333,-85.352778,"Estacion Palo Verde, bosque secundario. Sendero Guacayancito y orilla de Laguna Palo Verde.",1996.0,1,1,1,,WGS84,2019,Ulises Chavarría
11811,PRESERVED_SPECIMEN,Diphysa humilis,1525923,GBIF,,Manuel Vargas,,10.333333,-85.352778,"Estacion Palo Verde, bosque secundario. Sendero Guacayancito y orilla de Laguna Palo Verde.",1996.0,1,1,1,,WGS84,2019,Ulises Chavarría
11816,PRESERVED_SPECIMEN,Diphysa humilis,1525921,GBIF,,Manuel Vargas,,10.333333,-85.352778,"Estacion Palo Verde, bosque secundario. Sendero Guacayancito y orilla de Laguna Palo Verde.",1996.0,1,1,1,,WGS84,2019,Ulises Chavarría
12310,PRESERVED_SPECIMEN,Diphysa humilis,1512042,GBIF,,Manuel Vargas,,10.825,-85.641667,Camino a Playa Naranjo.,1996.0,1,1,1,,WGS84,2019,Roberto Espinoza
12877,PRESERVED_SPECIMEN,Diphysa humilis,1561031,GBIF,,Manuel Vargas,,10.266667,-84.833334,"10 km W Monteverde, road to Interamerican Highway below Santa Elena.",1990.0,1,1,1,,WGS84,2019,William Haber
14310,PRESERVED_SPECIMEN,Diphysa humilis,1604524,GBIF,,Manuel Vargas,,10.902778,-85.730556,Murcielago. A la toma de agua.,1995.0,1,1,1,,WGS84,2019,Roberto Espinoza
15377,PRESERVED_SPECIMEN,Diphysa humilis,2850126,GBIF,,Manuel Vargas,,10.513889,-85.247222,Puente Quemado.,1997.0,1,1,1,,WGS84,2019,Gordon Frankie; Peter S. Ronchi
15687,PRESERVED_SPECIMEN,Diphysa humilis,2830457,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
15688,PRESERVED_SPECIMEN,Diphysa humilis,2830458,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
15689,PRESERVED_SPECIMEN,Diphysa humilis,2830459,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós; Barry Hammel
16065,PRESERVED_SPECIMEN,Diphysa humilis,2842685,GBIF,,Manuel Vargas,,10.35,-85.35,"Sector Refugio Palo Verde, camino principal.",1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Quirico Jiménez ; Ulises Chavarría
16066,PRESERVED_SPECIMEN,Diphysa humilis,2842684,GBIF,,Manuel Vargas,,10.35,-85.35,"Sector Refugio Palo Verde, camino principal.",1999.0,1,1,1,,WGS84,2019,Luis Diego Vargas; Quirico Jiménez ; Ulises Chavarría
16942,PRESERVED_SPECIMEN,Diphysa humilis,3093634,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16943,PRESERVED_SPECIMEN,Diphysa humilis,3093629,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16944,PRESERVED_SPECIMEN,Diphysa humilis,3093637,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16946,PRESERVED_SPECIMEN,Diphysa humilis,3093631,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16948,PRESERVED_SPECIMEN,Diphysa humilis,3093638,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16949,PRESERVED_SPECIMEN,Diphysa humilis,3093635,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16950,PRESERVED_SPECIMEN,Diphysa humilis,3093630,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16951,PRESERVED_SPECIMEN,Diphysa humilis,3093639,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16952,PRESERVED_SPECIMEN,Diphysa humilis,3093633,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16953,PRESERVED_SPECIMEN,Diphysa humilis,3093632,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
16954,PRESERVED_SPECIMEN,Diphysa humilis,3093636,GBIF,,Manuel Vargas,,10.266667,-84.85,Monteverde. Road from Santa Elena to Inter American Hyway.,1995.0,1,1,1,,WGS84,2019,William Haber
18390,PRESERVED_SPECIMEN,Diphysa humilis,3513526,GBIF,,Manuel Vargas,,9.788889,-84.19166700000001,"Acosta, Bajo Arias, Pena Negra, Penascos rocosos.",1999.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
18563,PRESERVED_SPECIMEN,Diphysa humilis,3529730,GBIF,,Manuel Vargas,,10.345833,-85.344444,Sector Palo Verde.,2002.0,1,1,1,,WGS84,2019,Ulises Chavarría; Norma Gutiérrez
18564,PRESERVED_SPECIMEN,Diphysa humilis,3529732,GBIF,,Manuel Vargas,,10.345833,-85.344444,Sector Palo Verde.,2002.0,1,1,1,,WGS84,2019,Ulises Chavarría; Norma Gutiérrez
18565,PRESERVED_SPECIMEN,Diphysa humilis,3529729,GBIF,,Manuel Vargas,,10.345833,-85.344444,Sector Palo Verde.,2002.0,1,1,1,,WGS84,2019,Ulises Chavarría; Norma Gutiérrez
18566,PRESERVED_SPECIMEN,Diphysa humilis,3529731,GBIF,,Manuel Vargas,,10.345833,-85.344444,Sector Palo Verde.,2002.0,1,1,1,,WGS84,2019,Ulises Chavarría; Norma Gutiérrez
18761,PRESERVED_SPECIMEN,Diphysa humilis,3746318,GBIF,,Manuel Vargas,,10.9,-85.783333,North slope of Cerros Santa Elena along divide between Quebrada Cachimbo and Quebrada Grande.,2003.0,1,1,1,,WGS84,2019,Michael H. Grayum; Roberto Espinoza ; Nelson A. Zamora Villalobos
18828,PRESERVED_SPECIMEN,Diphysa humilis,3754378,GBIF,,Manuel Vargas,,10.833333,-85.68333299999999,1.5 Km.  Hacia el Oeste del rancho de Tierra Blanca.,2003.0,1,1,1,,WGS84,2019,Jose González
18829,PRESERVED_SPECIMEN,Diphysa humilis,3754380,GBIF,,Manuel Vargas,,10.833333,-85.68333299999999,1.5 Km.  Hacia el Oeste del rancho de Tierra Blanca.,2003.0,1,1,1,,WGS84,2019,Jose González
18830,PRESERVED_SPECIMEN,Diphysa humilis,3754377,GBIF,,Manuel Vargas,,10.833333,-85.68333299999999,1.5 Km.  Hacia el Oeste del rancho de Tierra Blanca.,2003.0,1,1,1,,WGS84,2019,Jose González
18831,PRESERVED_SPECIMEN,Diphysa humilis,3754379,GBIF,,Manuel Vargas,,10.833333,-85.68333299999999,1.5 Km.  Hacia el Oeste del rancho de Tierra Blanca.,2003.0,1,1,1,,WGS84,2019,Jose González
18977,PRESERVED_SPECIMEN,Diphysa humilis,3833864,GBIF,,Manuel Vargas,,10.365278,-85.330556,Tajo Jocote.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Gerardo Soto
19017,PRESERVED_SPECIMEN,Diphysa humilis,3861095,GBIF,,Manuel Vargas,,10.55,-85.30555600000001,Finca Monteverde.,1996.0,1,1,1,,WGS84,2019,Peter S. Ronchi; Gordon Frankie
19103,PRESERVED_SPECIMEN,Diphysa humilis,3884769,GBIF,,Manuel Vargas,,9.7875,-84.186111,"1 Km al W de Resbalón, carretera al río.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
19104,PRESERVED_SPECIMEN,Diphysa humilis,3884767,GBIF,,Manuel Vargas,,9.7875,-84.186111,"1 Km al W de Resbalón, carretera al río.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
19105,PRESERVED_SPECIMEN,Diphysa humilis,3884768,GBIF,,Manuel Vargas,,9.7875,-84.186111,"1 Km al W de Resbalón, carretera al río.",2001.0,1,1,1,,WGS84,2019,Julio Bustamante
19141,PRESERVED_SPECIMEN,Diphysa humilis,3890470,GBIF,,Manuel Vargas,,10.891667,-85.866667,"Western part of Cerros Santa Elena, along main ridge just W of second-highest peak (at head of Quebrada Los Chanchos).",2003.0,1,1,1,,WGS84,2019,Michael H. Grayum; Roberto Espinoza
