,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2532,PRESERVED_SPECIMEN,Eschweilera collinsii,129930,GBIF,,Manuel Vargas,,10.81,-84.95,"El Pilón, Cabeceras del Río Celeste.",1988.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2533,PRESERVED_SPECIMEN,Eschweilera collinsii,131946,GBIF,,Manuel Vargas,,10.41,-83.56,"Parque Tortuguero. Estación Agua Fría, 3 km al Sur de la casa-estación, siguiendo el Sendero Real. Arbol dominante: Hura crepitans y Pentaclethra.",1987.0,1,1,1,,WGS84,2019,"Robles, Rafael"
2535,PRESERVED_SPECIMEN,Eschweilera collinsii,137176,GBIF,,Manuel Vargas,,10.58,-83.53,Cerro Tortuguero. Junto a la Barra de Tortuguero. Suelos bien drenados y pendientes medianamente pronunciadas.,1988.0,1,1,1,,WGS84,2019,"Robles, Rafael"
2536,PRESERVED_SPECIMEN,Eschweilera collinsii,137635,GBIF,,Manuel Vargas,,9.76,-84.61,P.N. Carara Puesto Quebrada Bonita.,1989.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2542,PRESERVED_SPECIMEN,Eschweilera collinsii,161642,GBIF,,Manuel Vargas,,10.4,-84.08,Bijagual. 10 km Este de La Virgen.,,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2543,PRESERVED_SPECIMEN,Eschweilera collinsii,166409,GBIF,,Manuel Vargas,,8.71,-83.52,"Rincón, El Campo, Aguabuena, cuenca superior de Quebrada Aguabuena.",1990.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2544,PRESERVED_SPECIMEN,Eschweilera collinsii,172571,GBIF,,Manuel Vargas,,9.76,-84.6,P.N. Carara Sector Quebrada Bonita. Sitio Quebrada Bonita.,1991.0,1,1,1,,WGS84,2019,"Zúñiga, Rodolfo"
2545,PRESERVED_SPECIMEN,Eschweilera collinsii,173538,GBIF,,Manuel Vargas,,9.78,-84.54,P.N. Carara Sector Río Carara. Sitio Boca de toma.,1991.0,1,1,1,,WGS84,2019,"Zúñiga, Rodolfo"
2546,PRESERVED_SPECIMEN,Eschweilera collinsii,173720,GBIF,,Manuel Vargas,,8.46,-83.58,R. F. Golfo Dulce Cabeceras de Quebrada Vaquedano.,,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2547,PRESERVED_SPECIMEN,Eschweilera collinsii,175729,GBIF,,Manuel Vargas,,9.78,-84.54,P.N. Carara Sector Río Carara. Sitio Boca de toma.,1991.0,1,1,1,,WGS84,2019,"Zúñiga, Rodolfo"
2550,PRESERVED_SPECIMEN,Eschweilera collinsii,177229,GBIF,,Manuel Vargas,,8.7,-83.51,"Aguabuena, 3.5 km W of Rincón. Along trail leading form the house of don Quencho, W of BOSCOSA station. Tall, undisturbed forest in elevated, well-drained terrain.",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
2555,PRESERVED_SPECIMEN,Eschweilera collinsii,178970,GBIF,,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 km W of Rincón. One-hectare permanent sample plot 800 m N of the house of Henry Monge in well-drained, moderately sloping terrain. Tall forest along timber road, leaf after selective logging March 1992. Characteristic species:  Iriartea, Sy",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
