,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2606,PRESERVED_SPECIMEN,Garrya laurifolia,40184,GBIF,,Manuel Vargas,,9.55,-83.75,R.F. Los Santos Borde de bosque entre La Georgina y El Cerro .,1964.0,1,1,1,,WGS84,2019,"Jiménez, Alfonso"
2607,PRESERVED_SPECIMEN,Garrya laurifolia,48164,GBIF,,Manuel Vargas,,9.45,-83.51,"P.N. Chirripó Open paramo formations with stands of Chusquea bamboo, 1-2.5 m tall and areas of short burned forest and original forest 5-15 m tall in protected sites.Trail to the Valle de Los Leones and in the lower part of Valle de Los Conejos along the",,1,1,1,,WGS84,2019,"Burger, William"
2608,PRESERVED_SPECIMEN,Garrya laurifolia,49537,GBIF,,Manuel Vargas,,9.57,-83.75,R.F. Los Santos Cerro de la Muerte.,1972.0,1,1,1,,WGS84,2019,"Mc Caffrey, D."
2609,PRESERVED_SPECIMEN,Garrya laurifolia,59739,GBIF,,Manuel Vargas,,9.63,-83.84,"El Empalme, 24 km al Sur .",1975.0,1,1,1,,WGS84,2019,"Ocampo, Rafael A."
2610,PRESERVED_SPECIMEN,Garrya laurifolia,73007,GBIF,,Manuel Vargas,,9.56,-83.7,R.F. Los Santos About 2km northwest of Villa Mills off the Interamerican Hwy.,1978.0,1,1,1,,WGS84,2019,"Almeda, Frank"
2611,PRESERVED_SPECIMEN,Garrya laurifolia,109287,GBIF,,Manuel Vargas,,9.58,-83.76,"Cerro de la Muerte region, Cord.Talamanca.Along roadside Interamerican Hwy, between Cerro Zacatales and Cerro Asunción",,1,1,1,,WGS84,2019,"Horn, Sally P."
2612,PRESERVED_SPECIMEN,Garrya laurifolia,160681,GBIF,,Manuel Vargas,,9.55,-83.75,R.F. Los Santos Cerro Buena Vista. Páramo y bosque secundario.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
2613,PRESERVED_SPECIMEN,Garrya laurifolia,167625,GBIF,,Manuel Vargas,,9.96,-83.69,"M.N. Guayabo Sobre Los Ríos Guayabo, Lajas y Torito",1992.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
2614,PRESERVED_SPECIMEN,Garrya laurifolia,178660,GBIF,,Manuel Vargas,,9.62,-83.85,R.B. Cerro Las Vueltas,1994.0,1,1,1,,WGS84,2019,"Vargas, Gustavo"
2615,PRESERVED_SPECIMEN,Garrya laurifolia,193380,GBIF,,Manuel Vargas,,9.56,-83.75,"R.F. Los Santos Northern slopes of Cerro Buenavista, to S of Interamerican Hwy, crossing Cerro de  la Muerte. Disturbed paramo vegetation.",1994.0,1,1,1,,WGS84,2019,"Alverson, William S."
