,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
600,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal409,GBIF,,Manuel Vargas,,10.988,-85.42299999999999,"Parque Nacional Guanacaste. Estacion Biologica Pitiya, Sendero Laguna",2008.0,1,1,1,,WGS84,2019,J.  Roncal
601,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal412,GBIF,,Manuel Vargas,,10.988,-85.42200000000001,"Parque Nacional Guanacaste. Estacion Biologica Pitiya, Sendero Laguna.",2008.0,1,1,1,,WGS84,2019,J.  Roncal
602,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal426,GBIF,,Manuel Vargas,,10.984000000000002,-85.426,"Parque Nacional Guanacaste. Estacion Biologica Pitiya, Sendero Nacho",2008.0,1,1,1,,WGS84,2019,J.  Roncal
603,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal427,GBIF,,Manuel Vargas,,10.984000000000002,-85.426,"Parque Nacional Guanacaste. Estacion Biologica Pitiya, Sendero Nacho",2008.0,1,1,1,,WGS84,2019,J.  Roncal
612,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal454,GBIF,,Manuel Vargas,,10.429,-84.00399999999999,"Estacion Biologica La Selva, Sendero Oriental",2008.0,1,1,1,,WGS84,2019,J.  Roncal
613,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal465,GBIF,,Manuel Vargas,,10.427999999999999,-84.005,"Estacion Biologica La Selva, Camino Circular Cercano",2008.0,1,1,1,,WGS84,2019,J.  Roncal
614,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal466,GBIF,,Manuel Vargas,,10.427999999999999,-84.005,"Estacion Biologica La Selva, Camino Circular Cercano",2008.0,1,1,1,,WGS84,2019,J.  Roncal
615,PRESERVED_SPECIMEN,Geonoma longivaginata,J.Roncal467,GBIF,,Manuel Vargas,,10.427,-84.007,"Estacion Biologica La Selva, Camino Circular Cercano",2008.0,1,1,1,,WGS84,2019,J.  Roncal
5783,PRESERVED_SPECIMEN,Geonoma longivaginata,902468,GBIF,Henderson 1808,Manuel Vargas,,8.77,-83.37,"R.F. Golfo Dulce; Península de Osa. 19 km W of Chacarita, road between Chacarita and Rincón, only growing on ridges and slope near ridge.",1992.0,1,1,1,,WGS84,2019,Andrew J. Henderson|Gloria A. Galeano|Barry E. Hammel
8286,PRESERVED_SPECIMEN,Geonoma longivaginata,100292638,GBIF,Hammel 21918,Manuel Vargas,,9.575,-82.666667,No protegida. Cuenca del Sixaola. San Miguel: ASACODE.,1999.0,1,1,1,,WGS84,2019,Barry E. Hammel
8799,PRESERVED_SPECIMEN,Geonoma longivaginata,100490197,GBIF,Hammel 21918,Manuel Vargas,,9.575,-82.66667,San Miguel: ASACODE.,1999.0,1,1,1,,WGS84,2019,Barry E. Hammel
11055,PRESERVED_SPECIMEN,Geonoma longivaginata,02388387,GBIF,10649,Manuel Vargas,,9.33,-79.75,"Santa Rita Ridge, 10 km from Transistmica,",1995.0,1,1,1,,WGS84,2019,G. C. de Nevers
11559,PRESERVED_SPECIMEN,Geonoma longivaginata,1517767,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
11560,PRESERVED_SPECIMEN,Geonoma longivaginata,1517765,GBIF,,Manuel Vargas,,10.569444,-84.04722199999999,Lomas Sardinal; bosque intervenido y primario; ca. 15 km linea recta N de Puerto Viejo.,1997.0,1,1,1,,WGS84,2019,Barry Hammel
