,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8695,PRESERVED_SPECIMEN,Guarea aguilarii,100487884,GBIF,Rodríguez González 8016,Manuel Vargas,,8.770556,-83.50667,Camino a Bajo San Juan. Bosque aleda?os al camino.,2003.0,1,1,1,,WGS84,2019,Alexánder Rodríguez
8950,PRESERVED_SPECIMEN,Guarea aguilarii,100499705,GBIF,Rodríguez González 8016,Manuel Vargas,,8.770556,-83.50667,R.F. Golfo Dulce. Cuenca Térraba-Sierpe. Camino a Bajo San Juan. Bosque aledaños al camino.,2003.0,1,1,1,,WGS84,2019,Alexánder Rodríguez|H. H. C. Raaijmakers
11854,PRESERVED_SPECIMEN,Guarea aguilarii,1526596,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11856,PRESERVED_SPECIMEN,Guarea aguilarii,1526595,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11883,PRESERVED_SPECIMEN,Guarea aguilarii,1526799,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
11884,PRESERVED_SPECIMEN,Guarea aguilarii,1526798,GBIF,,Manuel Vargas,,8.73059,-83.45491899999999,"Bahia Chal, entrada Chocuaco",1996.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
13490,PRESERVED_SPECIMEN,Guarea aguilarii,1578428,GBIF,,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemado, near Rincon.",1993.0,1,1,1,,WGS84,2019,Alwyn Howard Gentry
14009,PRESERVED_SPECIMEN,Guarea aguilarii,1597688,GBIF,,Manuel Vargas,,8.6,-83.733333,Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,C. Kernan
14013,PRESERVED_SPECIMEN,Guarea aguilarii,1597693,GBIF,,Manuel Vargas,,8.575,-83.575,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marin
14023,PRESERVED_SPECIMEN,Guarea aguilarii,1597734,GBIF,,Manuel Vargas,,8.675,-83.522222,Quebrada Banegas. Aguabuena.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
22646,PRESERVED_SPECIMEN,Guarea aguilarii,4176102,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
22647,PRESERVED_SPECIMEN,Guarea aguilarii,4176101,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
22648,PRESERVED_SPECIMEN,Guarea aguilarii,4176104,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
22649,PRESERVED_SPECIMEN,Guarea aguilarii,4176103,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
22653,PRESERVED_SPECIMEN,Guarea aguilarii,4176105,GBIF,,Manuel Vargas,,8.770556,-83.50666700000001,"Rincón, entrada a Bajo San Juan.",2003.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; H.H.C. Raaijmakers
46184,PRESERVED_SPECIMEN,Guarea aguilarii,126016,GBIF,Aguilar Fernández 476,Manuel Vargas,,8.67,-83.52,Reserva Forestal Golfo Dulce Rincón de Osa. Quebrada Banegas.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46233,PRESERVED_SPECIMEN,Guarea aguilarii,126197,GBIF,Gentry 78671,Manuel Vargas,,8.7,-83.55,"Fila before Rancho Quemada, near Rincon, Osa Peninsula. Transect 2.",1993.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Rosa Ortiz|Irene Shonle|Jason C. Bradford|P. Anderson
46575,PRESERVED_SPECIMEN,Guarea aguilarii,129418,GBIF,Kernan 1020,Manuel Vargas,,8.6,-83.73,Parque Nacional Corcovado Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,Christopher Kernan|Pamela Phillips
46632,PRESERVED_SPECIMEN,Guarea aguilarii,129812,GBIF,Marín Alpízar 217,Manuel Vargas,,8.57,-83.57,Fila Estero Guerra. Sierpe.,1991.0,1,1,1,,WGS84,2019,Juan Marín
