,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2735,PRESERVED_SPECIMEN,Guarea rhopalocarpa,63782,GBIF,,Manuel Vargas,,10.7,-85.11,Evergreen cloud forest with trees about  20 m tall and a distinct understory of dense shrubs 1-2 m tall on the eastern slopes of Volcán Miravalles (Cerro La Giganta) at about 800 m elevation above the town of río Naranjo near the continental divide.,1973.0,1,1,1,,WGS84,2019,"Burger, William"
2736,PRESERVED_SPECIMEN,Guarea rhopalocarpa,63792,GBIF,,Manuel Vargas,,10.75,-85.05,Remnant evergreen forest and secondary growth in the tropical premontane wet forest transition zone about 3 km NNE of Bijagua along the new road to Upala.,,1,1,1,,WGS84,2019,"Burger, William"
2737,PRESERVED_SPECIMEN,Guarea rhopalocarpa,63822,GBIF,,Manuel Vargas,,8.83,-82.91,Forest remnant on slopes northeast of Sabalito along road to La Unión.,1967.0,1,1,1,,WGS84,2019,"Burger, William"
2738,PRESERVED_SPECIMEN,Guarea rhopalocarpa,63846,GBIF,,Manuel Vargas,,10.41,-83.98,"Original wet forest and Cocoa plantation on the property of Dr. L. Holdridge, about  2 km  upstream on the río Puerto Viejo.",1967.0,1,1,1,,WGS84,2019,"Burger, William"
2739,PRESERVED_SPECIMEN,Guarea rhopalocarpa,69439,GBIF,,Manuel Vargas,,9.28,-85.43,Upper drainage of the río Peñas Blancas below the Monteverde Cloud Forest reserve. Premontane rain forest formations with original forest and some pastures on hilly ground.,1977.0,1,1,1,,WGS84,2019,"Burger, William"
2740,PRESERVED_SPECIMEN,Guarea rhopalocarpa,83265,GBIF,,Manuel Vargas,,10.33,-83.94,Bosque contiguo a Quinta  mis Sueños,2003.0,1,1,1,,WGS84,2019,"Chacón, Rafael"
2741,PRESERVED_SPECIMEN,Guarea rhopalocarpa,89822,GBIF,,Manuel Vargas,,10.4,-84.0,E.B. La Selva Tropical Wet Forest.,1981.0,1,1,1,,WGS84,2019,David A. Neill
2742,PRESERVED_SPECIMEN,Guarea rhopalocarpa,119254,GBIF,,Manuel Vargas,,10.28,-84.03,"Mostly primary forest betwen Quebrada  Tigre and east fork of río Sardinal, ca 9 km SW  of Las Horquetas. Route crossing several branches of río Sardinal.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael"
2743,PRESERVED_SPECIMEN,Guarea rhopalocarpa,120765,GBIF,,Manuel Vargas,,10.68,-83.63,"Cerro Coronel, E of Laguna Danto. Tall evergreen forest on gentle to moderately steep slopes.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
2744,PRESERVED_SPECIMEN,Guarea rhopalocarpa,120825,GBIF,,Manuel Vargas,,10.66,-83.66,"Cerro Coronel, E of río Zapote, along and above near road. Disturbed roadside and tall evergreen forest on gentle slopes.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
2745,PRESERVED_SPECIMEN,Guarea rhopalocarpa,125677,GBIF,,Manuel Vargas,,10.21,-84.61,R.B. Alberto Manuel Brenes,1987.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
2747,PRESERVED_SPECIMEN,Guarea rhopalocarpa,129059,GBIF,,Manuel Vargas,,10.33,-84.83,"Three km N Santa Elena, Atlantic exposure near continental divide on Bello Farm, lower montane wet forest.",,1,1,1,,WGS84,2019,"Haber, William"
2748,PRESERVED_SPECIMEN,Guarea rhopalocarpa,129826,GBIF,,Manuel Vargas,,10.4,-83.55,P.N. Tortuguero Lomas de Sierpe. Bosque primario con pendientes pronunciadas.,1988.0,1,1,1,,WGS84,2019,"Robles, Rafael"
