,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2761,PRESERVED_SPECIMEN,Guarea zarceroensis,138057,GBIF,,Manuel Vargas,,10.0,-83.46,"P.N. Barbilla W side of plateau separating headwaters of north fork of río Dantas from headwaters of Quebrada Barreal, Río Barbilla drainage (SE of Siquirres).",1987.0,1,1,1,,WGS84,2019,"Grayum, Michael"
2764,PRESERVED_SPECIMEN,Guarea zarceroensis,138232,GBIF,,Manuel Vargas,,10.91,-85.33,"5 km al sur de Brasilia, margen derecha del río Pizote hasta la casa de Minga.",1987.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2771,PRESERVED_SPECIMEN,Guarea zarceroensis,164084,GBIF,,Manuel Vargas,,10.69,-85.04,El Retiro. Estribaciones del Cerro Montezuma.,1993.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
13489,PRESERVED_SPECIMEN,Guarea zarceroensis,1578388,GBIF,,Manuel Vargas,,10.8,-85.31666700000001,Hacienda Santa Maria. Sendero que va desde el Mirador hasta los 1300 m en la falda del Volcan Santa Maria.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
14021,PRESERVED_SPECIMEN,Guarea zarceroensis,1597725,GBIF,,Manuel Vargas,,10.983333,-85.45,"Trail above Estacion Pitilla, on east slope of Volcan Orosi in transition zone between wet and premontane forest.",1989.0,1,1,1,,WGS84,2019,Roy E. Gereau
17953,PRESERVED_SPECIMEN,Guarea zarceroensis,3428110,GBIF,,Manuel Vargas,,10.011111,-83.383333,Colonia Puriscaleña.,2000.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Edgar Mora ; Geovanny Sancho ; Gerardo Soto
23993,PRESERVED_SPECIMEN,Guarea zarceroensis,4440451,GBIF,,Manuel Vargas,,10.943333,-85.31788900000001,"Alajuela. Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste y Rincon Rain forest. Estación Leiva, Sendero Jacobo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
23994,PRESERVED_SPECIMEN,Guarea zarceroensis,4440450,GBIF,,Manuel Vargas,,10.943333,-85.31788900000001,"Alajuela. Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste y Rincon Rain forest. Estación Leiva, Sendero Jacobo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
23997,PRESERVED_SPECIMEN,Guarea zarceroensis,4440449,GBIF,,Manuel Vargas,,10.943333,-85.31788900000001,"Alajuela. Upala, Dos Ríos, La Jabalina. Área de Conservación Guanacaste y Rincon Rain forest. Estación Leiva, Sendero Jacobo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; Jorge Hernández ; Alejandro Azofeifa Zúñiga ; Carlos Viquez
24001,PRESERVED_SPECIMEN,Guarea zarceroensis,4440566,GBIF,,Manuel Vargas,,10.849528,-85.327278,"P. N. Rincón de la Vieja, sendero al crater del  Rincón de la Vieja, entrando por el albergue Sensoria.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; O. Espinoza
24004,PRESERVED_SPECIMEN,Guarea zarceroensis,4440564,GBIF,,Manuel Vargas,,10.849528,-85.327278,"P. N. Rincón de la Vieja, sendero al crater del  Rincón de la Vieja, entrando por el albergue Sensoria.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; O. Espinoza
24008,PRESERVED_SPECIMEN,Guarea zarceroensis,4440565,GBIF,,Manuel Vargas,,10.849528,-85.327278,"P. N. Rincón de la Vieja, sendero al crater del  Rincón de la Vieja, entrando por el albergue Sensoria.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Roberto Espinoza ; Enia Navarro ; O. Espinoza
