,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2822,PRESERVED_SPECIMEN,Hampea appendiculata,39706,GBIF,,Manuel Vargas,,8.88,-82.9,Near la Alturas  lumber camp.,1967.0,1,1,1,,WGS84,2019,"Burger, William"
2823,PRESERVED_SPECIMEN,Hampea appendiculata,54625,GBIF,,Manuel Vargas,,8.93,-82.85,Las Alturas along road .,1972.0,1,1,1,,WGS84,2019,"Lent, Roy W."
2824,PRESERVED_SPECIMEN,Hampea appendiculata,62230,GBIF,,Manuel Vargas,,10.75,-85.05,3 km NNE of Bijagua along the new road to Upala.,1975.0,1,1,1,,WGS84,2019,"Burger, William"
2825,PRESERVED_SPECIMEN,Hampea appendiculata,65030,GBIF,,Manuel Vargas,,10.28,-84.59,R.B. Alberto Manuel Brenes Límite NE 2 km por aire de Las Rocas.,,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
2826,PRESERVED_SPECIMEN,Hampea appendiculata,71444,GBIF,,Manuel Vargas,,10.43,-84.01,"R.B. La Selva Overhanging the east trail, south of line 1000.",1974.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
2827,PRESERVED_SPECIMEN,Hampea appendiculata,80961,GBIF,,Manuel Vargas,,9.28,-85.43,R.B. Monteverde Upper drainage of the río Peñas Blancas below the Monteverde Cloud forest .,1977.0,1,1,1,,WGS84,2019,"Burger, William"
2828,PRESERVED_SPECIMEN,Hampea appendiculata,91670,GBIF,,Manuel Vargas,,8.95,-82.78,Z.P. Las Tablas Near the upper río Cotón.,1982.0,1,1,1,,WGS84,2019,"Todzia, Carol A."
2831,PRESERVED_SPECIMEN,Hampea appendiculata,91904,GBIF,,Manuel Vargas,,10.43,-84.01,"R.B. La Selva Overhanging the east trail, south of line 1000.",1974.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
2834,PRESERVED_SPECIMEN,Hampea appendiculata,99230,GBIF,,Manuel Vargas,,10.15,-84.48,"10 km NNW of San Ramón by riçoad on way to San Lorenzo, 2.5 S of Balsa, Remnant of primary forest.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
2836,PRESERVED_SPECIMEN,Hampea appendiculata,99313,GBIF,,Manuel Vargas,,8.94,-82.8,Forest along trail between Las Alturas and Cotonsito.,1983.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
2841,PRESERVED_SPECIMEN,Hampea appendiculata,119051,GBIF,,Manuel Vargas,,10.68,-83.63,"Cerro Coronel, E of Laguan Danto, tall evergreen foreswt on gentle to moderately steep slopes.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
2842,PRESERVED_SPECIMEN,Hampea appendiculata,120624,GBIF,,Manuel Vargas,,10.78,-83.58,R.V.S. Barra del Colorado N. side between town ond ocean beach.,1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
2846,PRESERVED_SPECIMEN,Hampea appendiculata,134181,GBIF,,Manuel Vargas,,10.68,-83.63,Cerro Coronel E of Laguna Danto,1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
2847,PRESERVED_SPECIMEN,Hampea appendiculata,138555,GBIF,,Manuel Vargas,,10.41,-83.56,"P.N. Tortuguero Estación Agua Fria, 600 m al Sureste de la casa estación. Vegetación primaria. Arboles dominantes : Pentaclethra, Calopgyllum y Hura, entre otros.",1987.0,1,1,1,,WGS84,2019,"Robles, Rafael"
2849,PRESERVED_SPECIMEN,Hampea appendiculata,142220,GBIF,,Manuel Vargas,,10.93,-85.45,"Slopes of Volcano, along main trail to the top,",1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
2851,PRESERVED_SPECIMEN,Hampea appendiculata,145990,GBIF,,Manuel Vargas,,10.72,-85.0,"El Pilón, alrededores intersección del camino  de Arüello con río Chimurria, margen izquierdo.",1988.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
2852,PRESERVED_SPECIMEN,Hampea appendiculata,147671,GBIF,,Manuel Vargas,,10.25,-84.08,"P.N. Braulio Carrillo Forest between río Peje and headwaters of río Sardinal, Atlantic slope of V. Barva.",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
2853,PRESERVED_SPECIMEN,Hampea appendiculata,148665,GBIF,,Manuel Vargas,,10.4,-84.05,"P.N. Braulio Carrillo Camino de acceso a finca Quintana, caerca de la Poza Los Padres.",1990.0,1,1,1,,WGS84,2019,"Umaña, Gina"
2854,PRESERVED_SPECIMEN,Hampea appendiculata,149484,GBIF,,Manuel Vargas,,10.28,-84.03,"Rara Avis ca. 15 km al suroeste de Horquetas. Camino de los reos hacia el río Guácimo, aguas arriba, bosque primario.",1989.0,1,1,1,,WGS84,2019,"Vargas, Orlando"
2855,PRESERVED_SPECIMEN,Hampea appendiculata,151064,GBIF,,Manuel Vargas,,10.32,-84.08,"P.N. Braulio Carrillo Estación El Ceibo, bosque entre la estación y la margen izquierda  del río Peje.",,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
2856,PRESERVED_SPECIMEN,Hampea appendiculata,152816,GBIF,,Manuel Vargas,,10.53,-83.5,P.N. Tortuguero Estación Cuatro Esquinas.,1990.0,1,1,1,,WGS84,2019,"Solano, José"
2857,PRESERVED_SPECIMEN,Hampea appendiculata,152845,GBIF,,Manuel Vargas,,10.53,-83.5,P.N. Tortuguero Estación Cuatro Esquinas.,1989.0,1,1,1,,WGS84,2019,"Solano, José"
2858,PRESERVED_SPECIMEN,Hampea appendiculata,153152,GBIF,,Manuel Vargas,,10.53,-83.5,"P.N. Tortuguero Estación Cuatro Esquinas, canal que va a la Barra del Colorado.",1990.0,1,1,1,,WGS84,2019,"Chavarría, Ulises"
2859,PRESERVED_SPECIMEN,Hampea appendiculata,153519,GBIF,,Manuel Vargas,,8.88,-82.84,Z.P. Las Tablas,1990.0,1,1,1,,WGS84,2019,"Mora, Gerardo"
2860,PRESERVED_SPECIMEN,Hampea appendiculata,154032,GBIF,,Manuel Vargas,,11.01,-85.41,"Road from Santa Cecilia to la Esperanza, wet forest remnants above turnoff to Estación Pitilla.",,1,1,1,,WGS84,2019,"Gereau, Roy E."
2861,PRESERVED_SPECIMEN,Hampea appendiculata,162611,GBIF,,Manuel Vargas,,10.15,-83.95,P.N. Braulio Carrillo Sendero La Botella.,1992.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
2862,PRESERVED_SPECIMEN,Hampea appendiculata,163190,GBIF,,Manuel Vargas,,10.92,-85.49,"P.N. Guanacaste Estación Biologica CAcao, bosque primario.",1990.0,1,1,1,,WGS84,2019,"Alvarado, Celso"
2863,PRESERVED_SPECIMEN,Hampea appendiculata,163790,GBIF,,Manuel Vargas,,8.79,-82.96,E.B. Las Cruces Sobre sendero Este hacia río java.,1993.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
2864,PRESERVED_SPECIMEN,Hampea appendiculata,165227,GBIF,,Manuel Vargas,,10.51,-83.51,"P.N. Tortuguero Tortuguero, 3 km al Suroeste del pueblo, a orillas del río Tortuguero.",1989.0,1,1,1,,WGS84,2019,"Robles, Rafael"
2865,PRESERVED_SPECIMEN,Hampea appendiculata,165893,GBIF,,Manuel Vargas,,10.92,-85.47,P.N. Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2019,Norman Obando
