,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3266,PRESERVED_SPECIMEN,Koanophyllon hylonoma,22854,GBIF,,Manuel Vargas,,10.13,-84.55,La Palma de San Ramón.,1927.0,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
3269,PRESERVED_SPECIMEN,Koanophyllon hylonoma,64081,GBIF,,Manuel Vargas,,10.05,-84.01,Open pasture and remnants of lower montane rain forest formations on ridges and steep slopes along the río Pará Blanca (Pacific drainage). Cerro de Zurquí. Heredia and San José provinces.,1975.0,1,1,1,,WGS84,2019,"Burger, William"
3272,PRESERVED_SPECIMEN,Koanophyllon hylonoma,99895,GBIF,,Manuel Vargas,,9.76,-83.95,10 km S of Cartago by air. along confluence of río Empalme and río Estrella. 1 km S of Palo Verde by road. Paloverde is 1.5 km S of Panamerican Hwy on road to Estrella.,1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
3274,PRESERVED_SPECIMEN,Koanophyllon hylonoma,111494,GBIF,,Manuel Vargas,,9.67,-83.02,R.B. Hitoy Cerere Sendero en alrededores de la estación.,1999.0,1,1,1,,WGS84,2019,"Rodríguez, Alexánder"
3284,PRESERVED_SPECIMEN,Koanophyllon hylonoma,158084,GBIF,,Manuel Vargas,,10.76,-85.29,"P.N. Rincón de la Vieja Sendero de la toma de agua, a 3 km de la estación.",1990.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
3285,PRESERVED_SPECIMEN,Koanophyllon hylonoma,159922,GBIF,,Manuel Vargas,,10.3,-84.8,R.B. Monteverde Quebrada Máquina. Pacific slope moist forest.,1992.0,1,1,1,,WGS84,2019,"Haber, William"
3291,PRESERVED_SPECIMEN,Koanophyllon hylonoma,206280,GBIF,,Manuel Vargas,,10.43,-84.03,"E.B. La Selva Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the río Sarapiquí. Senddero Ribereño at 1050 m.",1996.0,1,1,1,,WGS84,2019,"Wilbur, Robert L."
3292,PRESERVED_SPECIMEN,Koanophyllon hylonoma,206298,GBIF,,Manuel Vargas,,10.43,-84.03,"E.B. La Selva Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the río Sarapiquí.  In the La Guaria Annex alongside the Avenida Marañón at the 800 m grid stake.",1995.0,1,1,1,,WGS84,2019,"Mowbray, Thomas"
3293,PRESERVED_SPECIMEN,Koanophyllon hylonoma,206985,GBIF,,Manuel Vargas,,10.3,-84.8,"R.B. Monteverde Pacific slope, moist forest, Quebrada Máquina.",1992.0,1,1,1,,WGS84,2019,"Haber, William"
3295,PRESERVED_SPECIMEN,Koanophyllon hylonoma,207113,GBIF,,Manuel Vargas,,10.78,-85.3,"P. N. Rincón de la Vieja Sendero la Siembra, del mirador 2 km arriba sobre la fila. Alrededores del Volcán Santa María.",1991.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
3296,PRESERVED_SPECIMEN,Koanophyllon hylonoma,208881,GBIF,,Manuel Vargas,,10.43,-84.03,"E.B. La Selva Finca La Selva, the OTS Field Station on the río Puerto viejo just E of its junction with the río Sarapiquí. Sendero Tres Ríos.",1996.0,1,1,1,,WGS84,2019,"Wilbur, Robert L."
3297,PRESERVED_SPECIMEN,Koanophyllon hylonoma,210267,GBIF,,Manuel Vargas,,10.43,-84.03,"E.B. La Selva Finca La Selva, the OTS Field Station on the río Puerto viejo just E of its junction with the río Sarapiquí. Sendero Ribereño.",1986.0,1,1,1,,WGS84,2019,"Wilbur, Robert L."
3298,PRESERVED_SPECIMEN,Koanophyllon hylonoma,210273,GBIF,,Manuel Vargas,,10.43,-84.03,"E.B. La Selva Finca La Selva, the OTS Field Station on the río Puerto Viejo just E of its junction with the río Sarapiquí. Avenida Marañón.",1986.0,1,1,1,,WGS84,2019,"Wilbur, Robert L."
3300,PRESERVED_SPECIMEN,Koanophyllon hylonoma,214832,GBIF,,Manuel Vargas,,10.25,-84.17,Llanura de San Carlos. Cinchona.,1995.0,1,1,1,,WGS84,2019,"Rodríguez, Alexánder"
