,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3265,PRESERVED_SPECIMEN,Koanophyllon pittieri,22799,GBIF,,Manuel Vargas,,10.13,-84.55,La Palma de San Ramón.,1928.0,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
3267,PRESERVED_SPECIMEN,Koanophyllon pittieri,22855,GBIF,,Manuel Vargas,,10.13,-84.55,La Palma de San Ramón.,,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
3268,PRESERVED_SPECIMEN,Koanophyllon pittieri,26392,GBIF,,Manuel Vargas,,10.13,-84.55,La Palma de  San Ramón.,1926.0,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
3270,PRESERVED_SPECIMEN,Koanophyllon pittieri,84076,GBIF,,Manuel Vargas,,10.8,-85.26,Santa María National Park. Disturbed primary forest along stream. Road down Caribbean slope. Ca. 1 km west of east end of park. 7 km east of colored house at junction of road to Hacienda Santa María.,1978.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
3271,PRESERVED_SPECIMEN,Koanophyllon pittieri,84078,GBIF,,Manuel Vargas,,10.8,-85.26,Santa María National Park. Disturbed primary forest along  stream. Road down Caribbean slope. Ca. 1 km west of east end of park. 7 km east of colored house at junction of road t Hacienda Santa María.,1978.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
3273,PRESERVED_SPECIMEN,Koanophyllon pittieri,106196,GBIF,,Manuel Vargas,,9.07,-83.08,"Foothills of the Cordillera de Talamanca, vicinity of Helechales, along the río Guineal. Premontane wet forest along river.",1984.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
3275,PRESERVED_SPECIMEN,Koanophyllon pittieri,122599,GBIF,,Manuel Vargas,,10.73,-85.08,"Evergreen tropical wet forest  formations and pastures on eastern slopes of Volcán Miravalles, west of Bijagua, near the Río Zapote.",1982.0,1,1,1,,WGS84,2019,"Burger, William"
3276,PRESERVED_SPECIMEN,Koanophyllon pittieri,123710,GBIF,,Manuel Vargas,,9.88,-83.68,Cataratas de Zapote. Turrialba.,,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
3277,PRESERVED_SPECIMEN,Koanophyllon pittieri,134112,GBIF,,Manuel Vargas,,10.76,-85.3,"South and east slopes of ridges SE of quebrada Zopilote, lower SE slopes of Volcán Santa María.",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
3278,PRESERVED_SPECIMEN,Koanophyllon pittieri,134289,GBIF,,Manuel Vargas,,9.66,-83.03,R. B. Hitoy Cerere SW of Valle de la Estrella. Along río Cerere to ca. 1 km upstream from Quebrada Barrera.,1985.0,1,1,1,,WGS84,2019,"Grayum, Michael"
3279,PRESERVED_SPECIMEN,Koanophyllon pittieri,139421,GBIF,,Manuel Vargas,,10.93,-85.45,"Slopes of volcano Cacao, along main trail to the top.",1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
3280,PRESERVED_SPECIMEN,Koanophyllon pittieri,141069,GBIF,,Manuel Vargas,,10.93,-85.45,"P.N. Guanacaste Slopes of volcano Cacao, along main trail to the top,",1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
3281,PRESERVED_SPECIMEN,Koanophyllon pittieri,141070,GBIF,,Manuel Vargas,,10.4,-84.03,R.B. La Selva Estación Biológica La Selva. By suspension bridge.,1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
3282,PRESERVED_SPECIMEN,Koanophyllon pittieri,143999,GBIF,,Manuel Vargas,,10.33,-84.83,R. B. Monteverde Pacific slope wet forest.,1986.0,1,1,1,,WGS84,2019,"Haber, William"
3283,PRESERVED_SPECIMEN,Koanophyllon pittieri,151323,GBIF,,Manuel Vargas,,10.8,-83.31,"P.N. Rincón de la Vieja Siguiendo el canal desde la Hacienda Santa María, hasta Quebrada Provisión.",1987.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
3286,PRESERVED_SPECIMEN,Koanophyllon pittieri,173485,GBIF,,Manuel Vargas,,10.18,-84.35,Z.P. El Chayote Cordillera Central. Cerro Palmira.Bosque secundario y primario en la falda oeste.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
3287,PRESERVED_SPECIMEN,Koanophyllon pittieri,184195,GBIF,,Manuel Vargas,,10.18,-84.34,Z.P. El Chayote Cordillera Central. Faldas Cerro Chayote.,1994.0,1,1,1,,WGS84,2019,"Lépiz, Eduardo"
3288,PRESERVED_SPECIMEN,Koanophyllon pittieri,185299,GBIF,,Manuel Vargas,,9.86,-85.34,,1994.0,1,1,1,,WGS84,2019,"Estrada, Armando"
