,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8541,PRESERVED_SPECIMEN,Koanophyllon wetmorei,100435912,GBIF,Méndez 197,Manuel Vargas,,8.687222,-79.921944,Altos de Campana; 110  metros del Motel Sulin.,1977.0,1,1,1,,WGS84,2019,Ricardo Méndez
10446,PRESERVED_SPECIMEN,Koanophyllon wetmorei,V0050062F,GBIF,77,Manuel Vargas,,8.5714,-79.9106,,1931.0,1,1,1,,WGS84,2019,R. H. Wetmore & E. C. Abbe
28655,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2530487,GBIF,von Wedel 1317,Manuel Vargas,,9.05,-82.0,Vicinity of Chiriqui Lagoon,1940.0,1,1,1,,WGS84,2019,H. von Wedel
28656,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2530535,GBIF,Croat 7328,Manuel Vargas,,9.162778,-79.833056,"Barro Colorado Island, shoreline of large cove southwest of Slothia Island.",1969.0,1,1,1,,WGS84,2019,Thomas B. Croat
28662,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2530899,GBIF,von Wedel 1417,Manuel Vargas,,9.245,-82.383333,"Water Valley, vicinity of Chiriquí Lagoon.",1940.0,1,1,1,,WGS84,2019,H. von Wedel
28671,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2531710,GBIF,von Wedel 1417,Manuel Vargas,,9.245,-82.383333,"Water Valley, vicinity of Chiriquí Lagoon.",1940.0,1,1,1,,WGS84,2019,H. von Wedel
28675,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532072,GBIF,Folsom 6800,Manuel Vargas,,8.933611,-78.423611,Area around Pilota de Toro.,1977.0,1,1,1,,WGS84,2019,James P. Folsom|Leo Collins|G. Alonzo de Monte
28680,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532679,GBIF,Schmalzel 293,Manuel Vargas,,9.162778,-79.833056,Barro Colorado Island. East side of Slothia Cove,1982.0,1,1,1,,WGS84,2019,Robert J. Schmalzel
28682,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2531869,GBIF,Nee 8866,Manuel Vargas,,9.096111,-79.554722,"Vicinity of television tower on Continental Divide. Cerro Peñon, 3 km south of Alcalde Diaz.",1973.0,1,1,1,,WGS84,2019,Michael H. Nee
28687,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532840,GBIF,Schmalzel 1313,Manuel Vargas,,9.162778,-79.833056,Barro Colorado Island. Slothia Cove,1982.0,1,1,1,,WGS84,2019,Robert J. Schmalzel
28688,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532437,GBIF,Croat 13110,Manuel Vargas,,9.163611,-79.836389,Barro Colorado Island.  Shoreline northwest of Slothia Island,1971.0,1,1,1,,WGS84,2019,Thomas B. Croat
28689,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532474,GBIF,Croat 8144,Manuel Vargas,,9.167222,-79.85305600000001,Barro Colorado Island. Fuertes Cove.,1969.0,1,1,1,,WGS84,2019,Thomas B. Croat
28692,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2532814,GBIF,Croat 7128,Manuel Vargas,,9.163611,-79.836389,Barro Colorado Island.  Lakeshore N of dock,1969.0,1,1,1,,WGS84,2019,Thomas B. Croat
28697,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2533097,GBIF,Croat 9554,Manuel Vargas,,9.163611,-79.836389,Barro Colorado Island.  Just beyond first cove north of dock,1970.0,1,1,1,,WGS84,2019,Thomas B. Croat
28698,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2533236,GBIF,Croat 13273,Manuel Vargas,,9.15555,-79.85276999999999,"Barro Colorado Island, William Morton Wheeler Trail",1971.0,1,1,1,,WGS84,2019,Thomas B. Croat
28703,PRESERVED_SPECIMEN,Koanophyllon wetmorei,2534342,GBIF,Nee 10439,Manuel Vargas,,9.16,-79.74555,"Vicinity of first gorge and ""waterfall"" Rio Mendosa, 1/2 km upstream from Pipeline Road Bridge. 8 km NW of Gamboa; Premonte wet forest",1974.0,1,1,1,,WGS84,2019,Michael H. Nee
