,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
9154,PRESERVED_SPECIMEN,Licania arachicarpa,100521790,GBIF,Solano Peralta 2719,Manuel Vargas,,10.641944,-84.044722,No protegida.  Cuenca del Sarapiquí.  Parcela 10.  Con José Antonio Guzmán.,2005.0,1,1,1,,WGS84,2019,Daniel Solano|I. Mena|B. Hernández
9155,PRESERVED_SPECIMEN,Licania arachicarpa,100521791,GBIF,Solano Peralta 2722,Manuel Vargas,,10.641944,-84.044722,No protegida.  Cuenca del Sarapiquí.  Parcela 10 José Antonio Guzmán.,2005.0,1,1,1,,WGS84,2019,Daniel Solano|I. Mena|B. Hernández
12133,PRESERVED_SPECIMEN,Licania arachicarpa,1531439,GBIF,,Manuel Vargas,,10.6775,-84.233333,"Pital, Boca Tapada, Finca Hogar de Ancianos.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
13574,PRESERVED_SPECIMEN,Licania arachicarpa,1537203,GBIF,,Manuel Vargas,,10.401255,-84.049314,"A.C.C.V.C, Sarapiquí, La Virgen, Pque Nqal Braulio Carrillo, Estación Magsasay",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González ; Andrea Albertin ; Alvaro Fernandez
13576,PRESERVED_SPECIMEN,Licania arachicarpa,1537204,GBIF,,Manuel Vargas,,10.401255,-84.049314,"A.C.C.V.C, Sarapiquí, La Virgen, Pque Nqal Braulio Carrillo, Estación Magsasay",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González ; Andrea Albertin ; Alvaro Fernandez
13577,PRESERVED_SPECIMEN,Licania arachicarpa,1537205,GBIF,,Manuel Vargas,,10.401255,-84.049314,"A.C.C.V.C, Sarapiquí, La Virgen, Pque Nqal Braulio Carrillo, Estación Magsasay",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Jose González ; Andrea Albertin ; Alvaro Fernandez
15009,PRESERVED_SPECIMEN,Licania arachicarpa,2816881,GBIF,,Manuel Vargas,,10.6775,-84.233333,"Pital, Boca Tapada, Finca Hogar de Ancianos.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
21186,PRESERVED_SPECIMEN,Licania arachicarpa,4093453,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21187,PRESERVED_SPECIMEN,Licania arachicarpa,4093451,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21188,PRESERVED_SPECIMEN,Licania arachicarpa,4093454,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21189,PRESERVED_SPECIMEN,Licania arachicarpa,4093461,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21190,PRESERVED_SPECIMEN,Licania arachicarpa,4093462,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21191,PRESERVED_SPECIMEN,Licania arachicarpa,4093452,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21193,PRESERVED_SPECIMEN,Licania arachicarpa,4093460,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
21194,PRESERVED_SPECIMEN,Licania arachicarpa,4093459,GBIF,,Manuel Vargas,,10.641944,-84.044722,Parcela 10.,2005.0,1,1,1,,WGS84,2019,Daniel Solano; Israel Mena ; Braulio Hernández
23784,PRESERVED_SPECIMEN,Licania arachicarpa,4358098,GBIF,,Manuel Vargas,,10.431111,-84.00361099999999,"Heredia, Sarapiquí.  Estación Biológica La Selva. LOC 1410 m.",2003.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
23785,PRESERVED_SPECIMEN,Licania arachicarpa,4358097,GBIF,,Manuel Vargas,,10.430833,-84.006111,"Heredia, Sarapiquí.  Estación Biológica La Selva. Alrededor de la estación del río 190 m.",2003.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
46131,PRESERVED_SPECIMEN,Licania arachicarpa,1258917,GBIF,Aguilar Fernández 5247,Manuel Vargas,,10.4,-84.03,"Parque Nacional Braulio Carrillo, Cuenca del Sarapiquí, Estación Magsasay",1997.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|José Á. González R.|A. Albertin
46825,PRESERVED_SPECIMEN,Licania arachicarpa,1325652,GBIF,Hammel 11149,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel
47212,PRESERVED_SPECIMEN,Licania arachicarpa,1369305,GBIF,Zamora Villalobos 2583,Manuel Vargas,,10.67,-84.23,"Cuenca del San Carlos, Pital, Boca Tapada, Finca Hogar de Ancianos",1997.0,1,1,1,,WGS84,2019,Nelson Zamora
