,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
2286,PRESERVED_SPECIMEN,Licania platycalyx,159794,GBIF,,Manuel Vargas,,9.39,-83.08,Alto Lari. Kivut.,1992.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
2288,PRESERVED_SPECIMEN,Licania platycalyx,162008,GBIF,,Manuel Vargas,,9.39,-83.08,"Amubri, Alto Lari Kivut.",1992.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
6598,PRESERVED_SPECIMEN,Licania platycalyx,3571,GBIF,,Manuel Vargas,,7.150294000000001,-73.01325600000001,,2003.0,1,1,1,,WGS84,2019,B. Quirós
6602,PRESERVED_SPECIMEN,Licania platycalyx,4606,GBIF,,Manuel Vargas,,7.119764,-73.04168299999999,,2002.0,1,1,1,,WGS84,2019,J. Brand
6651,PRESERVED_SPECIMEN,Licania platycalyx,V0053874F,GBIF,5336,Manuel Vargas,,3.8811,-72.8667,,1939.0,1,1,1,,WGS84,2019,E. Pérez Arbeláez & J. Cuatrecasas
6919,PRESERVED_SPECIMEN,Licania platycalyx,V0184532F,GBIF,,Manuel Vargas,,7.0758,-65.9119,,,1,1,1,,WGS84,2019,
7524,PRESERVED_SPECIMEN,Licania platycalyx,V0184525F,GBIF,4639,Manuel Vargas,,0.35,-79.73,"Bilsa Biological Station. Reserva Ecologica  Mache-Chindu, 35 km. W of Quininde. Cube River (NE corner of Station).",1998.0,1,1,1,,WGS84,2019,J. L. Clark & et al.
7881,PRESERVED_SPECIMEN,Licania platycalyx,Temp-ADD493,GBIF,21942,Manuel Vargas,,7.00185,-72.88164,"Vereda La Salina, trocha entre el campamento (7,0029722 / -72,873972) y la quebrada y hacienda San Francisco",2018.0,1,1,1,,WGS84,2019,Humberto Mendoza | Angela Celis | Alba Yaneth Robles | Seonghyum Cho | Sun Byung Yum
11364,PRESERVED_SPECIMEN,Licania platycalyx,388,GBIF,,Manuel Vargas,,7.049125,-72.9345,,1990.0,1,1,1,,WGS84,2019,D. Roncancio
12769,PRESERVED_SPECIMEN,Licania platycalyx,1559779,GBIF,,Manuel Vargas,,9.397222,-83.086111,"Amubri, Alto Lari, Kivut. Fila mayor entre los Rios Dapari y Lari, desviandose hacia el este por fila secundaria, cuenca del Rio Lari.",1992.0,1,1,1,,WGS84,2019,Gerardo Herrera
12776,PRESERVED_SPECIMEN,Licania platycalyx,1559780,GBIF,,Manuel Vargas,,9.397222,-83.088889,Alto Lari. Kivut.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
13259,PRESERVED_SPECIMEN,Licania platycalyx,1569460,GBIF,,Manuel Vargas,,10.283333,-84.033334,"Rara Avis, ca. 15 km al suroeste de Horquetas. Alrededores del Hotel hasta el Rio Atelopus. Bosque Primario y Secundario.",1989.0,1,1,1,,WGS84,2019,Orlando Vargas
14376,PRESERVED_SPECIMEN,Licania platycalyx,1606877,GBIF,,Manuel Vargas,,10.198611,-83.888889,Rio Corintio. Guapiles. Centro Ecologico Morpho.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
14643,PRESERVED_SPECIMEN,Licania platycalyx,1583761,GBIF,,Manuel Vargas,,9.397222,-83.088889,Alto Lari. Kivut.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
16681,PRESERVED_SPECIMEN,Licania platycalyx,2909825,GBIF,,Manuel Vargas,,10.297222,-84.073611,Puesto El Ceibo. On ridge crest 250 m E of Transect Trail. Primary premontane wet forest.,1994.0,1,1,1,,WGS84,2019,Brad Boyle
16970,PRESERVED_SPECIMEN,Licania platycalyx,3093974,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
16971,PRESERVED_SPECIMEN,Licania platycalyx,3093975,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
16972,PRESERVED_SPECIMEN,Licania platycalyx,3093977,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
16973,PRESERVED_SPECIMEN,Licania platycalyx,3093976,GBIF,,Manuel Vargas,,10.366667,-84.616667,"Rio Penas Blancas canyon, Nene Castro farm, 4 km NW of La Tigra. lowland wet forest.",1995.0,1,1,1,,WGS84,2019,William Haber
21504,PRESERVED_SPECIMEN,Licania platycalyx,4122688,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
21505,PRESERVED_SPECIMEN,Licania platycalyx,4122687,GBIF,,Manuel Vargas,,9.81703,-83.16669,"Limón, Valle La Estrella Fila Matama. Ca. 11 km SW del Pueblo de Aguas Zarcas.",2007.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; A. K. Monro ; Daniel Santamaría ; Daniel Solano ; Billen Gamboa R. ; Eduardo Boza ; Mario Hernández Peña ; Marcos Moraga ; Oscar Chacón Chavarría ; Ruth Delgado Dávila
24700,PRESERVED_SPECIMEN,Licania platycalyx,FMB-61645,GBIF,622,Manuel Vargas,,1.1514719999999998,-77.995778,Ricaurte,2002.0,1,1,1,,WGS84,2019,"Gil-Ch., Iván"
24712,PRESERVED_SPECIMEN,Licania platycalyx,FMB-64887,GBIF,JM2472,Manuel Vargas,,4.741389,-75.602778,"Vereda El Cedral, finca la Carmencita",2003.0,1,1,1,,WGS84,2019,"Mendoza, J. | Leonardo, F."
24713,PRESERVED_SPECIMEN,Licania platycalyx,FMB-64888,GBIF,JM2472,Manuel Vargas,,4.741389,-75.602778,"Vereda El Cedral, finca la Carmencita",2003.0,1,1,1,,WGS84,2019,"Mendoza, J. | Leonardo, F."
24718,PRESERVED_SPECIMEN,Licania platycalyx,FMB-65208,GBIF,15197,Manuel Vargas,,3.598611,-76.685278,"Corregimiento de Bitaco, Vereda Chicoral",2003.0,1,1,1,,WGS84,2019,"Mendoza, Humberto | Amaya, J. | Castillo, D."
24722,PRESERVED_SPECIMEN,Licania platycalyx,FMB-65209,GBIF,34,Manuel Vargas,,3.570278,-76.586389,"La Cumbre, Corregimiento de Bitaco, Vereda Chicoral",2003.0,1,1,1,,WGS84,2019,"Ruiz, M. | Mendoza, Humberto | Quevedo, F. | Loaiza, C. | Robles, Aura"
