,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
241,PRESERVED_SPECIMEN,Malpighia albiflora,106676,GBIF,6846,Manuel Vargas,,5.6375,-77.32722199999999,"Corregimiento Coqui, Loma de Boca Vieja",1994.0,1,1,1,,WGS84,2019,Acevedo P. | Callejas R. | Churchill S.
242,PRESERVED_SPECIMEN,Malpighia albiflora,106821,GBIF,4,Manuel Vargas,,5.587344,-77.505777,"Corregimiento Arusí, Estación Biológica El Amargal",1997.0,1,1,1,,WGS84,2019,Muñoz M.
245,PRESERVED_SPECIMEN,Malpighia albiflora,107699,GBIF,6917,Manuel Vargas,,5.586283,-77.505268,"Corregimiento Arusí, El Amargal, Estación de la Fundación Inguede",1994.0,1,1,1,,WGS84,2019,Acevedo P. | Callejas R. | Churchill S.
1064,PRESERVED_SPECIMEN,Malpighia albiflora,303957,GBIF,,Manuel Vargas,,2.39716,-77.6878,SI.,1986.0,1,1,1,,WGS84,2019,"Lozano C., G."
1065,PRESERVED_SPECIMEN,Malpighia albiflora,100251,GBIF,,Manuel Vargas,,7.42846,-76.5513,"Hoya del Rio Leon o Bacuba, from Villa Arteaga to Chigorodo: Rio Porroso: La Pradera.",1961.0,1,1,1,,WGS84,2019,"Cuatrecasas, J."
1066,PRESERVED_SPECIMEN,Malpighia albiflora,100250,GBIF,,Manuel Vargas,,7.42846,-76.5513,"Hoya del Rio Leon o Bacuba, from Villa Arteaga to Chigorodo: Rio Porroso: La Pradera.",1961.0,1,1,1,,WGS84,2019,"Cuatrecasas, J."
3629,PRESERVED_SPECIMEN,Malpighia albiflora,49038,GBIF,,Manuel Vargas,,8.7,-83.51,"Moist forest in valley bottoms, forest with open understory on steep slopes and ridges and areas of secondary vegetation north and west of the air field at 50-200 m altitude, about 5 km west of Rincón de Osa. Osa Península.",1970.0,1,1,1,,WGS84,2019,"Burger, William"
3630,PRESERVED_SPECIMEN,Malpighia albiflora,85631,GBIF,,Manuel Vargas,,8.5,-83.61,P.N. Corcovado Primary forest and edge of forest near new airfield under construction at Pavo.,1977.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
3631,PRESERVED_SPECIMEN,Malpighia albiflora,100757,GBIF,,Manuel Vargas,,9.76,-83.95,"Ca. 6 km S of Cartago by air. Quebrada Cangreja, 3 km S of Pan American Highway. Remnant forest.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
3632,PRESERVED_SPECIMEN,Malpighia albiflora,111387,GBIF,,Manuel Vargas,,10.75,-85.05,Remnant evergreen forest and secondary growth in the tropical premontane wet forest transition zone about 3 km NNE of Bijagua along the new road to Upala.,,1,1,1,,WGS84,2019,"Burger, William"
3633,PRESERVED_SPECIMEN,Malpighia albiflora,120115,GBIF,,Manuel Vargas,,9.7,-83.03,"R.B. Hitoy Cerere And vicinity in Valle La Estrella S of Finca Concepcion, from station to top of ridge Miramaror Los Jabillos.",1985.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
3635,PRESERVED_SPECIMEN,Malpighia albiflora,124978,GBIF,,Manuel Vargas,,9.65,-82.75,"South and west of slopes of Cerro Pirripli, just SE of Puerto Viejo de Talamanca, along trail leading from cemetery.",1984.0,1,1,1,,WGS84,2019,"Grayum, Michael"
3637,PRESERVED_SPECIMEN,Malpighia albiflora,129318,GBIF,,Manuel Vargas,,10.33,-84.83,"R.B. Monteverde Peñas Blancas River Valley. Atlantic slope, rain forest.",1985.0,1,1,1,,WGS84,2019,"Haber, William"
3638,PRESERVED_SPECIMEN,Malpighia albiflora,131059,GBIF,,Manuel Vargas,,10.21,-84.31,P.N. Juan Castro Blanco 3 km O de Bajos del Toro.,1988.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
3640,PRESERVED_SPECIMEN,Malpighia albiflora,133452,GBIF,,Manuel Vargas,,10.66,-83.66,"Hills 2 airline km SSE of Islas Buena Vista in the río Colorado, 14 airline km SW of Barra del Colorado.",1986.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
3641,PRESERVED_SPECIMEN,Malpighia albiflora,134793,GBIF,,Manuel Vargas,,9.66,-83.03,"R.B. Hitoy Cerere Sw of Valle la Estrella, along río Cerere to ca. 1 km upstream from Quebrada Barrera.",1985.0,1,1,1,,WGS84,2019,"Grayum, Michael"
3643,PRESERVED_SPECIMEN,Malpighia albiflora,139404,GBIF,,Manuel Vargas,,10.05,-83.95,P.N. Braulio Carrillo` Between Bajo La Hondura and the río Sucio along the new highway project.,1982.0,1,1,1,,WGS84,2019,"Barringer, Kerry A."
3646,PRESERVED_SPECIMEN,Malpighia albiflora,142668,GBIF,,Manuel Vargas,,10.0,-83.41,Cordillera de Talamanca. Al noreste de la confluencia de Quebrada Cañabral con río Barbilla. Fila Suita.,1988.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
3647,PRESERVED_SPECIMEN,Malpighia albiflora,142764,GBIF,,Manuel Vargas,,8.45,-83.55,P.N. Corcovado Jack's 800 to Ollas Trail.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
3648,PRESERVED_SPECIMEN,Malpighia albiflora,143996,GBIF,,Manuel Vargas,,10.33,-84.83,R.B. Monteverde Pacific slope wet forest.,1986.0,1,1,1,,WGS84,2019,"Haber, William"
3649,PRESERVED_SPECIMEN,Malpighia albiflora,144528,GBIF,,Manuel Vargas,,9.62,-82.89,Bosque residual 3 km Oeste de Volio.,1990.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
3651,PRESERVED_SPECIMEN,Malpighia albiflora,146509,GBIF,,Manuel Vargas,,9.63,-82.76,R.I. Coclés 3-4 km SO de Puerto Viejo.,1990.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
3652,PRESERVED_SPECIMEN,Malpighia albiflora,147330,GBIF,,Manuel Vargas,,10.3,-84.8,R.B. Monteverde Upper community lower montane wet forest. Pacific slope.,1990.0,1,1,1,,WGS84,2019,William R. Anderson
3653,PRESERVED_SPECIMEN,Malpighia albiflora,147636,GBIF,,Manuel Vargas,,11.03,-85.4,P.N. Guanacaste Estación Pitilla. Sendero con dirección Noreste. Bosque primario y secundario.,1989.0,1,1,1,,WGS84,2019,I Inbio
3654,PRESERVED_SPECIMEN,Malpighia albiflora,149501,GBIF,,Manuel Vargas,,10.31,-84.73,R.B. Monteverde Río Peñas Blancas.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
3655,PRESERVED_SPECIMEN,Malpighia albiflora,150020,GBIF,,Manuel Vargas,,10.31,-84.71,R.B. Monteverde Río Peñas Blancas. Parcela de Pérez.,1988.0,1,1,1,,WGS84,2019,"Bello, Erick"
3656,PRESERVED_SPECIMEN,Malpighia albiflora,150118,GBIF,,Manuel Vargas,,8.45,-83.55,P.N. Corcovado Sirena. Los Patos Forest.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
3657,PRESERVED_SPECIMEN,Malpighia albiflora,150123,GBIF,,Manuel Vargas,,10.31,-84.71,R.B. Monteverde Río Peñas Blancas.,1988.0,1,1,1,,WGS84,2019,"Bello, Erick"
3658,PRESERVED_SPECIMEN,Malpighia albiflora,150147,GBIF,,Manuel Vargas,,8.66,-83.56,"R.F. Golfo Dulce Osa Península, Rancho Quemado, ca. 15 km W of Rincón, along quebrada Quebradón and ridge above it.",1988.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
3659,PRESERVED_SPECIMEN,Malpighia albiflora,150841,GBIF,,Manuel Vargas,,8.98,-83.47,"Divide between quebrada Benjamín and Q Batambal, SW slope of Fila  Retinto, NW of Palmar Norte.",1990.0,1,1,1,,WGS84,2019,"Grayum, Michael"
3660,PRESERVED_SPECIMEN,Malpighia albiflora,152653,GBIF,,Manuel Vargas,,10.91,-85.47,P.N. Guanacaste Estación Cacao. Bosque primario y secundario.,1990.0,1,1,1,,WGS84,2019,"Chavarría, Ulises"
3661,PRESERVED_SPECIMEN,Malpighia albiflora,154093,GBIF,,Manuel Vargas,,8.66,-83.71,Playa Campanario o San Josecito. Primary forest.,1991.0,1,1,1,,WGS84,2019,"Harmon, Patrick"
3662,PRESERVED_SPECIMEN,Malpighia albiflora,156584,GBIF,,Manuel Vargas,,8.73,-83.58,Rancho Quemado. Finca de Juan Marín. Cerca a Guerra.,1991.0,1,1,1,,WGS84,2019,"Marín, Juan"
3663,PRESERVED_SPECIMEN,Malpighia albiflora,156635,GBIF,,Manuel Vargas,,8.41,-83.33,"Río Piro, finca de Fidencio Sánchez.",1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
3664,PRESERVED_SPECIMEN,Malpighia albiflora,159720,GBIF,,Manuel Vargas,,11.12,-84.43,"R. San Juan:Campamento La Lupe, ca. 15.5 km al Noreste del poblado El Castillo. Bosque Tropical Pluvial.",,1,1,1,,WGS84,2019,"Grijalva, Alfredo"
3665,PRESERVED_SPECIMEN,Malpighia albiflora,159729,GBIF,,Manuel Vargas,,11.13,-84.33,R. San Juan: Los Filos (El Romerón). Bosque húmedo Tropical ca. 12 km al NE del poblado El Castillo.,1991.0,1,1,1,,WGS84,2019,"Grijalva, Alfredo"
3666,PRESERVED_SPECIMEN,Malpighia albiflora,160802,GBIF,,Manuel Vargas,,10.92,-85.48,P.N. Guanacaste Estación Cacao.,1990.0,1,1,1,,WGS84,2019,"Quesada, Francisco"
3668,PRESERVED_SPECIMEN,Malpighia albiflora,163171,GBIF,,Manuel Vargas,,9.96,-83.69,"Sobre ríos Guayabo, Lajitas y monumento.",1992.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
3669,PRESERVED_SPECIMEN,Malpighia albiflora,164280,GBIF,,Manuel Vargas,,8.7,-83.52,R.F. Golfo Dulce Aguabuena. Sector Cuenca Este.,1991.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
3670,PRESERVED_SPECIMEN,Malpighia albiflora,164281,GBIF,,Manuel Vargas,,8.4,-83.28,"Río Piro, camino a Cerro Osa.",1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
3671,PRESERVED_SPECIMEN,Malpighia albiflora,165218,GBIF,,Manuel Vargas,,9.61,-82.73,Cocles. Filas Carbón. Forest or cacao plantation.,1991.0,1,1,1,,WGS84,2019,Paul J. M. Maas
3672,PRESERVED_SPECIMEN,Malpighia albiflora,165340,GBIF,,Manuel Vargas,,8.42,-83.34,Río Piro.,1990.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
3674,PRESERVED_SPECIMEN,Malpighia albiflora,168284,GBIF,,Manuel Vargas,,8.41,-83.33,"Río Piro, finca de Fidencio Sánchez.",1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
3675,PRESERVED_SPECIMEN,Malpighia albiflora,168568,GBIF,,Manuel Vargas,,10.75,-85.28,"P.N. Rincón de la Vieja Sendero León. Límite este del parque. San Jorge, en cabecera del quebrada Tapezco.",1991.0,1,1,1,,WGS84,2019,"Rivera, Gerardo"
3679,PRESERVED_SPECIMEN,Malpighia albiflora,174355,GBIF,,Manuel Vargas,,10.99,-85.42,P.N. Guanacaste 9 km al sur de Santa Cecilia. Estación Pitilla.,1990.0,1,1,1,,WGS84,2019,"Chávez, Carlos"
3680,PRESERVED_SPECIMEN,Malpighia albiflora,175605,GBIF,,Manuel Vargas,,8.68,-83.51,"Agua Buena, Rincón, en las cercanías del Tanque de agua del pueblo. Bosque primario. (Laderas con grava).",1990.0,1,1,1,,WGS84,2019,"Morales, Carlos O."
