,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
638,UNKNOWN,Miconia amplinodis,810284,GBIF,,Manuel Vargas,,10.202778,-84.311944,Bajos del Toro Amarillo. Orilla camino al pueblo,1992.0,1,1,1,,WGS84,2019,Gina Umaña
3790,PRESERVED_SPECIMEN,Miconia amplinodis,121963,GBIF,,Manuel Vargas,,10.25,-84.3,Fila Volcán Viejo.,1986.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
3795,PRESERVED_SPECIMEN,Miconia amplinodis,134848,GBIF,,Manuel Vargas,,10.32,-84.8,Road from Cerro Plano to Cerro Amigos. Along trail east of TV towers about 150 m east of clearing,2002.0,1,1,1,,WGS84,2019,"Penneys, Darin S."
3806,PRESERVED_SPECIMEN,Miconia amplinodis,172379,GBIF,,Manuel Vargas,,10.3,-84.78,R. B. Monteverde Pacific slope and continental divide from field station to sendero Pantanoso and swamp.,,1,1,1,,WGS84,2019,"Haber, William"
3807,PRESERVED_SPECIMEN,Miconia amplinodis,172380,GBIF,,Manuel Vargas,,10.3,-84.78,"R. B. Monteverde Road to divide, swamp on continental divide           ( Sendero Pantanoso) and Sendero Chomogo.",1990.0,1,1,1,,WGS84,2019,"Haber, William"
3814,PRESERVED_SPECIMEN,Miconia amplinodis,182602,GBIF,,Manuel Vargas,,10.2,-84.31,Bajos del Toro Amarillo. Orilla camino al pueblo.,1992.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3817,PRESERVED_SPECIMEN,Miconia amplinodis,183448,GBIF,,Manuel Vargas,,10.2,-84.31,Bajos del Toro Amarillo.,1992.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3818,PRESERVED_SPECIMEN,Miconia amplinodis,183810,GBIF,,Manuel Vargas,,10.21,-84.3,Bajos del Toro Amarillo. Camino al pueblo Bajos del Toro.,1989.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3823,PRESERVED_SPECIMEN,Miconia amplinodis,188352,GBIF,,Manuel Vargas,,10.1,-83.43,R. B. Monteverde El Camino trail between station and intersection with Brillante trail.,1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
3825,PRESERVED_SPECIMEN,Miconia amplinodis,189161,GBIF,,Manuel Vargas,,10.21,-84.3,Bajos del Toro Amarillo.,1994.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3826,PRESERVED_SPECIMEN,Miconia amplinodis,189176,GBIF,,Manuel Vargas,,10.2,-84.31,Bajos del Toro Amarillo.,1992.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3839,PRESERVED_SPECIMEN,Miconia amplinodis,199037,GBIF,,Manuel Vargas,,10.2,-84.31,Bajos del Toro Amarillo.,1992.0,1,1,1,,WGS84,2019,"Umaña, Gina"
3843,PRESERVED_SPECIMEN,Miconia amplinodis,204655,GBIF,,Manuel Vargas,,10.28,-84.68,Arancibia. Corazón de Jesús. Fila divisoria entre cuenca superior de río Aranjuez y río la Esperanza.,1996.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
3848,PRESERVED_SPECIMEN,Miconia amplinodis,210672,GBIF,,Manuel Vargas,,10.12,-84.12,P.N. Braulio Carrillo Estación Barva. Bosque primario y potreros.,1990.0,1,1,1,,WGS84,2019,"Varela, Gerardo"
3851,PRESERVED_SPECIMEN,Miconia amplinodis,217940,GBIF,,Manuel Vargas,,9.75,-83.31,Cordillera de Talamanca. N flank of fila Matama in headwaters of Río Boyei.,1995.0,1,1,1,,WGS84,2019,"Grayum, Michael"
