,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8892,PRESERVED_SPECIMEN,Miconia aurantiaca,100493011,GBIF,Kriebel Haehner 898,Manuel Vargas,,10.216667,-84.58889,Cuenca del San Carlos. R. B. Manuel Alberto Brenes. Curso de Plantas.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
8925,PRESERVED_SPECIMEN,Miconia aurantiaca,100493337,GBIF,Kriebel Haehner 4542,Manuel Vargas,,10.704444,-84.992222,P.N. Volcan Tenorio. Cuenca del Rio Frio. Sendero Misteriosos.,2004.0,1,1,1,,WGS84,2019,Ricardo Kriebel|Scott A. Mori|N. Smith|José Á. González R.
9175,PRESERVED_SPECIMEN,Miconia aurantiaca,100522332,GBIF,Chaves Chaves 500,Manuel Vargas,,10.704603,-84.9923,El Pilon. sendero hacia Catarata.,2000.0,1,1,1,,WGS84,2019,José Luis Chaves
9309,PRESERVED_SPECIMEN,Miconia aurantiaca,100567751,GBIF,Kriebel Haehner 924,Manuel Vargas,,10.216667,-84.588889,No protegida. Cuenca del San Carlos. R.B. Manuel Alberto Brenes. Curso de Plantas.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
16905,PRESERVED_SPECIMEN,Miconia aurantiaca,3092009,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
16906,PRESERVED_SPECIMEN,Miconia aurantiaca,3092008,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
16907,PRESERVED_SPECIMEN,Miconia aurantiaca,3092010,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
16908,PRESERVED_SPECIMEN,Miconia aurantiaca,3092007,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2000.0,1,1,1,,WGS84,2019,Jose Luis Chaves
18891,PRESERVED_SPECIMEN,Miconia aurantiaca,3798733,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
18893,PRESERVED_SPECIMEN,Miconia aurantiaca,3798732,GBIF,,Manuel Vargas,,10.216667,-84.588889,Estacion Rio San Lorenzo.,2002.0,1,1,1,,WGS84,2019,Ricardo Kriebel
