,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
3809,PRESERVED_SPECIMEN,Miconia commutata,179524,GBIF,,Manuel Vargas,,10.4,-84.05,"P.N. Braulio Carrillo Río Peje, estación Magsasay.",1994.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
3820,PRESERVED_SPECIMEN,Miconia commutata,186714,GBIF,,Manuel Vargas,,8.68,-83.21,Bosque de los Austriacos. Primary forest-Research plot-La Gamba.,1994.0,1,1,1,,WGS84,2019,"Huber, Werner"
3854,PRESERVED_SPECIMEN,Miconia commutata,221259,GBIF,,Manuel Vargas,,8.62,-83.68,"P. N. Corcovado  Los Planes, bosque comunal La Gloria a orillas de Río Claro. Península de Osa.",1991.0,1,1,1,,WGS84,2019,"Cordero, Geovanny"
8914,PRESERVED_SPECIMEN,Miconia commutata,100493184,GBIF,Kriebel Haehner 2787,Manuel Vargas,,10.366667,-84.06944,Hotel Selva Verde.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
10220,PRESERVED_SPECIMEN,Miconia commutata,MA-01-00762962,GBIF,2787,Manuel Vargas,,10.3667,-84.0694,Heredia: Sarapiquí. No protegida. Cuenca del Sarapiquí. Hotel Selva Verde,2003.0,1,1,1,,WGS84,2019,R. Kriebel
12616,PRESERVED_SPECIMEN,Miconia commutata,1556322,GBIF,,Manuel Vargas,,10.405,-84.05833299999999,Estacion Magsasay.,1994.0,1,1,1,,WGS84,2019,Barry Hammel
16742,PRESERVED_SPECIMEN,Miconia commutata,2912186,GBIF,,Manuel Vargas,,8.625,-83.68055600000001,Los Planes. Bosque comunal La Gloria A orillas de Rio Claro.,1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
19576,PRESERVED_SPECIMEN,Miconia commutata,3910125,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20176,PRESERVED_SPECIMEN,Miconia commutata,3960060,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20177,PRESERVED_SPECIMEN,Miconia commutata,3960058,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20178,PRESERVED_SPECIMEN,Miconia commutata,3960062,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20180,PRESERVED_SPECIMEN,Miconia commutata,3960066,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20181,PRESERVED_SPECIMEN,Miconia commutata,3960061,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20182,PRESERVED_SPECIMEN,Miconia commutata,3960067,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20183,PRESERVED_SPECIMEN,Miconia commutata,3960059,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20186,PRESERVED_SPECIMEN,Miconia commutata,3960065,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20188,PRESERVED_SPECIMEN,Miconia commutata,3960063,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20189,PRESERVED_SPECIMEN,Miconia commutata,3960057,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
20193,PRESERVED_SPECIMEN,Miconia commutata,3960064,GBIF,,Manuel Vargas,,10.366667,-84.06944399999999,Hotel Selva Verde. Chilamate.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
22695,PRESERVED_SPECIMEN,Miconia commutata,4202343,GBIF,,Manuel Vargas,,10.415556,-84.12138900000001,"La Tirimbina, Sarapiquí.",2009.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Jose González
28746,PRESERVED_SPECIMEN,Miconia commutata,2546545,GBIF,Folsom 9767,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1981.0,1,1,1,,WGS84,2019,James P. Folsom
30963,PRESERVED_SPECIMEN,Miconia commutata,893745,GBIF,Hammel 19394,Manuel Vargas,,10.4,-84.05,P.N. Braulio Carrillo; Llanura de San Carlos. Estación Magsasay.,1994.0,1,1,1,,WGS84,2019,Barry E. Hammel|Quírico Jiménez|Eduardo Lépiz|Víctor H. Ramírez|R.M. Rueda
34063,PRESERVED_SPECIMEN,Miconia commutata,2755124,GBIF,Hammel 7940,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
35346,PRESERVED_SPECIMEN,Miconia commutata,316527,GBIF,Cordero 277,Manuel Vargas,,8.625,-83.68055,Parque Nacional Corcovado Los Planes. Bosque comunal La Gloria A orillas de Río Claro.,1991.0,1,1,1,,WGS84,2019,Geovanny Cordero
