,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
238,PRESERVED_SPECIMEN,Mora megistosperma,105253,GBIF,6859,Manuel Vargas,,5.625218,-77.388502,"Corregimiento Coqui, Estero de Coqui, Jobi",1994.0,1,1,1,,WGS84,2019,Acevedo P. | Callejas R. | Churchill S.
243,PRESERVED_SPECIMEN,Mora megistosperma,106848,GBIF,6859,Manuel Vargas,,5.625218,-77.388502,"Corregimiento Coqui, Estero de Coqui, Jobi",1994.0,1,1,1,,WGS84,2019,Acevedo P. | Callejas R. | Churchill S.
349,PRESERVED_SPECIMEN,Mora megistosperma,166120,GBIF,8447,Manuel Vargas,,5.866667,-77.283333,"Corregimiento Jurubidá, río Chorí, poco antes de la desembocadura de Jurubidá",1999.0,1,1,1,,WGS84,2019,Betancur J. | Devenish C.
523,PRESERVED_SPECIMEN,Mora megistosperma,80795,GBIF,647,Manuel Vargas,,1.668611,-78.65,"Río Rosario, vereda Isla Grande",1989.0,1,1,1,,WGS84,2019,Madrigal B. | Arboleda M.
538,PRESERVED_SPECIMEN,Mora megistosperma,87914,GBIF,647,Manuel Vargas,,1.668611,-78.65,"Río Rosario, vereda Isla Grande",1989.0,1,1,1,,WGS84,2019,Madrigal B. | Arboleda M.
5498,PRESERVED_SPECIMEN,Mora megistosperma,L.B.Holm-Nielsen26034,GBIF,,Manuel Vargas,,1.1159999999999999,-79.0,"Limones - Borbón, 5 km before Borbón. Riverside flooded forest.",1980.0,1,1,1,,WGS84,2019,L.B.  Holm-Nielsen
6437,PRESERVED_SPECIMEN,Mora megistosperma,99820,GBIF,Holm-Nielsen 26034,Manuel Vargas,,1.11666,-79.0,"Limones - Borbón, 5 km before Borbón. Riverside flooded forest.",1980.0,1,1,1,,WGS84,2019,L.B. Holm-Nielsen|et al.
6638,PRESERVED_SPECIMEN,Mora megistosperma,V0112452F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
6682,PRESERVED_SPECIMEN,Mora megistosperma,V0112447F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
7243,PRESERVED_SPECIMEN,Mora megistosperma,V0112449F,GBIF,,Manuel Vargas,,-1.4628,-78.1869,,,1,1,1,,WGS84,2019,
7285,PRESERVED_SPECIMEN,Mora megistosperma,V0112448F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
7374,PRESERVED_SPECIMEN,Mora megistosperma,V0112451F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
