,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4064,PRESERVED_SPECIMEN,Mora oleifera,81263,GBIF,,Manuel Vargas,,9.48,-84.25,Manglar de Palo Seco.,1981.0,1,1,1,,WGS84,2019,"Soto, Ricardo"
4065,PRESERVED_SPECIMEN,Mora oleifera,83200,GBIF,,Manuel Vargas,,9.48,-84.25,Manglar de Palo Seco.,1981.0,1,1,1,,WGS84,2019,"Soto, Ricardo"
4066,PRESERVED_SPECIMEN,Mora oleifera,85683,GBIF,,Manuel Vargas,,8.48,-83.61,P. N. Corcovado Mangrove swamp at mouth of Río Sirena.,1977.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
4067,PRESERVED_SPECIMEN,Mora oleifera,88675,GBIF,,Manuel Vargas,,9.48,-84.23,Estero Damas.,1982.0,1,1,1,,WGS84,2019,"Soto, Ricardo"
4068,PRESERVED_SPECIMEN,Mora oleifera,90329,GBIF,,Manuel Vargas,,9.49,-84.32,Estero Meros.,1982.0,1,1,1,,WGS84,2019,"Soto, Ricardo"
4069,PRESERVED_SPECIMEN,Mora oleifera,90330,GBIF,,Manuel Vargas,,9.49,-84.32,Estero Meros.,1982.0,1,1,1,,WGS84,2019,"Soto, Ricardo"
4070,PRESERVED_SPECIMEN,Mora oleifera,157100,GBIF,,Manuel Vargas,,8.41,-83.34,Piro.,1991.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
4072,PRESERVED_SPECIMEN,Mora oleifera,162704,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Estación Sirena. Río Sirena.,1991.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
4073,PRESERVED_SPECIMEN,Mora oleifera,163276,GBIF,,Manuel Vargas,,8.71,-83.53,"Rincón de Osa. Fila Casa Loma, Sendero Las Ranas.",1990.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
4074,PRESERVED_SPECIMEN,Mora oleifera,163277,GBIF,,Manuel Vargas,,8.41,-83.34,Piro.,1991.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
4075,PRESERVED_SPECIMEN,Mora oleifera,169378,GBIF,,Manuel Vargas,,8.69,-83.48,R. F. Golfo Dulce Península de Osa. Bahía Rincón. Rincón. Bosque primario y manglares en la boca del Río Rincón.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
4077,PRESERVED_SPECIMEN,Mora oleifera,198708,GBIF,,Manuel Vargas,,9.25,-83.86,Faja Costeña de la Bahía de Coronado. Coronado. Manglares Sierpe Térraba. Estero Tripa de Pollo.,1995.0,1,1,1,,WGS84,2019,Socorro Ávila
4078,PRESERVED_SPECIMEN,Mora oleifera,205636,GBIF,,Manuel Vargas,,8.48,-83.59,P. N. Corcovado Península de Osa. Estación Sirena. Sendero Guanacaste.,1994.0,1,1,1,,WGS84,2019,"Aguilar, Reinaldo"
6024,PRESERVED_SPECIMEN,Mora oleifera,91850,GBIF,Espina Z. 2877,Manuel Vargas,,6.35,-76.43,Protected due to name conservation status,1989.0,1,1,1,,WGS84,2019,Josefina Espina Z.|F. García Cossio|et al.
6311,PRESERVED_SPECIMEN,Mora oleifera,981726,GBIF,Morales Quirós 3701,Manuel Vargas,,8.48,-83.59,Protected due to name conservation status,1995.0,1,1,1,,WGS84,2019,J. F. Morales
7177,PRESERVED_SPECIMEN,Mora oleifera,,GBIF,19886,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,J. Cuatrecasas
7424,PRESERVED_SPECIMEN,Mora oleifera,V0112453F,GBIF,,Manuel Vargas,,3.8811,-72.8667,,,1,1,1,,WGS84,2019,
9392,PRESERVED_SPECIMEN,Mora oleifera,100599905,GBIF,Aguilar Fernández 12073,Manuel Vargas,,8.69,-83.47,Protected due to name conservation status,2009.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
9584,PRESERVED_SPECIMEN,Mora oleifera,260057a,GBIF,40430,Manuel Vargas,,4.0,-77.25,"Bahía de Málaga, de la boca de la Quebrada Sierpe.",1983.0,1,1,1,,WGS84,2019,Al Gentry
9838,PRESERVED_SPECIMEN,Mora oleifera,17838,GBIF,16,Manuel Vargas,,5.69036,-77.25397,Camino a la loma del cementerío de Nuquí,2008.0,1,1,1,,WGS84,2019,Carlos Andrades-M | Euler L. Murillo M
9839,PRESERVED_SPECIMEN,Mora oleifera,17839,GBIF,16,Manuel Vargas,,5.69036,-77.25397,Camino a la loma del cementerío de Nuquí,2008.0,1,1,1,,WGS84,2019,Carlos Andrades-M | Euler L. Murillo M
10831,UNKNOWN,Mora oleifera,100081275,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Rincon, on the Rio Esquinas in the mangrove",1995.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
10832,UNKNOWN,Mora oleifera,100113748,GBIF,,Manuel Vargas,,8.68333,-83.2167,"Rincon, on the Rio Esquinas in the mangrove",1995.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
10833,UNKNOWN,Mora oleifera,100113907,GBIF,,Manuel Vargas,,8.5,-83.0833,"Rio Coto, Mangroves",1999.0,1,1,1,,WGS84,2019,"Huber Werner, Weissenhofer Anton"
11298,PRESERVED_SPECIMEN,Mora oleifera,G-G-144986/6,GBIF,,Manuel Vargas,,8.85861,-83.49972,"Puntarenas - Puntarenas: Osa. No protegida. Cuenca Térraba-Sierpe. Río Sierpe, a 4 km al Oeste del centro del pueblo, río abajo/Provincia de Puntarenas",1999.0,1,1,1,,WGS84,2019,"Aguilar, R."
12842,PRESERVED_SPECIMEN,Mora oleifera,1560767,GBIF,,Manuel Vargas,,8.692222000000001,-83.480556,Rincon; bosque primario y manglares en la boca del Rio Rincon.,1993.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
12848,PRESERVED_SPECIMEN,Mora oleifera,1560769,GBIF,,Manuel Vargas,,8.466667,-83.58333499999999,Sirena. Rio Sirena.,1991.0,1,1,1,,WGS84,2019,Barry Hammel
13412,PRESERVED_SPECIMEN,Mora oleifera,1574562,GBIF,,Manuel Vargas,,8.482778,-83.59916700000001,Bosques asociados a Manglares en la boca del Rio Sirena.,1995.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
14698,PRESERVED_SPECIMEN,Mora oleifera,1585387,GBIF,,Manuel Vargas,,8.480556,-83.591668,P.N. Corcovado. Sirena. Sendero Guanacaste.,1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
14732,PRESERVED_SPECIMEN,Mora oleifera,1586247,GBIF,,Manuel Vargas,,9.255556,-83.861111,"Coronado, Manglares Sierpe Terraba, Estero tripa de pollo.",1995.0,1,1,1,,WGS84,2019,Socorro Avila
15176,PRESERVED_SPECIMEN,Mora oleifera,2846514,GBIF,,Manuel Vargas,,8.692621,-83.470389,Desembocadura río Rincón.,1999.0,1,1,1,,WGS84,2019,Priscila Hurtado; Luis Diego Vargas ; Victor Ramírez ; Alexánder Francisco Rodríguez González
15178,PRESERVED_SPECIMEN,Mora oleifera,2846516,GBIF,,Manuel Vargas,,8.692621,-83.470389,Desembocadura río Rincón.,1999.0,1,1,1,,WGS84,2019,Priscila Hurtado; Luis Diego Vargas ; Victor Ramírez ; Alexánder Francisco Rodríguez González
15179,PRESERVED_SPECIMEN,Mora oleifera,2846515,GBIF,,Manuel Vargas,,8.692621,-83.470389,Desembocadura río Rincón.,1999.0,1,1,1,,WGS84,2019,Priscila Hurtado; Luis Diego Vargas ; Victor Ramírez ; Alexánder Francisco Rodríguez González
16546,PRESERVED_SPECIMEN,Mora oleifera,2905652,GBIF,,Manuel Vargas,,8.403175,-83.33979699999999,"Union Rio Piro y Quebrada Coyunda. Sector entre los 30 y los 200 msnm, ladera de pendiente suave al E y O del R.Piro y N del a Q.Coyunda",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
16725,PRESERVED_SPECIMEN,Mora oleifera,2911306,GBIF,,Manuel Vargas,,8.716667,-83.533334,"Rincon de Osa, fila Casa Loma, Sendero Las Ranas.",1990.0,1,1,1,,WGS84,2019,Abelardo Chacon
17152,PRESERVED_SPECIMEN,Mora oleifera,3107051,GBIF,,Manuel Vargas,,8.700766999999999,-83.485833,"La Bolsa de Bahía Rincón, Frente a Instalaciones del IDA",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
17153,PRESERVED_SPECIMEN,Mora oleifera,3107050,GBIF,,Manuel Vargas,,8.700766999999999,-83.485833,"La Bolsa de Bahía Rincón, Frente a Instalaciones del IDA",1999.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Luis Diego Vargas ; Victor Ramírez
18215,PRESERVED_SPECIMEN,Mora oleifera,3446787,GBIF,,Manuel Vargas,,8.858563,-83.49984599999999,Río Sierpe 3 Km SW de Sierpe,1999.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
18218,PRESERVED_SPECIMEN,Mora oleifera,3446784,GBIF,,Manuel Vargas,,8.858563,-83.49984599999999,Río Sierpe 3 Km SW de Sierpe,1999.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
18219,PRESERVED_SPECIMEN,Mora oleifera,3446786,GBIF,,Manuel Vargas,,8.858563,-83.49984599999999,Río Sierpe 3 Km SW de Sierpe,1999.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
18220,PRESERVED_SPECIMEN,Mora oleifera,3446785,GBIF,,Manuel Vargas,,8.858563,-83.49984599999999,Río Sierpe 3 Km SW de Sierpe,1999.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
25838,PRESERVED_SPECIMEN,Mora oleifera,01282001,GBIF,12073,Manuel Vargas,,8.6881,-83.4728,"Distrito: Sierpe.  Reserva Forestal Golfo Dulce; Rincón, cerca de la desembocadura del Río Rincón, manglar que esta al sur de la boca del Río",2009.0,1,1,1,,WGS84,2019,R. Aguilar
26933,PRESERVED_SPECIMEN,Mora oleifera,0029475,GBIF,,Manuel Vargas,,8.68333,-83.21667,"Puntarenas, Golfito: PN. Esquinas, banks of Río Esquinas. 8°41' N, 83°13' W.",,1,1,1,,WGS84,2019,"Weissenhofer,A. & Huber,W."
