,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
153,PRESERVED_SPECIMEN,Naucleopsis naga,U.1428407,GBIF,,Manuel Vargas,,10.416667,-83.983333,,,1,1,1,,WGS84,2019,Burger WC; Matta U
474,PRESERVED_SPECIMEN,Naucleopsis naga,52312,GBIF,6645,Manuel Vargas,,6.75,-76.416667,"Corregimiento Murrí, La Blanquita, alto de Cuevas, km 14.5 O de Nutibara en la vía a La Blanquita",1988.0,1,1,1,,WGS84,2019,Callejas R. | Betancur J. | Arbeláez A. | Castaño I.
485,PRESERVED_SPECIMEN,Naucleopsis naga,55913,GBIF,903,Manuel Vargas,,6.9,-75.133333,"Vereda El Oso, carretera Amalfi - Medellín, km 13 - 16",1988.0,1,1,1,,WGS84,2019,Betancur J. | Roldán F. | Escobar O.
562,PRESERVED_SPECIMEN,Naucleopsis naga,92837,GBIF,658,Manuel Vargas,,6.540725,-76.631615,Comunidad indígena de Jarapeto y Gengado,1993.0,1,1,1,,WGS84,2019,Gómez J.
564,PRESERVED_SPECIMEN,Naucleopsis naga,92952,GBIF,658,Manuel Vargas,,6.540725,-76.631615,Comunidad indígena de Jarapeto y Gengado,1993.0,1,1,1,,WGS84,2019,Gómez J.
568,PRESERVED_SPECIMEN,Naucleopsis naga,93863,GBIF,4443,Manuel Vargas,,1.3,-78.133333,"Corregimiento Altaquer, vereda El Barro, Reserva Natural Río Ñambí, margen derecha del río Ñambí",1993.0,1,1,1,,WGS84,2019,Betancur J. | Guzmán A. | López R. | Vargas S.
4125,PRESERVED_SPECIMEN,Naucleopsis naga,53539,GBIF,,Manuel Vargas,,10.41,-83.98,"Original wet forest and Cocoa plantation on the property of Dr. L. Holdridge, about 2 km. upstream on the Rio Puerto Viejo.",1967.0,1,1,1,,WGS84,2019,"Burger, William"
4126,PRESERVED_SPECIMEN,Naucleopsis naga,71866,GBIF,,Manuel Vargas,,10.43,-84.01,Finca La Selva. Holdridge Arboretum tag nº631.,1974.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4127,PRESERVED_SPECIMEN,Naucleopsis naga,104714,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  In forest in western 1/2 of new property.",1982.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
4128,PRESERVED_SPECIMEN,Naucleopsis naga,134237,GBIF,,Manuel Vargas,,10.68,-83.63,"Cerro Coronel, E of Laguna Danto. Tall evergreen forest on gentle to moderately stee slope.",1986.0,1,1,1,,WGS84,2019,"Stevens, Warren D."
4129,PRESERVED_SPECIMEN,Naucleopsis naga,147699,GBIF,,Manuel Vargas,,9.78,-83.14,"El Progreso, siguiendo el sendero de la avioneta, por la fila hasta los 1700 m. Fila Matama.",1989.0,1,1,1,,WGS84,2019,"Herrera, Gerardo"
4130,PRESERVED_SPECIMEN,Naucleopsis naga,149482,GBIF,,Manuel Vargas,,10.28,-84.03,"Rara Avis, ca. 15 km al suroeste de Horquetas. Alrededores del Hotel y Quebradita ""Charral"". Bosque  primario y secundario.",1989.0,1,1,1,,WGS84,2019,"Vargas, Orlando"
4131,PRESERVED_SPECIMEN,Naucleopsis naga,161719,GBIF,,Manuel Vargas,,10.16,-83.95,P.N. Braulio Carrillo Bosque primario. Sendero La Botella.,1993.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
4132,PRESERVED_SPECIMEN,Naucleopsis naga,172825,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3.5 km W of Rincón. Four-hectare permanent sample plot 1 km N of BOSCOSA station in well-drained undulating terrain with slopes of 15º-35º. Tall primary forest with many palms and large lianas. Characteristic species: Symphonia, Carapa, Brosi",1992.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
