,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4145,PRESERVED_SPECIMEN,Nectandra hypoleuca,71531,GBIF,,Manuel Vargas,,10.43,-84.01,"Finca La Selva. Overhanging East Trail, 20 m north of Line 1200.",1975.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4146,PRESERVED_SPECIMEN,Nectandra hypoleuca,73681,GBIF,,Manuel Vargas,,10.43,-84.01,"Finca La Selva. Overhanging East Trail, 20 m north of Line 1200.",1975.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4148,PRESERVED_SPECIMEN,Nectandra hypoleuca,80023,GBIF,,Manuel Vargas,,10.43,-84.01,Holdrige Arboretum tag nº178. Finca La Selva.,1970.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4149,PRESERVED_SPECIMEN,Nectandra hypoleuca,80071,GBIF,,Manuel Vargas,,10.43,-84.01,Finca La Selva. Near bridge on river road over Quebrada Experimental.,1970.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4151,PRESERVED_SPECIMEN,Nectandra hypoleuca,104710,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  On property across river. Treelet 4 m tall. Flowers white, fragant.",1980.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
4152,PRESERVED_SPECIMEN,Nectandra hypoleuca,104728,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  In secondary forest along E River Road, at ""Research Triangle"".",1978.0,1,1,1,,WGS84,2019,"Grayum, Michael"
4157,PRESERVED_SPECIMEN,Nectandra hypoleuca,116995,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Jack's 800 to Ollas Trail.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
4162,PRESERVED_SPECIMEN,Nectandra hypoleuca,125910,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Ridges above Río Claro. Tropical wet forest.,1981.0,1,1,1,,WGS84,2019,"Knapp, Sandra"
4164,PRESERVED_SPECIMEN,Nectandra hypoleuca,126343,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  Frente a la casa de Rafael.",1983.0,1,1,1,,WGS84,2019,"Chacón, Isidro A."
4165,PRESERVED_SPECIMEN,Nectandra hypoleuca,128008,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Ridges above RíO Claro. Tropical wet forest.,1981.0,1,1,1,,WGS84,2019,"Knapp, Sandra"
4171,PRESERVED_SPECIMEN,Nectandra hypoleuca,142676,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Ollas Trail.,1988.0,1,1,1,,WGS84,2019,"Kernan, C."
4175,PRESERVED_SPECIMEN,Nectandra hypoleuca,154485,GBIF,,Manuel Vargas,,8.46,-83.58,"P. N. Corcovado Sirena. River bank of Río Claro. Gravelly, moist soil, occasionally inudated.",1991.0,1,1,1,,WGS84,2019,"Delprete, Piero"
4176,PRESERVED_SPECIMEN,Nectandra hypoleuca,154898,GBIF,,Manuel Vargas,,8.46,-83.58,P. N. Corcovado Sirena. Riverbank of Río Pavo. Sandy-gravelly soil. Permanently flooded.,1991.0,1,1,1,,WGS84,2019,"Delprete, Piero"
4179,PRESERVED_SPECIMEN,Nectandra hypoleuca,162629,GBIF,,Manuel Vargas,,9.09,-83.68,"Horquetas, a lo largo del río San Rafael, aguas abajo del puente.",1992.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
4190,PRESERVED_SPECIMEN,Nectandra hypoleuca,172763,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3.5 km W of Rincón . Four hectare permanent sample plot 1 km N of BOSCOSA station in well-drained undulating terrain with slopes of 15-35º. Tall primary forest with many palms and large lianas. Characteristic species: Symphonia, Carapa, Brosi",1992.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
4191,PRESERVED_SPECIMEN,Nectandra hypoleuca,172771,GBIF,,Manuel Vargas,,8.71,-83.51,"Aguabuena, 3.5 km W of Rincón . Four hectare permanent sample plot 1 km N of BOSCOSA station in well-drained undulating terrain with slopes of 15-35º. Tall primary forest with many palms and large lianas. Characteristic species: Symphonia, Carapa, Brosi",1993.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
8240,PRESERVED_SPECIMEN,Nectandra hypoleuca,100256381,GBIF,Kriebel Haehner 3562,Manuel Vargas,,10.433333,-84.01666800000001,Z. P. La Selva. Cuenca del Sarapiquí. La Selva. Sendero Holdridge a Parcelas.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel|Daniel Solano|José Á. González R.
8917,PRESERVED_SPECIMEN,Nectandra hypoleuca,100493260,GBIF,Kriebel Haehner 3562,Manuel Vargas,,10.433333,-84.01666999999999,La Selva.  Sendero Holdridge a Parcelas.,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel
10424,PRESERVED_SPECIMEN,Nectandra hypoleuca,V0061457F,GBIF,9111,Manuel Vargas,,10.0114,-83.9519,,1980.0,1,1,1,,WGS84,2019,B. E. Hammel
12247,PRESERVED_SPECIMEN,Nectandra hypoleuca,1509775,GBIF,,Manuel Vargas,,10.483333,-83.716667,"Cariari, Palmitas, El Triangulo, Las Brisas. Finca Guillermo Acosta.",1996.0,1,1,1,,WGS84,2019,Quirico Jiménez
12929,PRESERVED_SPECIMEN,Nectandra hypoleuca,1561598,GBIF,,Manuel Vargas,,10.346033,-83.97220899999999,Horquetas. A lo largo del Rio San Rafael aguas abajo del puente.,1992.0,1,1,1,,WGS84,2019,Barry Hammel
16382,PRESERVED_SPECIMEN,Nectandra hypoleuca,2924476,GBIF,,Manuel Vargas,,8.466667,-83.583336,"Sendero Ollas, parte baja",1988.0,1,1,1,,WGS84,2019,C. Kernan
16386,PRESERVED_SPECIMEN,Nectandra hypoleuca,2924547,GBIF,,Manuel Vargas,,8.466667,-83.583336,"Sirena. Sendero Jack, 800, 10 msnm",1988.0,1,1,1,,WGS84,2019,C. Kernan
16748,PRESERVED_SPECIMEN,Nectandra hypoleuca,2912645,GBIF,,Manuel Vargas,,8.466667,-83.58333499999999,Sirena Riverbank of Rio Pavo. Sandy-gravelly soil. Permanently flooded.,1991.0,1,1,1,,WGS84,2019,Piero Delprete
16749,PRESERVED_SPECIMEN,Nectandra hypoleuca,2912629,GBIF,,Manuel Vargas,,8.466667,-83.583334,"Sirena. Rio Claro , desde inicio haste 50 msnm",1991.0,1,1,1,,WGS84,2019,Piero Delprete
19058,PRESERVED_SPECIMEN,Nectandra hypoleuca,3847455,GBIF,,Manuel Vargas,,10.433333,-84.008333,Z.P. La Selva. Puerto Viejo.,2003.0,1,1,1,,WGS84,2019,Daniel Solano; Jose González ; Ricardo Kriebel
20016,PRESERVED_SPECIMEN,Nectandra hypoleuca,3944952,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano ; Jose González
20017,PRESERVED_SPECIMEN,Nectandra hypoleuca,3944951,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano ; Jose González
20019,PRESERVED_SPECIMEN,Nectandra hypoleuca,3944955,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano ; Jose González
20020,PRESERVED_SPECIMEN,Nectandra hypoleuca,3944953,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano ; Jose González
20021,PRESERVED_SPECIMEN,Nectandra hypoleuca,3944954,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Daniel Solano ; Jose González
20750,PRESERVED_SPECIMEN,Nectandra hypoleuca,4062876,GBIF,,Manuel Vargas,,9.560556,-84.123611,"Tarrazú, San Carlos; Bajo de la Virgen, areas perturbadas junto a camino que va hacia ""Cerros"" de Quepos.",2003.0,1,1,1,,WGS84,2019,Jose González
23770,PRESERVED_SPECIMEN,Nectandra hypoleuca,4374992,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
23773,PRESERVED_SPECIMEN,Nectandra hypoleuca,4374994,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
23775,PRESERVED_SPECIMEN,Nectandra hypoleuca,4374993,GBIF,,Manuel Vargas,,8.759167,-83.5125,"Bajo de San Juan, a 1500 metros al Suroeste del pueblo, Río Chocuaco arriba, finca del estado.",2013.0,1,1,1,,WGS84,2019,Reinaldo Aguilar; Nelson A. Zamora Villalobos ; Soo-Yong Kim ; Guillermo Villalobos ; Alejandro Azofeifa Zúñiga ; D. Solorzano
27768,PRESERVED_SPECIMEN,Nectandra hypoleuca,2270784,GBIF,Hammel 12840,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel|Jill Trainer
27771,PRESERVED_SPECIMEN,Nectandra hypoleuca,2270838,GBIF,Hammel 12848,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel|Jill Trainer
27834,PRESERVED_SPECIMEN,Nectandra hypoleuca,2280100,GBIF,Hammel 13074,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel|Jill Trainer
28624,PRESERVED_SPECIMEN,Nectandra hypoleuca,2520432,GBIF,Hammel 10348,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
28856,PRESERVED_SPECIMEN,Nectandra hypoleuca,2583832,GBIF,McDowell 601,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Tim McDowell
