,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
958,PRESERVED_SPECIMEN,Ocotea brenesii,MG172494,GBIF,,Manuel Vargas,,10.311111,-84.833889,Costa Rica,1991.0,1,1,1,,WGS84,2019,"Bello, E.; Cruz, E."
4214,PRESERVED_SPECIMEN,Ocotea brenesii,19298,GBIF,,Manuel Vargas,,10.08,-84.5,Cataratas de San Ramón.,1931.0,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
4220,PRESERVED_SPECIMEN,Ocotea brenesii,100304,GBIF,,Manuel Vargas,,10.21,-84.53,"17-20 km NNW of San Ramón by road on way to San Lorenzo, 4 to 7 km N of Balsa. Disturbed primary forest.",1983.0,1,1,1,,WGS84,2019,"Liesner, Ronald"
4245,PRESERVED_SPECIMEN,Ocotea brenesii,125615,GBIF,,Manuel Vargas,,10.21,-84.61,R. F. San Ramón,1987.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
4251,PRESERVED_SPECIMEN,Ocotea brenesii,130928,GBIF,,Manuel Vargas,,10.21,-84.61,R. F. San Ramón Campamento Río San Lorencito.,1988.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
4257,PRESERVED_SPECIMEN,Ocotea brenesii,137592,GBIF,,Manuel Vargas,,10.33,-84.71,R. B. Monteverde Valle de Río Peñas Blancas.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
4258,PRESERVED_SPECIMEN,Ocotea brenesii,139090,GBIF,,Manuel Vargas,,10.21,-84.61,R. F. San Ramón Premontane rain forest formations on slopes above and in the valley of the Río San Lorencito.,1987.0,1,1,1,,WGS84,2019,"Burger, William"
4269,PRESERVED_SPECIMEN,Ocotea brenesii,148566,GBIF,,Manuel Vargas,,10.22,-84.6,"R. F. San Ramón Estación Río San Lorencito. A la orilla del río, en los alrededores de la estación.",1990.0,1,1,1,,WGS84,2019,"Gómez Laurito, Jorge"
4270,PRESERVED_SPECIMEN,Ocotea brenesii,149122,GBIF,,Manuel Vargas,,10.33,-84.71,R. B. Monteverde Río Peñas Blancas.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
4276,PRESERVED_SPECIMEN,Ocotea brenesii,156704,GBIF,,Manuel Vargas,,10.31,-84.71,R. B. Monteverde Río Peñas Blancas. Parcela de Pérez.,1989.0,1,1,1,,WGS84,2019,"Bello, Erick"
4296,PRESERVED_SPECIMEN,Ocotea brenesii,168686,GBIF,,Manuel Vargas,,10.38,-84.7,"Bosque Eterno de los Niños, Quebrada Gata, riachuelo de Fernando Villalobos.",1990.0,1,1,1,,WGS84,2019,"Bello, Erick"
4297,PRESERVED_SPECIMEN,Ocotea brenesii,168687,GBIF,,Manuel Vargas,,10.38,-84.7,"Bosque Eterno de los Niños Reserva de Arenal, Río Peñas Blancas, Quebrada Agua Gata, Finca Villalobos.",1990.0,1,1,1,,WGS84,2019,"Bello, Erick"
4304,PRESERVED_SPECIMEN,Ocotea brenesii,173713,GBIF,,Manuel Vargas,,10.3,-84.75,R. B. Monteverde Río Peñas Blancas. Estación Aleman's.,,1,1,1,,WGS84,2019,"Bello, Erick"
4323,PRESERVED_SPECIMEN,Ocotea brenesii,184699,GBIF,,Manuel Vargas,,10.29,-84.06,"P.N. Braulio Carrillo Puesto el Ceibo, 1/4 km W of río Guácimo, off trail that runs due E from transect at 730 m.Primary premontane wet forest.",1994.0,1,1,1,,WGS84,2019,"Boyle, Brad"
4349,PRESERVED_SPECIMEN,Ocotea brenesii,214881,GBIF,,Manuel Vargas,,10.36,-84.78,"R.B. Monteverde San Gerardo Station, trail to garden, 600 m E of Station. Premontane rain forest.",1995.0,1,1,1,,WGS84,2019,"Penneys, Darin S."
4350,PRESERVED_SPECIMEN,Ocotea brenesii,214883,GBIF,,Manuel Vargas,,10.35,-84.78,"R.B. Monteverde Cordillera de Tilarán. San Gerardo Biological Station. Sendero Tabacon, 1 km E of Station. Primary forest. Premontane rain.",1995.0,1,1,1,,WGS84,2019,"Penneys, Darin S."
4367,PRESERVED_SPECIMEN,Ocotea brenesii,221740,GBIF,,Manuel Vargas,,9.81,-83.37,"Tayutic, Grano de Oro, 2 km al Oeste, camino a Llanos del Quetzal.",1995.0,1,1,1,,WGS84,2019,"Cascante, Alfredo"
4378,PRESERVED_SPECIMEN,Ocotea brenesii,231463,GBIF,,Manuel Vargas,,10.22,-84.58,"R.B. Alberto Manuel Brenes Cuenca del San Carlos. Estación San Lorencito. Curso de plantas, Diptera -Himenoptera.",2000.0,1,1,1,,WGS84,2019,K. Caballero
4380,PRESERVED_SPECIMEN,Ocotea brenesii,232077,GBIF,,Manuel Vargas,,10.36,-84.78,"Z. P. Arenal-Monteverde Cuenca del San Carlos. San Gerardo field station, 7 km north of Monteverde, Río Caño Negro, drainage, premontane rain forest. Bosque eterno de los Niños.",1995.0,1,1,1,,WGS84,2019,"Haber, William"
