,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4300,PRESERVED_SPECIMEN,Ocotea haberi,169718,GBIF,,Manuel Vargas,,8.79,-82.96,Las Cruces. Jardín Botánico Wilson. OET. Sendero este a Río Java.,1993.0,1,1,1,,WGS84,2019,"Vargas, Gustavo"
4347,PRESERVED_SPECIMEN,Ocotea haberi,214833,GBIF,,Manuel Vargas,,10.35,-84.66,"R.B. Bosque Eterno De Los Niños Atlantic slope, Río Peñas Blancas valley Laguna Poco Sol.",1992.0,1,1,1,,WGS84,2019,"Haber, William"
13088,PRESERVED_SPECIMEN,Ocotea haberi,1564303,GBIF,,Manuel Vargas,,10.333333,-84.81666700000001,"4-5 km NW Monteverde, at and just below Continental Divide, 2-4 km West of Santa Elena between road to Canitas and upper road to Las Nubes.",1992.0,1,1,1,,WGS84,2019,William Haber
13850,PRESERVED_SPECIMEN,Ocotea haberi,1596163,GBIF,,Manuel Vargas,,10.383333,-84.7,"Rio Penas Blancas, Quebrada Gata, riachuelo de Fernando Villalobos.",1990.0,1,1,1,,WGS84,2019,Erick Bello
13900,PRESERVED_SPECIMEN,Ocotea haberi,1596436,GBIF,,Manuel Vargas,,10.3,-84.750001,"Estacion Aleman. Penas Blancas. Lado abajo del inicio del Sendero Zaino, ca. 400 m del camino.",1992.0,1,1,1,,WGS84,2019,Carlos Guindon
13905,PRESERVED_SPECIMEN,Ocotea haberi,1596434,GBIF,,Manuel Vargas,,10.333333,-84.833334,"De Santa Elena hacia La Cruz, bosque de Jim Wolfe. Zona de Monteverde.",1992.0,1,1,1,,WGS84,2019,Carlos Guindon
13910,PRESERVED_SPECIMEN,Ocotea haberi,1596449,GBIF,,Manuel Vargas,,10.3,-84.800007,"Rio Trail, Pacific slope.",1989.0,1,1,1,,WGS84,2019,William Haber
13940,PRESERVED_SPECIMEN,Ocotea haberi,1596512,GBIF,,Manuel Vargas,,10.766667,-85.31666700000001,Del Mirador siguiendo la Fila al Volcan Santa Maria.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
14329,PRESERVED_SPECIMEN,Ocotea haberi,1604935,GBIF,,Manuel Vargas,,10.880556,-85.401389,Estacion San Ramon. Dos Rios. Sendero La Tepescuintle.,1993.0,1,1,1,,WGS84,2019,Roberto Espinoza
14333,PRESERVED_SPECIMEN,Ocotea haberi,1605443,GBIF,,Manuel Vargas,,10.35,-84.666667,"Atlantic slope, Rio Penas Blancas valley Laguna Poco Sol.",1992.0,1,1,1,,WGS84,2019,William Haber
14343,PRESERVED_SPECIMEN,Ocotea haberi,1605492,GBIF,,Manuel Vargas,,10.366667,-84.8,"Monteverde. San Gerardo Biological Station. Sendero Congo, 1 km W of Station. Semi-disturbed primary forest. Premontane rain forest.",1995.0,1,1,1,,WGS84,2019,Darin Penneys
17548,PRESERVED_SPECIMEN,Ocotea haberi,3388247,GBIF,,Manuel Vargas,,9.438641,-83.545562,Sendero Río Talari,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro; Mainor Elizondo ; William Chacón
17549,PRESERVED_SPECIMEN,Ocotea haberi,3388246,GBIF,,Manuel Vargas,,9.438641,-83.545562,Sendero Río Talari,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro; Mainor Elizondo ; William Chacón
17550,PRESERVED_SPECIMEN,Ocotea haberi,3388248,GBIF,,Manuel Vargas,,9.438641,-83.545562,Sendero Río Talari,2000.0,1,1,1,,WGS84,2019,Evelio Alfaro; Mainor Elizondo ; William Chacón
18232,PRESERVED_SPECIMEN,Ocotea haberi,3492380,GBIF,,Manuel Vargas,,10.671389,-84.990278,Parque Nacional Volcán Tenorio Alto Masis.,2002.0,1,1,1,,WGS84,2019,Jose Luis Chaves
18233,PRESERVED_SPECIMEN,Ocotea haberi,3492378,GBIF,,Manuel Vargas,,10.671389,-84.990278,Parque Nacional Volcán Tenorio Alto Masis.,2002.0,1,1,1,,WGS84,2019,Jose Luis Chaves
18234,PRESERVED_SPECIMEN,Ocotea haberi,3492379,GBIF,,Manuel Vargas,,10.671389,-84.990278,Parque Nacional Volcán Tenorio Alto Masis.,2002.0,1,1,1,,WGS84,2019,Jose Luis Chaves
18654,PRESERVED_SPECIMEN,Ocotea haberi,3551362,GBIF,,Manuel Vargas,,10.219444000000001,-84.6,Reserva Biologica Manuel Brenes. Estacion San Ramon.,2001.0,1,1,1,,WGS84,2019,Jürgen Homeier
30934,PRESERVED_SPECIMEN,Ocotea haberi,893076,GBIF,Haber 11158,Manuel Vargas,,10.35,-84.66,"Bosque Eterno De Los Niños, Cordillera de Tilarán, Atlantic slope, Río Peñas Blancas valley, Laguna Poco Sol",1992.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
31009,PRESERVED_SPECIMEN,Ocotea haberi,894909,GBIF,Bello Carranza 2095,Manuel Vargas,,10.3,-84.8,"R.B. Monteverde; Cordillera de Tilarán. Río Guacimal, Comunidad- Reserva. Vertiente Pacífica. En orilla de bosque.",1990.0,1,1,1,,WGS84,2019,Erick Bello C.
