,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
6523,PRESERVED_SPECIMEN,Parathesis cartagoana,402256,GBIF,Herrera Chacón 2001,Manuel Vargas,,10.72,-85.005556,"Bijagua El Pilón, Cerro La Carmela, entre Río Celeste y cabeceras del Río Chimurria.",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
6529,PRESERVED_SPECIMEN,Parathesis cartagoana,402312,GBIF,Herrera Chacón 1330,Manuel Vargas,,10.81,-84.95,"Bijagua, El Pilón, Cabeceras del Río Celeste.",1987.0,1,1,1,,WGS84,2019,Gerardo Herrera Ch.
6956,PRESERVED_SPECIMEN,Parathesis cartagoana,,GBIF,377,Manuel Vargas,,10.5,-84.5,,1994.0,1,1,1,,WGS84,2019,J. Sanchez
6981,PRESERVED_SPECIMEN,Parathesis cartagoana,V0065922F,GBIF,1739,Manuel Vargas,,9.8333,-83.75,,1969.0,1,1,1,,WGS84,2019,R. W. Lent
10508,PRESERVED_SPECIMEN,Parathesis cartagoana,,GBIF,2001,Manuel Vargas,,10.5,-84.5,,1988.0,1,1,1,,WGS84,2019,G. Herrera C.
10531,PRESERVED_SPECIMEN,Parathesis cartagoana,,GBIF,358,Manuel Vargas,,10.0114,-83.9519,,1946.0,1,1,1,,WGS84,2019,J. A. Echeverria
11759,PRESERVED_SPECIMEN,Parathesis cartagoana,1523881,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
11760,PRESERVED_SPECIMEN,Parathesis cartagoana,1523879,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
11762,PRESERVED_SPECIMEN,Parathesis cartagoana,1523880,GBIF,,Manuel Vargas,,9.124422000000001,-83.074861,"Puesto Tres Colinas, Orillas del Rio Guineal.",1996.0,1,1,1,,WGS84,2019,Billen Gamboa R.; Annia Picado
14081,PRESERVED_SPECIMEN,Parathesis cartagoana,1598542,GBIF,,Manuel Vargas,,10.816667,-84.95,El Pilon. Cabeceras del Rio Celeste Bijagua.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
14098,PRESERVED_SPECIMEN,Parathesis cartagoana,1598548,GBIF,,Manuel Vargas,,10.720833,-85.005556,"El Pilon, Cerro La Carmela, entre Rio Celeste y cabeceras del Rio Chimurria. Bijagua.",1988.0,1,1,1,,WGS84,2019,Gerardo Herrera
17616,PRESERVED_SPECIMEN,Parathesis cartagoana,3390626,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
17619,PRESERVED_SPECIMEN,Parathesis cartagoana,3390625,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
17620,PRESERVED_SPECIMEN,Parathesis cartagoana,3390624,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
17621,PRESERVED_SPECIMEN,Parathesis cartagoana,3390623,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
17622,PRESERVED_SPECIMEN,Parathesis cartagoana,3390622,GBIF,,Manuel Vargas,,10.704603,-84.992304,P.N. Volcán Tenorio. Sector El Pilón.,2001.0,1,1,1,,WGS84,2019,Jose Luis Chaves
20643,PRESERVED_SPECIMEN,Parathesis cartagoana,4019220,GBIF,,Manuel Vargas,,9.105556,-83.06666700000001,Tres Colinas.,2006.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Daniel Solano ; Daniel Santamaría
