,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4502,PRESERVED_SPECIMEN,Parathesis glendae,210425,GBIF,,Manuel Vargas,,9.42,-82.98,"P.I. La Amistad Quebrada Crori, Croriña",1989.0,1,1,1,,WGS84,2019,"Chacón, Abelardo M."
10173,PRESERVED_SPECIMEN,Parathesis glendae,MA-01-00760444,GBIF,2028,Manuel Vargas,,9.6603,-83.0197,Limón: Limón. R.B. Hitoy Cerere. Cuenca del Estrella. Sendero El Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta & al
14065,PRESERVED_SPECIMEN,Parathesis glendae,1598477,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Quebrada Crori, Crorina.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacon
17887,PRESERVED_SPECIMEN,Parathesis glendae,3425535,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
17888,PRESERVED_SPECIMEN,Parathesis glendae,3425534,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
17892,PRESERVED_SPECIMEN,Parathesis glendae,3425533,GBIF,,Manuel Vargas,,9.667239,-83.028165,Sendero Espavel,2000.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez ; Geovanny Sancho ; Gerardo Soto
21266,PRESERVED_SPECIMEN,Parathesis glendae,4099247,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
21267,PRESERVED_SPECIMEN,Parathesis glendae,4099248,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
21269,PRESERVED_SPECIMEN,Parathesis glendae,4099251,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
21270,PRESERVED_SPECIMEN,Parathesis glendae,4099250,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
21271,PRESERVED_SPECIMEN,Parathesis glendae,4099249,GBIF,,Manuel Vargas,,9.619194,-83.26275,Entre Río Sucio y Laguna Doroteri.,2007.0,1,1,1,,WGS84,2019,Daniel Santamaría; Daniel Solano
36512,PRESERVED_SPECIMEN,Parathesis glendae,399988,GBIF,Chacón Gamboa 240,Manuel Vargas,,9.42,-82.98,"Parque Internacional La Amistad, Quebrada Crori, Croriña.",1989.0,1,1,1,,WGS84,2019,Abelardo Chacón
42439,PRESERVED_SPECIMEN,Parathesis glendae,122452,GBIF,,Manuel Vargas,,9.420833,-82.983333,"Parque Internac. La Amistad Quebrada Crori, Crorina.",1989.0,1,1,1,,WGS84,2019,A. Chacón
