,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4820,PRESERVED_SPECIMEN,Senna williamsii,217226,GBIF,,Manuel Vargas,,9.65,-84.18,"Fila Bustamante, bosque secundario entre Altos El Aguacate y La Palma, camino a Bajos Bijagual.",1995.0,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
4821,PRESERVED_SPECIMEN,Senna williamsii,217468,GBIF,,Manuel Vargas,,9.71,-84.1,"Z.P. Caraigres Cerros Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y quebrada Ceniza.",,1,1,1,,WGS84,2019,"Morales, Juan Francisco"
6031,PRESERVED_SPECIMEN,Senna williamsii,91999,GBIF,Hamilton 1250,Manuel Vargas,,8.533333,-81.116667,"El Cuchillo, near Cerro Tute, up from Santa Fe.",1982.0,1,1,1,,WGS84,2019,Clem W. Hamilton|William G. D'Arcy|David W. Roubik
6391,PRESERVED_SPECIMEN,Senna williamsii,983784,GBIF,Morales Quirós 3466,Manuel Vargas,,9.65,-84.18,"Fila Bustamante. Bosque secundaRío entre Altos El Aguacate y La Palma, camino a Bajos de Bijagual.",1995.0,1,1,1,,WGS84,2019,J. F. Morales|R. J. Abarca
6393,PRESERVED_SPECIMEN,Senna williamsii,983825,GBIF,Morales Quirós 3505,Manuel Vargas,,9.65,-84.19,"Fila Aguabuena. Bosques remanentes y potreros, camino a Bajos de Bijagual, por Altos El Aguacate",1995.0,1,1,1,,WGS84,2019,J. F. Morales|Víctor H. Ramírez
7327,PRESERVED_SPECIMEN,Senna williamsii,,GBIF,2911,Manuel Vargas,,8.4833,-80.4,,1942.0,1,1,1,,WGS84,2019,P. H. Allen
9001,PRESERVED_SPECIMEN,Senna williamsii,100501205,GBIF,Morales Quirós 9030,Manuel Vargas,,9.668056,-84.15278,"No protegida.  Cuenca del Pirrís-Damas.  Aserrí, camino a Bajos de Bijagual, La Palma.",2002.0,1,1,1,,WGS84,2019,J. F. Morales
11094,PRESERVED_SPECIMEN,Senna williamsii,1586068,GBIF,1250,Manuel Vargas,,8.53,-81.12,"El Cuchillo, near Cerro Tute, up from Santa Fe",1982.0,1,1,1,,WGS84,2019,C. W. Hamilton
11591,PRESERVED_SPECIMEN,Senna williamsii,1518194,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
11592,PRESERVED_SPECIMEN,Senna williamsii,1518197,GBIF,,Manuel Vargas,,9.677778,-84.079167,"Cerros de Caraigres, Falda SE Fila Aguabuena, entre Quebrada Pilas y Quebrada Ceniza.",1996.0,1,1,1,,WGS84,2019,Juan Francisco Morales Quirós
