,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4822,PRESERVED_SPECIMEN,Sloanea brenesii,20383,GBIF,,Manuel Vargas,,10.13,-84.55,La Palma.,1928.0,1,1,1,,WGS84,2019,"Brenes, Alberto Manuel"
4823,PRESERVED_SPECIMEN,Sloanea brenesii,64055,GBIF,,Manuel Vargas,,10.05,-84.01,Remnant woods and trees along near Río Pará Blanco,1972.0,1,1,1,,WGS84,2019,"Lent, Roy W."
4826,PRESERVED_SPECIMEN,Sloanea brenesii,99267,GBIF,,Manuel Vargas,,8.94,-82.8,"Forest along trail between las Alturas and Cotonsito, along the Río Cotón",1983.0,1,1,1,,WGS84,2019,"Davidse, Gerrit"
4832,PRESERVED_SPECIMEN,Sloanea brenesii,139578,GBIF,,Manuel Vargas,,10.1,-83.43,R.B. Monteverde road to Station from community,1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
4833,PRESERVED_SPECIMEN,Sloanea brenesii,141298,GBIF,,Manuel Vargas,,10.33,-84.83,"Monteverde community, pacific slope,lower montane wet forest",1986.0,1,1,1,,WGS84,2019,"Haber, William"
4841,PRESERVED_SPECIMEN,Sloanea brenesii,178567,GBIF,,Manuel Vargas,,8.96,-82.91,Z.P. Las Tablas  Sendero El Tajo,1992.0,1,1,1,,WGS84,2019,"Fernández, Álvaro"
4844,PRESERVED_SPECIMEN,Sloanea brenesii,194735,GBIF,,Manuel Vargas,,8.96,-82.93,Camino entre Aguas Calientes y la Escuadra,1995.0,1,1,1,,WGS84,2019,"González, José"
4854,PRESERVED_SPECIMEN,Sloanea brenesii,217905,GBIF,,Manuel Vargas,,10.02,-84.0,Potreros y bosques por quebrada al E de la carretera a Guápiles ca. 2.5 km antes del peaje,,1,1,1,,WGS84,2019,"Hammel, Barry E."
4858,PRESERVED_SPECIMEN,Sloanea brenesii,239551,GBIF,,Manuel Vargas,,8.78,-82.97,"Fila cruces. Frente Cerro Paraguas, Finca de Luis Amador. Trocha maderera entre potreros y bosque alterado.",1995.0,1,1,1,,WGS84,2019,"Chacón, Isidro A."
6370,PRESERVED_SPECIMEN,Sloanea brenesii,983308,GBIF,González Ramírez 846,Manuel Vargas,,8.96,-82.93,Cordillera de Talamanca. Camino entre Aguas Calientes y la Escuadra.,1995.0,1,1,1,,WGS84,2019,José Á. González R.
7591,PRESERVED_SPECIMEN,Sloanea brenesii,,GBIF,20481,Manuel Vargas,,10.0114,-83.9519,,,1,1,1,,WGS84,2019,J. Gómez-Laurito
8009,PRESERVED_SPECIMEN,Sloanea brenesii,100152596,GBIF,Alfaro Vindas 4731,Manuel Vargas,,10.044444,-84.04083299999999,"No protegida.  Cuenca del Tárcoles.  Concepción, Calle Leones, hasta el límite del Parque Braulio Carrillo.  Colecta en bosque y potrero.",2003.0,1,1,1,,WGS84,2019,Evelio Alfaro|José Á. González R.
9243,PRESERVED_SPECIMEN,Sloanea brenesii,100530828,GBIF,Marcum 4516,Manuel Vargas,,8.78801,-82.98668,"Quadrangle: Canas Gordas 1:50000. Java River Watershed. 20 ha ribbon-shaped forest fragment approximately 1 mile west of the Las Cruces Biological Station & Wilson Botanical Garden, 4 miles (6.4 kilometer) southwest of San Vito on a ridge of the Fila Zapote range of mountains.",2007.0,1,1,1,,WGS84,2019,Paul B. Marcum|Daniel T. Busemeyer|J. Leland Crane|Mary Ann Feist|Jean Mengelkoch|Brenda Molano-Flores|Loy R. Phillippe|John B. Taft|Zak Zahawi
10112,PRESERVED_SPECIMEN,Sloanea brenesii,MA-01-00734736,GBIF,7249,Manuel Vargas,,9.5308,-83.8772,San José: Dota. R.F. Los Santos. Cuenca del Savegre. Providencia. Finca Azul,2001.0,1,1,1,,WGS84,2019,Alex. Rodr. & al.
10141,PRESERVED_SPECIMEN,Sloanea brenesii,MA-01-00758596,GBIF,7249,Manuel Vargas,,9.5308,-83.8772,"San José: Dota. R.F. Los Santos. Cuenca del Savegre, Providencia, Finca La Isla",2001.0,1,1,1,,WGS84,2019,Alex. Rodriguez & al.
10210,PRESERVED_SPECIMEN,Sloanea brenesii,MA-01-00762605,GBIF,7201,Manuel Vargas,,9.4978,-83.7967,San José: Perez Zeledón. R. F. Los Santos. Cuenca del Savegre. Páramo. Los ??ngeles 4km Norte,2001.0,1,1,1,,WGS84,2019,Alex. Rodr. & al.
12385,PRESERVED_SPECIMEN,Sloanea brenesii,1513317,GBIF,,Manuel Vargas,,10.027778,-84.005556,"Potreros y bosque por quebradas al E de la carretera a Guapiles, ca. 2.5 km antes del peaje.",1995.0,1,1,1,,WGS84,2019,Barry Hammel
12562,PRESERVED_SPECIMEN,Sloanea brenesii,1554792,GBIF,,Manuel Vargas,,10.214722,-84.607778,En filas al noroeste de la estacion.,1987.0,1,1,1,,WGS84,2019,Gerardo Herrera
12628,PRESERVED_SPECIMEN,Sloanea brenesii,1556660,GBIF,,Manuel Vargas,,10.316111,-84.711667,Finca Ston s. Bosque primario y secundario.,1990.0,1,1,1,,WGS84,2019,Norman Obando
13082,PRESERVED_SPECIMEN,Sloanea brenesii,1564119,GBIF,,Manuel Vargas,,10.929167,-85.470834,Estacion Cacao.,1991.0,1,1,1,,WGS84,2019,Carlos Chavez
13099,PRESERVED_SPECIMEN,Sloanea brenesii,1564869,GBIF,,Manuel Vargas,,8.966667,-82.9125,Sendero El Tajo.,1992.0,1,1,1,,WGS84,2019,Alvaro Fernandez
13184,PRESERVED_SPECIMEN,Sloanea brenesii,1567425,GBIF,,Manuel Vargas,,10.266667,-84.783333,"Monteverde, San Luis Valley, Finca El Buen Amigo. 4 km SSE of Monteverde.",1991.0,1,1,1,,WGS84,2019,Erick Bello
14166,PRESERVED_SPECIMEN,Sloanea brenesii,1601784,GBIF,,Manuel Vargas,,9.819444,-83.458333,Grano de Oro. Moravia de Chirripo.,1993.0,1,1,1,,WGS84,2019,Priscilla Campos
14167,PRESERVED_SPECIMEN,Sloanea brenesii,1601788,GBIF,,Manuel Vargas,,9.396944,-83.081944,Alto Lari. Kivut a fila a Rio Lari.,1992.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
14450,PRESERVED_SPECIMEN,Sloanea brenesii,1579519,GBIF,,Manuel Vargas,,8.961111,-82.938889,Camino entre Aguas Calientes y la Escuadra.,1995.0,1,1,1,,WGS84,2019,Jose González
15676,PRESERVED_SPECIMEN,Sloanea brenesii,2829996,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1998.0,1,1,1,,WGS84,2019,Ulises Chavarría; Jose González ; Maria Xinia Oses
15678,PRESERVED_SPECIMEN,Sloanea brenesii,2829997,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1998.0,1,1,1,,WGS84,2019,Ulises Chavarría; Jose González ; Maria Xinia Oses
15679,PRESERVED_SPECIMEN,Sloanea brenesii,2829998,GBIF,,Manuel Vargas,,10.713154,-85.156532,Presa Rio Cuipilapa,1998.0,1,1,1,,WGS84,2019,Ulises Chavarría; Jose González ; Maria Xinia Oses
17799,PRESERVED_SPECIMEN,Sloanea brenesii,3408060,GBIF,,Manuel Vargas,,9.497778,-83.796667,"Páramo.  Los Angeles, 4 Km Norte.",2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rafael Chacón ; Heiner Acevedo ; Alonso Quesada ; Julio Bustamante
17800,PRESERVED_SPECIMEN,Sloanea brenesii,3408059,GBIF,,Manuel Vargas,,9.497778,-83.796667,"Páramo.  Los Angeles, 4 Km Norte.",2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rafael Chacón ; Heiner Acevedo ; Alonso Quesada ; Julio Bustamante
18113,PRESERVED_SPECIMEN,Sloanea brenesii,3410138,GBIF,,Manuel Vargas,,9.530833,-83.877222,Providencia.  Finca Azul.,2001.0,1,1,1,,WGS84,2019,Alexánder Francisco Rodríguez González; Armando Estrada ; Jose González ; Rafael Chacón ; Rónald Chaves ; Armando Ruiz
