,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4824,PRESERVED_SPECIMEN,Sloanea geniculata,71890,GBIF,,Manuel Vargas,,10.43,-84.01,E.B. La Selva,1973.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4825,PRESERVED_SPECIMEN,Sloanea geniculata,91814,GBIF,,Manuel Vargas,,10.43,-84.01,E.B. La Selva,1973.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
4840,PRESERVED_SPECIMEN,Sloanea geniculata,176095,GBIF,,Manuel Vargas,,10.27,-84.08,"P.N. Braulio Carrillo Sendero transecto. Inmediately to right of trail, one half hour below refugio at 1070 m. Primary premontane wet forest.",1992.0,1,1,1,,WGS84,2019,"Boyle, Brad"
4842,PRESERVED_SPECIMEN,Sloanea geniculata,179018,GBIF,,Manuel Vargas,,10.33,-83.6,"Pueblo Nuevo. 17 Km NE of Guácimo, on the farm Bernardo Herrera M.",1994.0,1,1,1,,WGS84,2019,"Thomsen, Karsten"
4851,PRESERVED_SPECIMEN,Sloanea geniculata,210776,GBIF,,Manuel Vargas,,10.66,-84.18,SAn Carlos y Pital.Finca Ferlo,1997.0,1,1,1,,WGS84,2019,"Estrada, Armando"
4852,PRESERVED_SPECIMEN,Sloanea geniculata,213715,GBIF,,Manuel Vargas,,9.48,-83.96,R.F. Los Santos Camino a Tijerilla.,1998.0,1,1,1,,WGS84,2019,"Valverde, Oscar"
6784,PRESERVED_SPECIMEN,Sloanea geniculata,,GBIF,1216,Manuel Vargas,,10.5,-84.0,,1984.0,1,1,1,,WGS84,2019,D. A. Smith
6793,PRESERVED_SPECIMEN,Sloanea geniculata,,GBIF,3159,Manuel Vargas,,10.5,-84.0,,1985.0,1,1,1,,WGS84,2019,B. Jacobs
13092,PRESERVED_SPECIMEN,Sloanea geniculata,1564314,GBIF,,Manuel Vargas,,10.402778,-84.05833299999999,Estacion Magsasay.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
19245,PRESERVED_SPECIMEN,Sloanea geniculata,3926817,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Nelson A. Zamora Villalobos ; Reinaldo Aguilar
19246,PRESERVED_SPECIMEN,Sloanea geniculata,3926818,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Nelson A. Zamora Villalobos ; Reinaldo Aguilar
19247,PRESERVED_SPECIMEN,Sloanea geniculata,3926816,GBIF,,Manuel Vargas,,10.433333,-84.01666800000001,Estacion Biologica La Selva.;,2003.0,1,1,1,,WGS84,2019,Ricardo Kriebel; Nelson A. Zamora Villalobos ; Reinaldo Aguilar
19953,PRESERVED_SPECIMEN,Sloanea geniculata,3940825,GBIF,,Manuel Vargas,,10.235278,-84.117778,Finca de Oscar Murillo.,2005.0,1,1,1,,WGS84,2019,Armando Soto; Frank  Alonso González Brenes
27759,PRESERVED_SPECIMEN,Sloanea geniculata,2270558,GBIF,Hammel 8473,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1980.0,1,1,1,,WGS84,2019,Barry E. Hammel
27760,PRESERVED_SPECIMEN,Sloanea geniculata,2270556,GBIF,Jacobs 3052,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Brian Jacobs
27761,PRESERVED_SPECIMEN,Sloanea geniculata,2270568,GBIF,Hammel 12912,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel|Jill Trainer
27763,PRESERVED_SPECIMEN,Sloanea geniculata,2270569,GBIF,Jacobs 2348,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station.,1984.0,1,1,1,,WGS84,2019,Brian Jacobs
27764,PRESERVED_SPECIMEN,Sloanea geniculata,2270572,GBIF,Smith 1220,Manuel Vargas,,10.43138,-84.00361,La Selva.,1984.0,1,1,1,,WGS84,2019,Damon A. Smith
27766,PRESERVED_SPECIMEN,Sloanea geniculata,2270571,GBIF,Chacón Gamboa 801,Manuel Vargas,,10.43138,-84.00361,La Selva Biological Station,1983.0,1,1,1,,WGS84,2019,Isidro A. Chacón G.
35090,PRESERVED_SPECIMEN,Sloanea geniculata,3059096,GBIF,Smith 1220,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS Field Station on the Rio Puerto Viejo just E of its junciton with the Rio Sarapiqui.",1984.0,1,1,1,,WGS84,2019,Damon A. Smith
47613,PRESERVED_SPECIMEN,Sloanea geniculata,1414665,GBIF,Hartshorn 1148,Manuel Vargas,,10.433333,-84.016667,"Finca La Selva, Puerto Viejo.",1973.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
48023,PRESERVED_SPECIMEN,Sloanea geniculata,1505748,GBIF,Wilbur 34183,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1984.0,1,1,1,,WGS84,2019,Robert L. Wilbur|Brian Jacobs
48946,PRESERVED_SPECIMEN,Sloanea geniculata,179279,GBIF,Aguilar Fernández 168,Manuel Vargas,,10.402778,-84.05833299999999,"Parque Nacional Braulio Carrillo, Estación Magsasay",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|Molly Cummings|Harold F. Greeney
50384,PRESERVED_SPECIMEN,Sloanea geniculata,2047396,GBIF,Hammel 11604,Manuel Vargas,,10.431389,-84.00361099999999,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel
50455,PRESERVED_SPECIMEN,Sloanea geniculata,2065101,GBIF,Hammel 12014,Manuel Vargas,,10.43138,-84.00361,"Finca La Selva, the OTS field station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.",1982.0,1,1,1,,WGS84,2019,Barry E. Hammel
50808,PRESERVED_SPECIMEN,Sloanea geniculata,2129064,GBIF,Hartshorn 829,Manuel Vargas,,10.433333,-84.016667,"Finca La Selva, Puerto Viejo.",1970.0,1,1,1,,WGS84,2019,Gary S. Hartshorn
50811,PRESERVED_SPECIMEN,Sloanea geniculata,2129387,GBIF,Smith 1216,Manuel Vargas,,10.423055999999999,-83.992778,"Bank of Río Puerto Viejo northwest of El Tigre, about 4-6 km southeast of Puerto Viejo",1984.0,1,1,1,,WGS84,2019,Damon A. Smith|Pete Lahanas|Nick Lahanas
50815,PRESERVED_SPECIMEN,Sloanea geniculata,2130475,GBIF,Jacobs 3132,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Brian Jacobs
51013,PRESERVED_SPECIMEN,Sloanea geniculata,2159689,GBIF,Wilbur 37250,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Robert L. Wilbur
51014,PRESERVED_SPECIMEN,Sloanea geniculata,2159708,GBIF,Jacobs 3159,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Brian Jacobs
51015,PRESERVED_SPECIMEN,Sloanea geniculata,2159699,GBIF,Grayum 1339,Manuel Vargas,,10.43138,-84.00361,Finca La Selva.,1978.0,1,1,1,,WGS84,2019,Michael H. Grayum
51016,PRESERVED_SPECIMEN,Sloanea geniculata,2159710,GBIF,Jacobs 3134,Manuel Vargas,,10.431389,-84.00361099999999,La Selva Biological Station.,1985.0,1,1,1,,WGS84,2019,Brian Jacobs
