,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
648,UNKNOWN,Styphnolobium monteviridis,494582,GBIF,,Manuel Vargas,,10.3,-84.8,Pacific,1989.0,1,1,1,,WGS84,2019,William Haber A.
4922,PRESERVED_SPECIMEN,Styphnolobium monteviridis,151659,GBIF,,Manuel Vargas,,10.3,-84.8,Comunidad de Monteverde. Bosque muy húmedo montano bajo.,1987.0,1,1,1,,WGS84,2019,"Haber, William"
4926,PRESERVED_SPECIMEN,Styphnolobium monteviridis,176436,GBIF,,Manuel Vargas,,10.3,-84.8,R. B. Monteverde Comunidad. Bosque muy húmedo montano bajo.,1988.0,1,1,1,,WGS84,2019,"Bello, Erick"
4929,PRESERVED_SPECIMEN,Styphnolobium monteviridis,180842,GBIF,,Manuel Vargas,,10.27,-84.82,"Finca Buen Amigo, San Luis. Monteverde. Camino a Veracruz.",1993.0,1,1,1,,WGS84,2019,"Fuentes, Zobeida"
4931,PRESERVED_SPECIMEN,Styphnolobium monteviridis,186934,GBIF,,Manuel Vargas,,10.27,-84.79,R. B. Monteverde Cordillera de Tilarán. San Luis. 300 m antes del cruce.,1994.0,1,1,1,,WGS84,2019,"Ramírez, Victor H."
4932,PRESERVED_SPECIMEN,Styphnolobium monteviridis,188255,GBIF,,Manuel Vargas,,10.3,-84.8,Cordillera de Tilarán. 300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,"Ramírez, Victor H."
4933,PRESERVED_SPECIMEN,Styphnolobium monteviridis,188540,GBIF,,Manuel Vargas,,10.3,-84.8,Cordillera de Tilarán. 300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,"Lépiz, Eduardo"
4934,PRESERVED_SPECIMEN,Styphnolobium monteviridis,191753,GBIF,,Manuel Vargas,,10.3,-84.8,Pacific slope.,1989.0,1,1,1,,WGS84,2019,"Haber, William"
5900,PRESERVED_SPECIMEN,Styphnolobium monteviridis,905289,GBIF,Ramírez Villalobos 228,Manuel Vargas,,10.27,-84.79,R.B. Monteverde; Cordillera de Tilarán. San Luis; 300 m antes del cruce.,1994.0,1,1,1,,WGS84,2019,Víctor H. Ramírez|Luis J. Poveda Álvarez|Eduardo Lépiz
5908,PRESERVED_SPECIMEN,Styphnolobium monteviridis,905453,GBIF,Ramírez Villalobos 312,Manuel Vargas,,10.305556,-84.80833299999999,Cordillera de Tilarán. 300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,Víctor H. Ramírez|Luis J. Poveda Álvarez|Eduardo Lépiz
5952,PRESERVED_SPECIMEN,Styphnolobium monteviridis,906809,GBIF,Lépiz Villalobos 140,Manuel Vargas,,10.3,-84.8,Cordillera de Tilarán. 300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,Eduardo Lépiz|Luis J. Poveda Álvarez|Víctor H. Ramírez
12373,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1513046,GBIF,,Manuel Vargas,,10.3,-84.716668,Monteverde community.,1988.0,1,1,1,,WGS84,2019,Barry Hammel
13286,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1570346,GBIF,,Manuel Vargas,,10.305556,-84.80833299999999,300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,Victor Ramírez
13287,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1570339,GBIF,,Manuel Vargas,,10.275833,-84.795835,San Luis; 300 m antes del cruce.,1994.0,1,1,1,,WGS84,2019,Victor Ramírez
14452,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1579596,GBIF,,Manuel Vargas,,10.3,-84.800005,"Monteverde, comunidad. Pacific slope.",1989.0,1,1,1,,WGS84,2019,William Haber
14481,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1580322,GBIF,,Manuel Vargas,,10.272222,-84.825001,"Finca Buen Amigo, San Luis. Monteverde. Camino a Veracruz.",1993.0,1,1,1,,WGS84,2019,Zobeida Fuentes
14600,PRESERVED_SPECIMEN,Styphnolobium monteviridis,1582955,GBIF,,Manuel Vargas,,10.305556,-84.80833299999999,300 m SE del cruce a San Luis.,1994.0,1,1,1,,WGS84,2019,Eduardo Lepiz
16572,PRESERVED_SPECIMEN,Styphnolobium monteviridis,2906431,GBIF,,Manuel Vargas,,10.3,-84.800002,Bosque muy humedo montano bajo,1988.0,1,1,1,,WGS84,2019,Erick Bello
16833,PRESERVED_SPECIMEN,Styphnolobium monteviridis,2916016,GBIF,,Manuel Vargas,,10.3,-84.800003,Comunidad de Monteverde. Bosque muy humedo montano bajo.,1987.0,1,1,1,,WGS84,2019,William Haber
20388,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4025602,GBIF,,Manuel Vargas,,9.718611,-84.204167,"Tiquires, bosque primario cerca del paso por la Quebrada Los Ayarales, camino al Cornelio.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Juan Francisco Morales Quirós
20389,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4025601,GBIF,,Manuel Vargas,,9.718611,-84.204167,"Tiquires, bosque primario cerca del paso por la Quebrada Los Ayarales, camino al Cornelio.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Juan Francisco Morales Quirós
20390,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4025604,GBIF,,Manuel Vargas,,9.718611,-84.204167,"Tiquires, bosque primario cerca del paso por la Quebrada Los Ayarales, camino al Cornelio.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Juan Francisco Morales Quirós
20391,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4025603,GBIF,,Manuel Vargas,,9.718611,-84.204167,"Tiquires, bosque primario cerca del paso por la Quebrada Los Ayarales, camino al Cornelio.",2005.0,1,1,1,,WGS84,2019,Daniel Santamaría; Juan Francisco Morales Quirós
20528,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4005951,GBIF,,Manuel Vargas,,10.266667,-84.81666700000001,Camino a San Luis de Monteverde.,2002.0,1,1,1,,WGS84,2019,Leslie Roger Landrum
23334,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4297642,GBIF,,Manuel Vargas,,10.294194000000001,-84.804194,500m sur este del hotel Villa verde casa de Milton Liberman.,2011.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
23339,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4297641,GBIF,,Manuel Vargas,,10.294194000000001,-84.804194,500m sur este del hotel Villa verde casa de Milton Liberman.,2011.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
23340,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4297643,GBIF,,Manuel Vargas,,10.294194000000001,-84.804194,500m sur este del hotel Villa verde casa de Milton Liberman.,2011.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
23342,PRESERVED_SPECIMEN,Styphnolobium monteviridis,4297640,GBIF,,Manuel Vargas,,10.294194000000001,-84.804194,500m sur este del hotel Villa verde casa de Milton Liberman.,2011.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos
30631,PRESERVED_SPECIMEN,Styphnolobium monteviridis,85257,GBIF,Hammel 17037,Manuel Vargas,,10.3,-84.71,Monteverde community.,1988.0,1,1,1,,WGS84,2019,Barry E. Hammel
30675,PRESERVED_SPECIMEN,Styphnolobium monteviridis,88265,GBIF,Haber 6730,Manuel Vargas,,10.3,-84.8,Comunidad de Monteverde Bosque muy húmedo montano bajo.,1987.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
