,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
649,UNKNOWN,Styphnolobium sporadicum,494614,GBIF,,Manuel Vargas,,6.016667,-75.8,"4.2 km E of Bolombolo on road to Venecia, Hacienda La Plata",1987.0,1,1,1,,WGS84,2019,James L. Zarucchi
1025,PRESERVED_SPECIMEN,Styphnolobium sporadicum,355298,GBIF,,Manuel Vargas,,5.95833,-75.8127,"4.2 Km E of Bolombolo on road to Venecia, hacienda La Plata.",1987.0,1,1,1,,WGS84,2019,"Zarucchi, J. L."
6112,PRESERVED_SPECIMEN,Styphnolobium sporadicum,93410,GBIF,Zarucchi 4666,Manuel Vargas,,6.01666,-75.8,"Mpio. de Venecia; 4.2 km E of Bolombolo on road to Venecia, Hacienda La Plata. Tropical dry forest on hillside.",1987.0,1,1,1,,WGS84,2019,James L. Zarucchi|Beatriz E. Echeverry C.
18976,PRESERVED_SPECIMEN,Styphnolobium sporadicum,3833684,GBIF,,Manuel Vargas,,9.733333,-84.438889,5 Km después del cruce a Lanas.,2000.0,1,1,1,,WGS84,2019,L. Acosta; Quirico Jiménez ; Geovanny Sancho
22682,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189088,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
22683,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189087,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
22684,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189085,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
22685,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189090,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
22686,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189091,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
22687,PRESERVED_SPECIMEN,Styphnolobium sporadicum,4189089,GBIF,,Manuel Vargas,,9.732277999999999,-84.43180600000001,"Mercedes Sur, calle que lleva a Lanas.",2001.0,1,1,1,,WGS84,2019,L. Acosta; Victor Ramírez
