,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
8224,PRESERVED_SPECIMEN,Swartzia maquenqueana,100251299,GBIF,Solano Peralta 2933,Manuel Vargas,,10.686111,-84.18055600000001,No protegida. Cuenca del San Carlos. Boca Tapada. Alrededores de Laguna Lagarto Lodge,2005.0,1,1,1,,WGS84,2019,Daniel Solano|Daniel Santamaría
8634,PRESERVED_SPECIMEN,Swartzia maquenqueana,100477358,GBIF,Zamora Villalobos 2559,Manuel Vargas,,10.690278,-84.18333299999999,"No protegida.  Cuenca del San Carlos.  Boca Tapada, camino a la Cuenca, 500 m despues de la Laguna de Lagarto Lodge.",1997.0,1,1,1,,WGS84,2019,Nelson Zamora|Mery Ocampo
8801,PRESERVED_SPECIMEN,Swartzia maquenqueana,100490604,GBIF,Solano Peralta 2933,Manuel Vargas,,10.686111,-84.18056,"Boca Tapada, Alrededores de Laguna Lagarto Lodge.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",2005.0,1,1,1,,WGS84,2019,Daniel Solano
8976,PRESERVED_SPECIMEN,Swartzia maquenqueana,100500427,GBIF,Solano Peralta 1438,Manuel Vargas,,10.686111,-84.18056,"No protegida. Cuenca del San Carlos. Laguna de Lagarto Lodge, sendero El Tucán.",2004.0,1,1,1,,WGS84,2019,Daniel Solano|B. Hernández
8982,PRESERVED_SPECIMEN,Swartzia maquenqueana,100500621,GBIF,Solano Peralta 2498,Manuel Vargas,,10.686111,-84.18055600000001,No protegida.  Cuenca del San Carlos.  Alrededores de la Laguna del Lagarto Lodge.,2005.0,1,1,1,,WGS84,2019,Daniel Solano|B. Hernández|I. Mena
11196,PRESERVED_SPECIMEN,Swartzia maquenqueana,K000555562,GBIF,2933,Manuel Vargas,,10.69,-84.18,Alajuela: San Carlos. Cuanca del San Carlos. Boca Tapada. Alrededores de Laguna Lagarto Lodge,2005.0,1,1,1,,WGS84,2019,"Solano, D.; Santamaria, D."
12091,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531327,GBIF,,Manuel Vargas,,10.715833,-84.17416700000001,Ca. 10 km NE de Boca Tapada; Finca aserradero San Jorge.,1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
12092,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531325,GBIF,,Manuel Vargas,,10.715833,-84.17416700000001,Ca. 10 km NE de Boca Tapada; Finca aserradero San Jorge.,1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
12095,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531324,GBIF,,Manuel Vargas,,10.715833,-84.17416700000001,Ca. 10 km NE de Boca Tapada; Finca aserradero San Jorge.,1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
12100,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531326,GBIF,,Manuel Vargas,,10.715833,-84.17416700000001,Ca. 10 km NE de Boca Tapada; Finca aserradero San Jorge.,1996.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Barry Hammel ; Alexánder Francisco Rodríguez González
12106,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531386,GBIF,,Manuel Vargas,,10.690278,-84.18333299999999,"Pital, Boca Tapada, camino a la Curena, 500 m despues de la Laguna de Lagarto Lodge, en potrero a orillas del camino.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Mery Ocampo
12108,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531383,GBIF,,Manuel Vargas,,10.690278,-84.18333299999999,"Pital, Boca Tapada, camino a la Curena, 500 m despues de la Laguna de Lagarto Lodge, en potrero a orillas del camino.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Mery Ocampo
12109,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531384,GBIF,,Manuel Vargas,,10.690278,-84.18333299999999,"Pital, Boca Tapada, camino a la Curena, 500 m despues de la Laguna de Lagarto Lodge, en potrero a orillas del camino.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Mery Ocampo
12112,PRESERVED_SPECIMEN,Swartzia maquenqueana,1531381,GBIF,,Manuel Vargas,,10.690278,-84.18333299999999,"Pital, Boca Tapada, camino a la Curena, 500 m despues de la Laguna de Lagarto Lodge, en potrero a orillas del camino.",1997.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Mery Ocampo
