,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4921,PRESERVED_SPECIMEN,Swartzia phaneroptera,148683,GBIF,,Manuel Vargas,,10.4,-84.05,P. N. Braulio Carrillo Estación Penal Magsasay. Sendero Principal.,1990.0,1,1,1,,WGS84,2019,"Umaña, Gina"
6173,PRESERVED_SPECIMEN,Swartzia phaneroptera,95490,GBIF,Ortíz 369,Manuel Vargas,,13.758329999999999,-84.875,"Municipio de Siuna, El Toro",1982.0,1,1,1,,WGS84,2019,F. Ortíz
7914,PRESERVED_SPECIMEN,Swartzia phaneroptera,100013,GBIF,Ortíz 1792,Manuel Vargas,,13.76666,-84.76666,"Municipio de Siuna, Calera",1984.0,1,1,1,,WGS84,2019,F. Ortíz
10379,PRESERVED_SPECIMEN,Swartzia phaneroptera,V0059850F,GBIF,1394,Manuel Vargas,,14.8364,-86.4556,,1938.0,1,1,1,,WGS84,2019,C. von Hagen & W. von Hagen
10661,PRESERVED_SPECIMEN,Swartzia phaneroptera,,GBIF,549,Manuel Vargas,,13.0,-84.5,,1961.0,1,1,1,,WGS84,2019,G. S. Bunting
30542,PRESERVED_SPECIMEN,Swartzia phaneroptera,802282,GBIF,Ortíz 1892,Manuel Vargas,,13.783332999999999,-84.7,"Municipio de Siuna, Madriguera",1984.0,1,1,1,,WGS84,2019,F. Ortíz
30596,PRESERVED_SPECIMEN,Swartzia phaneroptera,82488,GBIF,Moreno 20792,Manuel Vargas,,13.75,-84.716667,"Buenavista, 6 km NE de Siuna, camino a El Dos",1983.0,1,1,1,,WGS84,2019,P. P. Moreno|W. Robleto T.
30626,PRESERVED_SPECIMEN,Swartzia phaneroptera,85038,GBIF,Grayum 10145,Manuel Vargas,,8.866667,-83.283333,"Lower slopes of Fila Huacas, ca. 4 km NE (by road) from Carretera Interamericana at Las Huacas ('Venecia' on current maps) along rd. to Sinaí.",1992.0,1,1,1,,WGS84,2019,Michael H. Grayum|Randall J. Evans
30637,PRESERVED_SPECIMEN,Swartzia phaneroptera,85205,GBIF,Grijalva Pineda 1648,Manuel Vargas,,13.65,-84.8,"Cerro Waylawás (Peñas Blancas), ca 5 km al S de Wany, costado oeste del cerro.",1982.0,1,1,1,,WGS84,2019,Alfredo Grijalva P.|F. Burgos
33297,PRESERVED_SPECIMEN,Swartzia phaneroptera,2972559,GBIF,25090,Manuel Vargas,,14.32,-83.93,Sur de Rio Wawa NW of Puerto Cabezas,1971.0,1,1,1,,WGS84,2019,E. L. Little Jr.
35575,PRESERVED_SPECIMEN,Swartzia phaneroptera,3249818,GBIF,Torke 362,Manuel Vargas,,13.590829999999999,-84.3425,"Zelaya Norte. Alamikamba/Siuna road, 13 km NW of Alamikamba. Patch of secondary forest, very disturbed, clay soils",2005.0,1,1,1,,WGS84,2019,Benjamin M. Torke|B.S. Pérez
36342,PRESERVED_SPECIMEN,Swartzia phaneroptera,3556023,GBIF,Bunting 549,Manuel Vargas,,13.725,-84.77916,Vicinity of La Luz-Siuna,1961.0,1,1,1,,WGS84,2019,George S. Bunting|L. Licht
45088,PRESERVED_SPECIMEN,Swartzia phaneroptera,100956,GBIF,Ortíz 1416,Manuel Vargas,,13.7,-84.73333000000001,"Municipio de Siuna, Finca El Corozo",1983.0,1,1,1,,WGS84,2019,F. Ortíz
45092,PRESERVED_SPECIMEN,Swartzia phaneroptera,101122,GBIF,Ortíz 1073,Manuel Vargas,,13.655270000000002,-84.99110999999999,"Carretera Waslala-Siuna, Cerro El Bálsamo, aproximadamente a 30 km de Waní",1983.0,1,1,1,,WGS84,2019,F. Ortíz
45098,PRESERVED_SPECIMEN,Swartzia phaneroptera,101951,GBIF,Ortíz 158,Manuel Vargas,,13.716667000000001,-84.8125,"Municipio de Siuna, Río Matís",1982.0,1,1,1,,WGS84,2019,F. Ortíz
45099,PRESERVED_SPECIMEN,Swartzia phaneroptera,102319,GBIF,Ortíz 2091,Manuel Vargas,,13.666667000000002,-84.533333,Sector de Coperna,1984.0,1,1,1,,WGS84,2019,F. Ortíz
45145,PRESERVED_SPECIMEN,Swartzia phaneroptera,104711,GBIF,Pipoly 4399,Manuel Vargas,,13.65,-84.81666,"Cerro Waylawás, east slope of northern range; limestone cliffs",1979.0,1,1,1,,WGS84,2019,"John James Pipoly, III"
