,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
22,PRESERVED_SPECIMEN,Swietenia macrophylla,U.1422389,GBIF,,Manuel Vargas,,15.05,-84.95,Gracias a Diors. R. Patuca. Krautara.,1992.0,1,1,1,,WGS84,2019,Pennington TD; Owen PE; Zuniga R
42,PRESERVED_SPECIMEN,Swietenia macrophylla,L.2105590,GBIF,,Manuel Vargas,,13.783332999999999,121.0,,1996.0,1,1,1,,WGS84,2019,Romero EM; Chavez RV
43,PRESERVED_SPECIMEN,Swietenia macrophylla,L.2156529,GBIF,,Manuel Vargas,,8.777222,125.57194399999999,Philippines Mindanao Agusan del Norte Tungao,1991.0,1,1,1,,WGS84,2019,Barbon EB; Romero EM; Fernando L
44,PRESERVED_SPECIMEN,Swietenia macrophylla,L.2156535,GBIF,,Manuel Vargas,,13.75,100.583333,Bangkok,1971.0,1,1,1,,WGS84,2019,Watdahnahsahp B
54,PRESERVED_SPECIMEN,Swietenia macrophylla,L.3914221,GBIF,,Manuel Vargas,,-14.633332999999999,-60.7,"Santa Cruz. El Encanto Camp, near El Encanto waterfall, edge of Huanchaco plateau. Transect 3.",1991.0,1,1,1,,WGS84,2019,Gentry AH; Mostacedo B
61,PRESERVED_SPECIMEN,Swietenia macrophylla,U  0004362,GBIF,,Manuel Vargas,,-8.0,-70.0,Basin of Rio JuruaTerritory of Acre: upper Rio Jurupary,1933.0,1,1,1,,WGS84,2019,Krukoff BA
321,PRESERVED_SPECIMEN,Swietenia macrophylla,151149,GBIF,6877,Manuel Vargas,,6.261944000000001,-75.6,"Barrio Calasanz, calle 49 81B - 62",2005.0,1,1,1,,WGS84,2019,Vélez J. | Blandón J.
551,PRESERVED_SPECIMEN,Swietenia macrophylla,90875,GBIF,11114,Manuel Vargas,,6.262585,-75.565202,"Hospital San Vicente de Paúl, jardines",1994.0,1,1,1,,WGS84,2019,Callejas R. | Vélez A. | Giraldo F.
553,PRESERVED_SPECIMEN,Swietenia macrophylla,91746,GBIF,11114,Manuel Vargas,,6.262585,-75.565202,"Hospital San Vicente de Paúl, jardines",1994.0,1,1,1,,WGS84,2019,Callejas R. | Vélez A. | Giraldo F.
591,HUMAN_OBSERVATION,Swietenia macrophylla,6092401,GBIF,,Manuel Vargas,,19.463729999999998,-96.576993,,2011.0,1,1,1,,WGS84,2019,Azul
