,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
5117,PRESERVED_SPECIMEN,Trophis involucrata,53545,GBIF,,Manuel Vargas,,10.4,-84.11,Small hills of cleared agricultural land and areas of remnant original forest now being logged. Near Tirimbina east of the Rio Sarapiqui.,1971.0,1,1,1,,WGS84,2019,"Burger, William"
5118,PRESERVED_SPECIMEN,Trophis involucrata,54284,GBIF,,Manuel Vargas,,10.43,-84.01,"Finca La Selva. West side of study area I, near stake 160.000.",1973.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
5119,PRESERVED_SPECIMEN,Trophis involucrata,71511,GBIF,,Manuel Vargas,,10.43,-84.01,Finca La Selva. Along west boundary trail.,,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
5120,PRESERVED_SPECIMEN,Trophis involucrata,71670,GBIF,,Manuel Vargas,,10.43,-84.01,"Finca La Selva. Log trail , trail nº213.",1973.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
5121,PRESERVED_SPECIMEN,Trophis involucrata,72100,GBIF,,Manuel Vargas,,9.61,-82.81,Evergreen forest (tropical-premontane wet forest transition) and secondary growth near the Río Catarata (Río San Box) in the hills between BriBri on the Río Sixaola and the Caribbean Coastal Plain.,1978.0,1,1,1,,WGS84,2019,"Burger, William"
5122,PRESERVED_SPECIMEN,Trophis involucrata,83183,GBIF,,Manuel Vargas,,10.43,-84.01,"Finca La Selva. Lop trail, tag nº213b.",1974.0,1,1,1,,WGS84,2019,"Hartshorn, Gary S."
5123,PRESERVED_SPECIMEN,Trophis involucrata,93560,GBIF,,Manuel Vargas,,10.43,-84.03,"Estación Biológica, Finca La Selva, OTS.",,1,1,1,,WGS84,2019,
5124,PRESERVED_SPECIMEN,Trophis involucrata,104802,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  Trail at perimeter of Successional plots.",1981.0,1,1,1,,WGS84,2019,James Folson
5125,PRESERVED_SPECIMEN,Trophis involucrata,104803,GBIF,,Manuel Vargas,,10.43,-84.03,"Finca La Selva, the OTS Field Station on the Río Puerto Viejo just E of its junction with the Río Sarapiquí.  Central Trail, 2000 m line.",1981.0,1,1,1,,WGS84,2019,James Folson
5126,PRESERVED_SPECIMEN,Trophis involucrata,120319,GBIF,,Manuel Vargas,,10.45,-84.06,"Finca El Bejuco, at southern end of Cerros Sardinal (N of Río Sarapiquí), Chilamate.",,1,1,1,,WGS84,2019,"Grayum, Michael"
5127,PRESERVED_SPECIMEN,Trophis involucrata,122114,GBIF,,Manuel Vargas,,10.2,-83.9,"Ridge between Río Chirripó and Quebrada El Molinete, W of new highway.",1984.0,1,1,1,,WGS84,2019,"Grayum, Michael"
5128,PRESERVED_SPECIMEN,Trophis involucrata,126310,GBIF,,Manuel Vargas,,9.81,-84.48,Z.P. Cerros de Turrubares,1988.0,1,1,1,,WGS84,2019,"Jiménez, Quírico"
5129,PRESERVED_SPECIMEN,Trophis involucrata,131543,GBIF,,Manuel Vargas,,10.0,-83.46,"Zona Protectora Barbilla W side of plateau separating  headwaters of north fork of Río Dantas from headwaters of Quebrada Barreal, Río Barbilla drainage (SE of Siquirres).",1987.0,1,1,1,,WGS84,2019,"Grayum, Michael"
5130,PRESERVED_SPECIMEN,Trophis involucrata,133641,GBIF,,Manuel Vargas,,10.46,-84.06,"Cerro Sardinal,  ca. 2-2.5 km N of Chilamate de Sarapiquí.",1986.0,1,1,1,,WGS84,2019,"Grayum, Michael"
