,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7428,PRESERVED_SPECIMEN,Vachellia mayana,V0094049F,GBIF,8425,Manuel Vargas,,19.3333,-96.6667,,1937.0,1,1,1,,WGS84,2019,Ll. Williams
7708,PRESERVED_SPECIMEN,Vachellia mayana,1149170,GBIF,,Manuel Vargas,,17.467758,-91.428462,Tenosique de Pino Suárez;  Retiro;  Tenosique,1939.0,1,1,1,,WGS84,2019,Eizi Matuda
7727,PRESERVED_SPECIMEN,Vachellia mayana,1149169,GBIF,,Manuel Vargas,,17.8486,-96.0511,"La Guadalupe;  Sta. Ma. Jacatepec;  7 km al NNW de Macedonio Alcalá, San Felipe, Tuxtepec",1977.0,1,1,1,,WGS84,2019,M. Sousa Peña
8481,PRESERVED_SPECIMEN,Vachellia mayana,100406793,GBIF,Álvarez M. 1013,Manuel Vargas,,16.930278,-91.271389,A 6.5 km al S de Nuevo Guerrero sobre el camino a Santo Domingo.,2002.0,1,1,1,,WGS84,2019,Demetrio Álvarez M.|J. Calónico Soto|Gabriel Aguilar M.|S. Aguilar|F. Aguilar|Esteban M. Martínez S.
10937,PRESERVED_SPECIMEN,Vachellia mayana,ASU0005743,GBIF,D-948,Manuel Vargas,,17.429776,-93.03554799999999,Mpio. de Solosuchiapa. Santa Fe.,1992.0,1,1,1,,WGS84,2019,Anonymous
11092,PRESERVED_SPECIMEN,Vachellia mayana,553093,GBIF,1449,Manuel Vargas,,18.6,-95.15,"Estación Biológica Tropical Los Tuxtlas, UNAM",1984.0,1,1,1,,WGS84,2019,
25860,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.1,-90.966667,"Chajulestacion, Xaclbal,",1993.0,1,1,1,,WGS84,2019,Martinez Esteban; C. Ramos
25861,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.95,-91.283333,Lacanjah,1973.0,1,1,1,,WGS84,2019,Breedlove D.E.
25862,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.55,-92.966667,Grutas de Cocona,1984.0,1,1,1,,WGS84,2019,Sousa M.; et al.
25863,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.133333,-90.9,Chajul,1986.0,1,1,1,,WGS84,2019,Sinaca Colin; G. Ibarra
25864,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.683332999999998,-91.1,"Lacanja Chansayab, Laguna",1985.0,1,1,1,,WGS84,2019,Martinez Esteban
25865,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.55,-92.95,Teapa,1984.0,1,1,1,,WGS84,2019,Tellez O.; et al.
25866,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.116667,-90.916667,Chajul,1993.0,1,1,1,,WGS84,2019,Dominguez Vazquez G
25867,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,15.333332999999998,-92.966667,Roberto Barrios,1981.0,1,1,1,,WGS84,2019,Quintanilla J.; R. Duran
25868,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.833333,-93.3,"El Suspiro, N de Pichucalco",1950.0,1,1,1,,WGS84,2019,Miranda F.
25869,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.083333,-90.016667,NO DISPONIBLE,1935.0,1,1,1,,WGS84,2019,Aguilar M.
25870,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.416667,-93.3,Ostuacan,1984.0,1,1,1,,WGS84,2019,Martinez Esteban; L. Rico
25871,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.3,-91.383333,El Retiro,1939.0,1,1,1,,WGS84,2019,Matuda
25872,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.083333,-90.95,NO DISPONIBLE,1976.0,1,1,1,,WGS84,2019,Shapiro G.; D. Elliot
25873,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.083333,-95.05,"Sarabia, DTO. DE JUCHITAN",1978.0,1,1,1,,WGS84,2019,Sousa M.; et al.
25874,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,17.483333,-92.016667,"Palenque, Ruinas de",1982.0,1,1,1,,WGS84,2019,Sousa M.; et al.
25875,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.25,-91.283333,"Jatate, Rio",1973.0,1,1,1,,WGS84,2019,Breedlove D.E.
25876,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.733333,-91.083333,"Lacanja Chansayab, Laguna",1994.0,1,1,1,,WGS84,2019,Levy S.; A. Duran
27254,PRESERVED_SPECIMEN,Vachellia mayana,00371122,GBIF,,Manuel Vargas,,16.05,-90.05,"San Diego, Río Pasión",1935.0,1,1,1,,WGS84,2019,M. Aguilar H.
27503,PRESERVED_SPECIMEN,Vachellia mayana,2243887,GBIF,Ibarra Manríquez 1449,Manuel Vargas,,18.56666,-95.06666,Estación de Biologia Tropical Los Tuxtlas. Veg. borde selva alta perennifolia.,1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
27504,PRESERVED_SPECIMEN,Vachellia mayana,2243969,GBIF,Shapiro 445,Manuel Vargas,,16.08333,-90.95,"Orilla del Río Lacantum, 1 km arriba de la Unión con el Río Chajal. Veg. selva alta perennifolia, prim.",1976.0,1,1,1,,WGS84,2019,G. Shapiro|D. Elliott
27505,PRESERVED_SPECIMEN,Vachellia mayana,2244529,GBIF,Ibarra Manríquez 1624,Manuel Vargas,,18.56666,-95.06666,Estación de Biologia Tropical Los Tuxtlas. Veg. ruderal. Colecta de madera para Xiloteca.,1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez|G. Gómez V.|Miguel A. Sinaca C.
27507,PRESERVED_SPECIMEN,Vachellia mayana,2245979,GBIF,Ibarra Manríquez 1423,Manuel Vargas,,18.566667000000002,-95.06666700000001,Estación de Biología Tropical Los Tuxtlas. Lote 67.,1984.0,1,1,1,,WGS84,2019,Guillermo Ibarra Manríquez
28659,PRESERVED_SPECIMEN,Vachellia mayana,2530511,GBIF,Aguilar M. 937,Manuel Vargas,,16.9575,-91.255,A 1 km al S de El Paraíso.,2002.0,1,1,1,,WGS84,2019,Gabriel Aguilar M.
29983,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.930278,-91.271389,A 6.5 km al S de Nuevo Guerrero sobre el camino a Santo Domingo,2002.0,1,1,1,,WGS84,2019,D. Álvarez M.; E. Martínez S.; F. Aguilar; G. Aguilar M.; J. Calónico S.; S. Aguilar
29985,PRESERVED_SPECIMEN,Vachellia mayana,NO DISPONIBLE,GBIF,,Manuel Vargas,,16.945278,-91.259722,A 1 km al S de El Paraíso,2002.0,1,1,1,,WGS84,2019,G. Aguilar M.; ND
29986,PRESERVED_SPECIMEN,Vachellia mayana,1163419,GBIF,,Manuel Vargas,,16.751110999999998,-91.060278,A 1.9 km al S de la comunidad Lacanjá Chansayab,2003.0,1,1,1,,WGS84,2019,G. Aguilar M.; C. Chancayun
30010,PRESERVED_SPECIMEN,Vachellia mayana,028910,GBIF,,Manuel Vargas,,17.7775,-92.460278,Desarrollo Ecoturístico Kolem jaá,2004.0,1,1,1,,WGS84,2019,A. Lastra; Pedro Díaz Jiménez
32997,PRESERVED_SPECIMEN,Vachellia mayana,100961249,GBIF,Aguilar M. 6152,Manuel Vargas,,16.751110999999998,-91.060278,A 1.9 km al S de la comunidad Lacanjá Chansayab.,2003.0,1,1,1,,WGS84,2019,Gabriel Aguilar M.|C. Chancayun
